"aidc_id","APRIL_2025_OPERATIONAL_STATUS","APRIL_STATE","APRIL_CAPACITY_CHANGE_DATE","APRIL_IT_MW_PRE","APRIL_IT_MW_POST","APRIL_IT_MW_PRIMARY","APRIL_IT_MW_LOW","APRIL_IT_MW_HIGH","APRIL_FACILITY_MW","APRIL_GRID_CONNECTION_MVA","CAPACITY_BOUNDARY","PCC_EQUIVALENT_MW_PUE130","PUE_APPLIED","PUE_DOUBLE_COUNT_CHECK","source_title","source_url","source_publication_update_date","SOURCE_TEMPORAL_APPLICABILITY","capacity_authority_grade","value","unit","capacity_term_exact","ultimate_it_mw","notes"
"AIDC01","OPERATIONAL_DURING_APRIL_2025","NO_CHANGE_EVENT_FOUND_CAPACITY_UNKNOWN",,,,,,,,,"UNKNOWN",,"false","PASS","ME4 Melbourne data center","https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me4",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","E",,,"No defensible April-applicable MW found",,"Generator component data is not treated as IT capacity."
"AIDC02","OPERATIONAL_DURING_APRIL_2025","NO_CHANGE_EVENT_FOUND_CAPACITY_UNKNOWN",,,,,,,,,"UNKNOWN",,"false","PASS","Micron21 Melbourne datacentre specifications","https://www.datacentermap.com/australia/melbourne/micron21-melbourne-datacentre/specs/",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","C","2","MW","fully built out power",,"Third-party boundary is ambiguous; not admitted to IT numerator."
"AIDC03","OPERATIONAL_DURING_APRIL_2025","NO_CHANGE_EVENT_FOUND_CAPACITY_UNKNOWN",,,,,,"12",,"8","UNKNOWN",,"false","PASS","Fujitsu looks to sell off Australian data centers","https://www.datacenterdynamics.com/en/news/fujitsu-looks-to-sell-off-australian-data-centers-report/","2024-01-01","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","C","12","MW","12MW capacity",,"Only used as an upper-bound IT sensitivity; official component ratings are not converted."
"AIDC04","OPERATIONAL_DURING_APRIL_2025","NO_CHANGE_EVENT_FOUND_CAPACITY_UNKNOWN",,,,,,,,"2.5","UTILITY_CONNECTION",,"false","PASS","AAPT Richmond Melbourne","https://inflect.com/building/180-burnley-street-richmond/tpg-telecom/datacenter/aapt-richmond-melbourne",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","E","2.5","MVA","power capacity",,"MVA remains MVA; no PF conversion and no IT inference."
"AIDC05","OPERATIONAL_DURING_APRIL_2025","APRIL_STATE_CONSTANT",,"42","42","42","42","42",,,"IT_SIDE","54.6","true","PASS","1H25 Results Presentation","https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf","2025-02-25","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","A","42","MW","built capacity","60","42 MW built at 31 Dec 2024; future/target capacity excluded from primary."
"AIDC06","OPERATIONAL_DURING_APRIL_2025","APRIL_STATE_CONSTANT",,"13.5","13.5","13.5","13.5","13.5",,,"IT_SIDE","17.55","true","PASS","1H25 Results Presentation","https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf","2025-02-25","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","A","13.5","MW","built capacity","150","Built capacity only enters primary; campus target is context only."
"AIDC07","OPERATIONAL_DURING_APRIL_2025","NO_CHANGE_EVENT_FOUND_CAPACITY_UNKNOWN",,,,,,,,,"UNKNOWN",,"false","PASS","Vocus Mitcham specifications","https://www.datacentermap.com/australia/melbourne/mitcham/specs/",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","C","9","MW","fully built out power",,"Not explicitly IT-side; excluded from IT numerator."
"AIDC08","OPERATIONAL_DURING_APRIL_2025","APRIL_STATE_CONSTANT",,"15","15","15","15","15",,,"IT_SIDE","19.5","true","PASS","1H25 Results Presentation","https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf","2025-02-25","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","B","15","MW","derived M1 built capacity = Victoria built 70.5 - M2 42 - M3 13.5","15","Transparent arithmetic from official regional and site totals; Grade B because site value is derived."
"AIDC09","OPERATIONAL_DURING_APRIL_2025","NO_CHANGE_EVENT_FOUND_CAPACITY_UNKNOWN",,,,,,,,,"UNKNOWN",,"false","PASS","ME5 Melbourne data center","https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me5",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","E",,,"No defensible April-applicable IT MW found",,"Generator components are not an IT-capacity proxy."
"AIDC10","OPERATIONAL_DURING_APRIL_2025","NO_CHANGE_EVENT_FOUND_CAPACITY_UNKNOWN",,,,,,,,,"UNKNOWN",,"false","PASS","Melbourne data centres","https://cdc.com/locations/melbourne/",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","D","350","MW","campus capacity on completion (over 350MW)",,"Later/current campus statement; excluded from cutoff numerator and comparable future IT sum."
