"AIDC_ID","MODEL_LOCALITY","REPRESENTATIVE_REAL_FACILITY","OPERATOR","REAL_ADDRESS","LAT","LON","DISTANCE_KM","FACILITY_MATCH_CONFIDENCE","APRIL_OPERATIONAL_STATUS","APRIL_CAPACITY_CHANGE_DATE","APRIL_IT_MW_PRE","APRIL_IT_MW_POST","APRIL_IT_MW_PRIMARY","APRIL_IT_MW_LOW","APRIL_IT_MW_HIGH","APRIL_FACILITY_MW","APRIL_GRID_CONNECTION_MVA","CAPACITY_BOUNDARY","PCC_EQUIVALENT_MW_PUE130","PUE_APPLIED","SOURCE_URL","SOURCE_DATE","SOURCE_APRIL_APPLICABILITY","CAPACITY_AUTHORITY_GRADE","DNSP","REAL_HOST_GRID","HOST_TYPE","HOST_MAPPING_CLASS","HOST_CONFIDENCE","HOST_FIRM_MW","HOST_NORMAL_MW","HOST_2025_FORECAST_PEAK_MW","HOST_2024_HISTORICAL_PEAK_MW","HOST_FIRM_MVA","HOST_NORMAL_MVA","HOST_SOURCE_URL","HOST_APRIL_APPLICABILITY","HOST_AUTHORITY_GRADE","APRIL_REAL_SITE_WEIGHT"
"AIDC01","Derrimut area","Equinix ME4","Equinix","2 Davis Court, Derrimut VIC 3026","-37.7884866","144.785835",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,,,,,,,,"UNKNOWN",,"false","https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me4",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","E","Powercor","Laverton North (LVN)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM","78.903","109.89","71.5473","63.7956","79.7","111","https://www.powercor.com.au/network-planning-and-projects/network-data/","true","B",
"AIDC02","Kilsyth South area","Micron21 Melbourne Data Centre","Micron21","7 Eastspur Court, Kilsyth South VIC 3137","-37.8215488","145.3146071",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,,,,,,,,"UNKNOWN",,"false","https://www.datacentermap.com/australia/melbourne/micron21-melbourne-datacentre/specs/",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","C","AusNet","Bayswater (BWR)","ZONE_SUBSTATION","NETWORK_AREA_ONLY","HIGH_NETWORK_AREA_MEDIUM_EXACT_SERVICE","64.214","78.57","52.865","47.239","66.2","81","https://dapr.ausnetservices.com.au/AusNet%20Services_DAPR%202025-2029_v2.pdf","true","B",
"AIDC03","Noble Park area","Fujitsu Noble Park Data Centre","Fujitsu","3-5 Summit Road, Noble Park North VIC 3174","-37.9476988","145.1857646",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,,,,,"12",,"8","UNKNOWN",,"false","https://www.datacenterdynamics.com/en/news/fujitsu-looks-to-sell-off-australian-data-centers-report/","2024-01-01","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","C","United Energy","Noble Park (NP)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM","70.61","105.91","50.81","48.12","70.61","105.91","https://media.unitedenergy.com.au/reports/2024-DAPR-Max-Demand-Template-United-Energy.xlsx","true","B",
"AIDC04","Richmond area","AAPT/TPG Richmond Data Centre","TPG Telecom / AAPT","180 Burnley Street, Richmond VIC 3121","-37.820133","145.007631",,"MEDIUM","OPERATIONAL_DURING_APRIL_2025",,,,,,,,"2.5","UTILITY_CONNECTION",,"false","https://inflect.com/building/180-burnley-street-richmond/tpg-telecom/datacenter/aapt-richmond-melbourne",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","E","CitiPower","Richmond (R)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM","30.1","49.9","31.9","29.02","30.1","49.9","https://www.powercor.com.au/network-planning-and-projects/network-data/","true","B",
"AIDC05","Tullamarine","NEXTDC M2","NEXTDC","75 Sharps Road, Tullamarine VIC 3043","-37.7088652","144.8754522",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,"42","42","42","42","42",,,"IT_SIDE","54.6","true","https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf","2025-02-25","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","A","Jemena","Tullamarine (TMA)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM",,,"23.43","24.83",,,"https://www.jemena.com.au/siteassets/asset-folder/documents/electricity/2024-distribution-annual-planning-report.pdf","true","B","0.39436619718309857"
"AIDC06","West Footscray","NEXTDC M3","NEXTDC","25 Indwe Street, West Footscray VIC 3012","-37.8035123","144.8654833",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,"13.5","13.5","13.5","13.5","13.5",,,"IT_SIDE","17.55","true","https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf","2025-02-25","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","A","Jemena","Footscray West (FW)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM",,,"36.16","41.64",,,"https://www.jemena.com.au/siteassets/asset-folder/documents/electricity/2024-distribution-annual-planning-report.pdf","true","B","0.1267605633802817"
"AIDC07","Mitcham","Vocus Mitcham","Vocus","28 Thornton Crescent, Mitcham VIC 3132","-37.8214322","145.1877346",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,,,,,,,,"UNKNOWN",,"false","https://www.datacentermap.com/australia/melbourne/mitcham/specs/",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","C","United Energy","Nunawading (NW)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM","88.29","132.44","56.47","57.65","88.29","132.44","https://media.unitedenergy.com.au/reports/2024-DAPR-Max-Demand-Template-United-Energy.xlsx","true","B",
"AIDC08","Port Melbourne","NEXTDC M1","NEXTDC","826-846 Lorimer Street, Port Melbourne VIC 3207","-37.8226649","144.9322619",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,"15","15","15","15","15",,,"IT_SIDE","19.5","true","https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf","2025-02-25","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","B","CitiPower","Port Melbourne (PM)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM","16.878","33.756","14.4336","13.4539","17.4","34.8","https://www.powercor.com.au/network-planning-and-projects/network-data/","true","B","0.14084507042253522"
"AIDC09","West Melbourne","Equinix ME5","Equinix","22-36 Walsh Street, West Melbourne VIC 3003","-37.8079907","144.9533624",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,,,,,,,,"UNKNOWN",,"false","https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me5",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","E","CitiPower","Victoria Market (VM)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM","57.3012","90.0504","59.8554","56.133","57.88","90.96","https://www.powercor.com.au/network-planning-and-projects/network-data/","true","B",
"AIDC10","Brooklyn industrial area","CDC Brooklyn BK1","CDC Data Centres","594 Geelong Road, Brooklyn VIC 3012 (directory/geocode anchor)","-37.8164095","144.8499089",,"MEDIUM","OPERATIONAL_DURING_APRIL_2025",,,,,,,,,"UNKNOWN",,"false","https://cdc.com/locations/melbourne/",,"APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","D","Jemena","Tottenham (TH)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM",,,"25.47","20.46",,,"https://www.jemena.com.au/siteassets/asset-folder/documents/electricity/2024-distribution-annual-planning-report.pdf","true","B",
"AIDC11","Cheltenham area","IBM MEL01 Cheltenham","IBM","1279 Nepean Highway, Cheltenham VIC 3192","-37.9636678","145.0568722",,"MEDIUM","UNKNOWN_APRIL_2025_OPERATIONAL_STATUS",,,,,,,,,"UNKNOWN",,"false","https://www.ibm.com/support/pages/sites/default/files/inline-files/anz_27k_ver2.pdf","2020-01-01","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","E","United Energy","Cheltenham (CM)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM","30.47","60.95","21.4","20.26","30.47","60.95","https://media.unitedenergy.com.au/reports/2024-DAPR-Max-Demand-Template-United-Energy.xlsx","true","B",
"AIDC12","Truganina area","STACK MEL01A","STACK Infrastructure","399 Palmers Road, Truganina VIC 3029","-37.8199329","144.7476422",,"HIGH","OPERATIONAL_DURING_APRIL_2025",,"36","36","36","36","36",,,"IT_SIDE","46.800000000000004","true","https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-delivers-first-data-center-in-australia-launching-a-robust-apac-portfolio/","2023-08-22","APPLICABLE_TO_APRIL_2025_WITH_STATED_LIMITS_NO_POST_APRIL_BACK_PROJECTION","A","Powercor","Truganina (TNA)","ZONE_SUBSTATION","GEOGRAPHICALLY_INFERRED","MEDIUM","95.2","142.8","123.61","116.41","95.2","142.8","https://www.powercor.com.au/network-planning-and-projects/network-data/","true","B","0.3380281690140845"
