requirement,source_file,function_or_class,test
C.Dynamic dimensions,dayahead/authority.py,DimensionAuthority,test_current_frozen_dimension_authority_is_exactly_12_by_48; test_alternative_10_by_40_fixture_requires_no_source_edit
C.Production fixture rejection,dayahead/authority.py,DimensionAuthority.validate,test_non_scientific_fixture_is_rejected_by_production_loader
C.Master runtime axes,dayahead/master.py,build_master_structure,test_master_indexes_follow_runtime_authority_dimensions
D.Role separation,dayahead/mapping_authority.py,TrafficNode; MappingAuthority,test_traffic_roles_are_independent_and_same_node_can_hold_both
E.SCATS DST,dayahead/traffic_da.py,localize_scats_time,test_scats_dst_fall_back_fold_maps_to_two_distinct_fixed_aest_times; test_scats_dst_spring_forward_nonexistent_time_fails_closed
E.SCATS aggregation/audit,dayahead/traffic_da.py,aggregate_scats_15min,test_scats_aggregation_is_deterministic_and_audits_duplicates
E.Route 96 quantiles/Safe ETA,dayahead/traffic_da.py,RouteForecast.validate,test_route_forecast_has_ordered_96_slot_safe_interface
E.Namespace separation,dayahead/traffic_da.py,assert_separate_namespaces,test_forecast_and_actual_namespaces_cannot_collapse
F.96-slot/cutoff/vintage,dayahead/input_contract.py,operating_axis; issuance_cutoff; select_latest_complete_vintage,test_exact_96_slot_fixed_aest_axis_and_cutoff; test_latest_complete_product_vintage_is_selected_without_slot_mixing
F.Resolution conservation,dayahead/input_contract.py,pwc_30_to_15; average_5_to_15,test_resolution_mappings_preserve_energy
G.MESS P/Q/SOC/terminal,dayahead/mess_physics.py,validate_trajectory,test_mess_soc_recursion_and_exact_terminal_energy; test_transit_and_connection_delay_force_p_q_zero
G.Unique occupancy,dayahead/mess_physics.py,validate_occupancy,test_mess_cannot_clone_location
G.16-face PCS,dayahead/mess_physics.py,pcs_inner_polygon_satisfied; audit_pcs_exact_norm,test_16_face_pcs_polygon_is_strictly_inside_exact_circle
H.Mobility 5-to-15 SUM,dayahead/mobility_energy_da.py,MobilityEnergyProfiles.aggregate,test_mobility_energy_5_to_15_sum_preserves_signed_total_and_hash
H.No future regen pre-credit,dayahead/mobility_energy_da.py,departure_energy_required; assert_departure_feasible,test_future_regeneration_is_not_precredited_at_departure
I.Squared voltage/masks,dayahead/grid_lp.py,validate_squared_voltage; phase_mask_metrics,test_squared_voltage_bounds_and_round_trip; test_absent_phases_are_excluded_from_reducers
I.Phase-aware LinDistFlow,dayahead/grid_lp.py,PhaseAwareGridLPFactory,test_phase_aware_lindistflow_factory_has_explicit_master_registry_and_pi_cut
J.Real Pi cut,dayahead/grid_lp.py,CapacityGridLPFactory.solve,test_real_gurobi_pi_produces_valid_sampled_optimality_cut
J.Real Farkas ray,dayahead/grid_lp.py,CapacityGridLPFactory.solve,test_real_gurobi_farkas_ray_and_cut_exclude_infeasible_incumbent
K.Standard/CL-MC selection,dayahead/benders.py,cuts_for_iteration; critical_times,test_standard_bd_selects_only_worst_time_optimality_cut; test_cl_mc_bd_selects_all_critical_times
K.Bounds/certificate,dayahead/benders.py,BoundState.update; termination_status,test_lb_uses_objbound_and_ub_waits_for_all_feasible; test_gap_certificate_and_time_limit_status
L.Scientific execution blocker,dayahead/master.py,build_master_structure,test_scientific_master_fails_closed_on_aidc_hold
M.OpenDSS immutable 96 QSTS,dayahead/opendss_qsts.py,run_qsts,test_opendss_96_slot_interface_masks_phases_and_keeps_schedule_immutable
N.Result manifest,dayahead/result_schema.py,ResultManifest.validate; write_artifact,test_result_manifest_production_rejects_fixture_dimensions
O.Science firewall,dayahead/science_firewall.py,AuthorityGate,test_current_aidc_gate_lists_all_four_unresolved_dependencies_without_fallback
O.Forbidden fallback rejection,dayahead/science_firewall.py,reject_aidc_fallback,test_every_forbidden_aidc_synthetic_or_imputation_fallback_is_rejected
