node_id,first_seen_timestamp_UTC,last_seen_timestamp_UTC,first_seen_month,last_seen_month,job_count,GPU_hour_contribution_exact_uniform,ambiguous_job_count,ambiguous_GPU_hour_contribution,first_seen_semantics
x3100c0s13b0n0,2024-08-18T14:00:00+00:00,2025-03-30T13:17:05+00:00,2024-08,2025-03,4315,15354.010000000739,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s17b0n0,2024-08-18T14:00:00+00:00,2025-03-30T03:34:43+00:00,2024-08,2025-03,2383,15279.548611111206,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s21b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2227,13528.013611111233,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s25b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2059,15428.029166666644,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s29b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2688,14345.368055555862,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s33b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2297,15022.070000000038,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s37b0n0,2024-08-18T14:00:00+00:00,2025-03-31T06:32:42+00:00,2024-08,2025-03,3445,12942.078888889284,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s41b0n0,2024-08-18T14:00:00+00:00,2025-03-30T03:34:43+00:00,2024-08,2025-03,1934,13915.628611111111,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s5b0n0,2024-08-18T14:00:00+00:00,2025-03-23T05:57:59+00:00,2024-08,2025-03,1423,6900.958055555542,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3100c0s9b0n0,2024-08-18T14:00:00+00:00,2025-03-26T17:43:59+00:00,2024-08,2025-03,1509,7006.173611111104,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s13b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2773,13229.108333333379,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s17b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1976,15173.864166666692,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s21b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,4602,13844.968333334169,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s25b0n0,2024-08-18T14:00:00+00:00,2025-03-30T03:34:43+00:00,2024-08,2025-03,1809,13747.900277777786,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s29b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1708,14796.81611111113,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s33b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1666,14065.538611111127,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s37b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,4944,13837.061388889962,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s41b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1965,14407.736666666633,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s5b0n0,2024-08-18T14:00:00+00:00,2025-03-30T03:34:43+00:00,2024-08,2025-03,2268,14798.170833333432,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3101c0s9b0n0,2024-08-18T14:00:00+00:00,2025-03-30T02:32:43+00:00,2024-08,2025-03,2116,16054.755277777771,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s13b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2745,12543.7802777779,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s17b0n0,2024-08-18T14:00:00+00:00,2025-03-31T09:47:08+00:00,2024-08,2025-03,3092,13712.657222222608,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s21b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1850,13065.77277777776,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s25b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2212,13497.7977777778,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s29b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2391,13639.088611111281,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s33b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,3486,13823.727777778142,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s37b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2987,14613.752777777869,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s41b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2366,13450.848333333359,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s5b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1934,13580.710000000017,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3102c0s9b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2165,14231.112222222244,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s13b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2638,13724.768888889,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s17b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2914,13230.262500000172,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s21b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,3332,13174.854722222619,8,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s25b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2198,13194.06472222224,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
