node_id,start_UTC,end_UTC,requested_GPU_on_node,node_capacity_GPU,active_job_ids,classification
x3101c0s17b0n0,2024-12-15T20:41:22+00:00,2024-12-15T20:44:27+00:00,8.0,4,6342534|6342535,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3101c0s37b0n0,2024-12-15T20:41:22+00:00,2024-12-15T20:44:27+00:00,8.0,4,6342536|6342537,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3104c0s21b0n0,2024-09-24T15:27:34+00:00,2024-09-24T15:27:43+00:00,5.0,4,5615916|5615917|5615918,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3104c0s25b0n0,2024-11-05T10:01:47+00:00,2024-11-05T18:28:53+00:00,5.0,4,5967937|5968169|5968170|5980553,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3104c0s25b0n0,2024-11-05T18:39:21+00:00,2024-11-06T10:02:08+00:00,5.0,4,5968169|5968170|5980553|5981741,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3104c0s25b0n0,2024-11-06T10:11:31+00:00,2024-11-06T17:21:57+00:00,5.0,4,5970315|5970316|5980553|5981741,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3104c0s25b0n0,2024-12-15T20:41:22+00:00,2024-12-15T20:42:07+00:00,8.0,4,6342538|6342539,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3104c0s25b0n0,2024-12-15T20:42:07+00:00,2024-12-15T20:44:27+00:00,10.0,4,6340517|6342538|6342539,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3104c0s41b0n0,2024-12-15T20:41:22+00:00,2024-12-15T20:42:07+00:00,8.0,4,6342540|6342541,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3104c0s41b0n0,2024-12-15T20:42:07+00:00,2024-12-15T20:44:27+00:00,10.0,4,6340536|6342540|6342541,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3106c0s13b0n0,2024-12-15T20:41:25+00:00,2024-12-15T20:42:07+00:00,8.0,4,6342561|6342562,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
