model,seed,Daily_WAPE,MAE_GPU_h,RMSE_GPU_h,mean_bias_GPU_h,mass_ratio,burst_WAPE,Q50_pinball,Q90_pinball,Q50_coverage,Q90_coverage,Power_WAPE
B0_V18R2_CANDIDATE_B,deterministic,0.9180979299674747,3043.8988373804264,7188.330847007709,-2442.702496320824,0.26323435001915396,0.9395434131303984,1521.9494186902132,1734.4773999264169,0.41721854304635764,0.8079470198675497,1.217155234383463
B1_PERSISTENCE_PROXY,deterministic,1.411533258849319,4679.854191248924,8967.067849368645,668.6924221253834,1.2016903850413747,0.8631208922671132,2189.414102722572,1734.5010230330017,0.5496688741721855,0.8609271523178808,2.0939103656160185
B2_LIGHTGBM_TWEEDIE,deterministic,0.976108062962391,3236.2279676571557,7051.552507484855,-1158.7189235485148,0.6505082783764421,0.8682298695981397,1475.7854415850668,1690.4083353315098,0.5165562913907285,0.8940397350993378,1.5703531589156716
B3_LIGHTGBM_QUANTILE,deterministic,0.8902500584818535,2951.5708831701336,7099.139767685258,-2109.6048121832796,0.36370296301248994,0.9206230064013147,1475.7854415850668,1690.4083353315098,0.5165562913907285,0.8940397350993378,1.3056066673863056
B4_PATCHTST_LITE,20260901,1.1085167071170126,3675.220916933982,7876.397130346888,-1417.0199718816111,0.5725997569529339,0.9033701644488655,1791.6993445237406,1601.594793647098,0.44370860927152317,0.8807947019867549,1.5201423408828856
B4_PATCHTST_LITE,20260902,0.9509524332795252,3152.825980302756,7155.496547072136,-2264.1277494581836,0.31709589870982924,0.9347086912134631,1554.0483986683466,1549.9884757835491,0.4304635761589404,0.9139072847682119,1.2729552748253852
B4_PATCHTST_LITE,20260903,0.9332366655257999,3094.090410698785,7162.229554250185,-2286.7575772986224,0.3102703111309374,0.9406448641561297,1545.8684759252012,1530.5801070094046,0.423841059602649,0.8874172185430463,1.2649304045394971
B5_RMTPP_LONG_HORIZON_ADAPTATION,20260901,0.9337236392566769,3095.7049430105003,7133.8905927790565,-2224.5992137037083,0.32901845881766156,0.9340498165781796,1541.0607714313792,1640.076717094371,0.4503311258278146,0.8410596026490066,1.2814100631420025
B5_RMTPP_LONG_HORIZON_ADAPTATION,20260902,0.926181656041272,3070.6999482364386,7115.462830956329,-2205.89489589082,0.3346600377211986,0.9315992290284618,1536.3073862051385,1569.1544611200218,0.4304635761589404,0.8609271523178808,1.2858169283979726
B5_RMTPP_LONG_HORIZON_ADAPTATION,20260903,0.9314895806524989,3088.2980551765,7143.100115524933,-2263.4879712704505,0.3172888680104455,0.9364077576264203,1526.6095893335519,1583.7904199118145,0.45695364238410596,0.8675496688741722,1.2706376852691814
B6_THP_LONG_HORIZON_ADAPTATION,20260901,0.9484383659344646,3144.4907402167696,7159.897386674147,-2288.742579222645,0.30967159670092875,0.9390489347756273,1552.5940498896607,1551.8907948140863,0.4370860927152318,0.8741721854304636,1.2661765836603853
B6_THP_LONG_HORIZON_ADAPTATION,20260902,0.9734628972788555,3227.4580788620924,7090.7762366586185,-2134.7778009540707,0.3561103096043867,0.9214005890247592,1616.4076580574763,2054.562997131392,0.4304635761589404,0.9735099337748344,1.3122395094040216
B6_THP_LONG_HORIZON_ADAPTATION,20260903,0.9876267551238356,3274.417503363446,7259.159996230556,-2371.806079330164,0.284618061225947,0.9526380696672888,1642.349815535275,1587.2217236191595,0.3973509933774834,0.8609271523178808,1.2447015167179203
