site_name,operator,address,April_2025_operational_status,reported_value,reported_unit,boundary_type,effective_date,publication_date,commissioning_status,source_url,source_title,source_type,source_quality_grade,April_2025_applicable,directly_harmonizable_to_IT_MW,confidence,notes
Equinix ME4,Equinix,"2 Davis Court, Derrimut VIC 3026",OPERATIONAL_DURING_APRIL_2025,,,UNKNOWN,,,OPERATING,https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me4,ME4 Melbourne data center,OPERATOR_OFFICIAL,A,True,False,B,Official operation/location support; no April-qualified MW is published.
Micron21,Micron21,"7 Eastspur Court, Kilsyth South VIC 3137",OPERATIONAL_DURING_APRIL_2025,2.0,MW,BUILD_CAPACITY,,,OPERATING,https://www.datacentermap.com/australia/melbourne/micron21-melbourne-datacentre/specs/,Micron21 Melbourne datacentre specifications,COMMERCIAL_DIRECTORY,E,uncertain,False,C,Directory says fully-built-out power; neither April operating state nor IT boundary is established.
Fujitsu Noble Park,Fujitsu,"3-5 Summit Road, Noble Park North VIC 3174",OPERATIONAL_DURING_APRIL_2025,2 x 4,MVA,MVA,,2014-11-06,OPERATING,https://www.fujitsu.com/au/Images/Fujitsu-Data-Centre-Noble-Park-Fact-Sheet.pdf,Noble Park data centre fact sheet,OPERATOR_OFFICIAL,A,True,False,B,Main-feed component rating; not IT MW and not converted without a source PF/boundary relation.
AAPT / TPG Richmond,TPG Telecom / AAPT,"180 Burnley Street, Richmond VIC 3121",OPERATIONAL_DURING_APRIL_2025,2.5,MVA,MVA,,,OPERATING,https://inflect.com/building/180-burnley-street-richmond/tpg-telecom/datacenter/aapt-richmond-melbourne,AAPT Richmond Melbourne,COMMERCIAL_DIRECTORY,E,uncertain,False,C,Third-party power capacity; no source PF and no IT boundary.
NEXTDC M2,NEXTDC,"75 Sharps Road, Tullamarine VIC 3043",OPERATIONAL_DURING_APRIL_2025,42.0,MW,OPERATING_CAPACITY,2024-12-31,2025-02-25,OPERATING,https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf,NEXTDC 1H25 Results Presentation,OPERATOR_OFFICIAL_FILING,A,True,False,A,Official built capacity at 31-Dec-2024; V20 does not silently relabel built capacity as IT load.
NEXTDC M3,NEXTDC,"25 Indwe Street, West Footscray VIC 3012",OPERATIONAL_DURING_APRIL_2025,13.5,MW,OPERATING_CAPACITY,2024-12-31,2025-02-25,OPERATING,https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf,NEXTDC 1H25 Results Presentation,OPERATOR_OFFICIAL_FILING,A,True,False,A,Official built capacity; the additional 13.5MW was in progress and is excluded.
Vocus Mitcham,Vocus,"28 Thornton Crescent, Mitcham VIC 3132",OPERATIONAL_DURING_APRIL_2025,9.0,MW,BUILD_CAPACITY,,,OPERATING,https://www.datacentermap.com/australia/melbourne/mitcham/specs/,Vocus Mitcham specifications,COMMERCIAL_DIRECTORY,E,uncertain,False,C,Fully-built-out directory value; no April operating or IT-boundary proof.
NEXTDC M1,NEXTDC,"826-846 Lorimer Street, Port Melbourne VIC 3207",OPERATIONAL_DURING_APRIL_2025,15.0,MW,OPERATING_CAPACITY,2024-12-31,2025-02-25,OPERATING,https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf,NEXTDC 1H25 Results Presentation,OPERATOR_OFFICIAL_FILING,A,True,False,B,15MW is the documented Victorian built-capacity residual and agrees with the operator target-IT specification; retained as operating-capacity boundary.
Equinix ME5,Equinix,"22-36 Walsh Street, West Melbourne VIC 3003",OPERATIONAL_DURING_APRIL_2025,4.175,MW,GENERATOR_NAMEPLATE,,,OPERATING,https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me5,ME5 Melbourne data center,OPERATOR_OFFICIAL,A,uncertain,False,C,Sum of listed generator nameplates only; explicitly prohibited as IT/facility capacity.
CDC Brooklyn BK1,CDC Data Centres,"Brooklyn, VIC",OPERATIONAL_DURING_APRIL_2025,,,UNKNOWN,2024,2024,OPERATING,https://cdc.com/media/y0nbxbdf/cdc-sustainability-report-2024.pdf,CDC Sustainability Report 2024,OPERATOR_OFFICIAL_REPORT,A,True,False,B,Official report identifies BK1 as operational; 350MW/780MW campus-region future totals are not BK1 April capacity.
IBM MEL01,IBM,"1279 Nepean Highway, Cheltenham VIC 3192",APRIL_2025_STATUS_UNCERTAIN,,,UNKNOWN,,2020-07-07,UNCERTAIN,https://www.ibm.com/support/pages/sites/default/files/inline-files/anz_27k_ver2.pdf,IBM ISO 27001 certificate appendix,OPERATOR_OFFICIAL_CERTIFICATE,B,uncertain,False,D,"Certificate establishes a managed-service site in 2020, not April-2025 operation or MW."
STACK MEL01A,STACK Infrastructure,"399 Palmers Road, Truganina VIC 3029",OPERATIONAL_DURING_APRIL_2025,36.0,MW,OPERATING_CAPACITY,2023-08-22,2023-08-22,COMMISSIONED,https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-delivers-first-data-center-in-australia-launching-a-robust-apac-portfolio/,STACK delivers first data center in Australia,OPERATOR_OFFICIAL,A,True,False,A,Opened 36MW building; 72MW campus is future context. Boundary is not relabeled IT MW.
