site_id,site_name,operator,facility_owner,tenant_if_any,former_name,address,latitude,longitude,April_2025_operational_status,April_2025_applicable,effective_date,publication_date,reported_value,reported_unit,reported_boundary,source_url,source_title,source_type,source_quality_grade,source_access_date,source_SHA256_if_downloaded,exact_quote_or_paraphrase,confidence_grade,conflict_group,notes
AIDC01,Equinix ME4,Equinix,Equinix,,Metronode Melbourne 2 (MEL2),"2 Davis Court, Derrimut VIC 3030",-37.7884866,144.785835,OPERATIONAL_DURING_APRIL_2025,True,2012-08-07,2012-08-07,12.0,MW,IT_CAPACITY,https://www.itnews.com.au/news/metronode-opens-second-melbourne-data-centre-310603,Metronode opens second Melbourne data centre,E_INDUSTRY,E,2026-09-01,,"The Melbourne2 facility supports up to 12 MW of IT load; this is rated support capacity, not actual consumption.",A,,AER + Equinix + contractor establish ME4 = former MEL2; 12 MW IT-capacity wording remains a separate boundary.
AIDC01,Equinix ME4,Equinix,Equinix,,Metronode Melbourne 2 (MEL2),"2 Davis Court, Derrimut VIC 3030",-37.7884866,144.785835,OPERATIONAL_DURING_APRIL_2025,True,2017-09-30,2017-09-30,7.6,MW,BUILT_CAPACITY,https://icon.co/projects/metronode-derrimut-mel-2-expansion-stage-2/,Metronode Derrimut MEL-2 Expansion Stage 2,D_CONTRACTOR,D,2026-09-01,,Contractor record states ultimate designed capacity 18 MW and 7.6 MW installed.,A,,AER + Equinix + contractor establish ME4 = former MEL2; 12 MW IT-capacity wording remains a separate boundary.
AIDC02,Micron21,Micron21,Micron21,,,"Factory 2, 7 Eastspur Court, Kilsyth South VIC 3137",-37.8215488,145.3146071,OPERATIONAL_DURING_APRIL_2025,True,,,2 x 1,MW,GENERATOR_NAMEPLATE,https://www.micron21.com/data-centre,Micron21 data centre,A_OPERATOR,A,2026-09-01,,Official page lists dual external 1 MW generators and states each power-room generator can power the entire data centre; these are generator nameplates.,A,,2 MW is directory evidence; official 2x1 MW values are generator nameplates only.
AIDC02,Micron21,Micron21,Micron21,,,"Factory 2, 7 Eastspur Court, Kilsyth South VIC 3137",-37.8215488,145.3146071,OPERATIONAL_DURING_APRIL_2025,TEMPORAL_APPLICABILITY_UNRESOLVED,,,2.0,MW,FULLY_BUILT_OUT_POWER,https://www.datacentermap.com/australia/melbourne/micron21-melbourne-datacentre/specs/,Micron21 Melbourne Australia - Specs,F_DIRECTORY,F,2026-09-01,,Directory reports 2 MW fully built-out power; it is not actual operating load.,A,,2 MW is directory evidence; official 2x1 MW values are generator nameplates only.
AIDC03,Fujitsu Noble Park,Fujitsu,Fujitsu,,,"3-5 Summit Road, Noble Park North VIC 3174",-37.9476988,145.1857646,OPERATIONAL_DURING_APRIL_2025,LATER_OFFICIAL_PAGE_EFFECTIVE_DATE_UNCLEAR,,,28.0,MW,IT_CAPACITY,https://global.fujitsu/en-apac/local/about-data-centres,Locations of Fujitsu data centres,A_OPERATOR,A,2026-09-01,,"Official page labels Noble Park as 28 MW IT Load; context is a facility specification, so V22S classifies it as IT capacity, not metered load.",A,,"Official 28 MW IT Load is treated as rated IT capacity, not actual April load; 2x4 MVA feed evidence remains separate."
AIDC03,Fujitsu Noble Park,Fujitsu,Fujitsu,,,"3-5 Summit Road, Noble Park North VIC 3174",-37.9476988,145.1857646,OPERATIONAL_DURING_APRIL_2025,True,,2014-11-06,2 x 4,MVA,MVA_INPUT,https://www.fujitsu.com/au/Images/Fujitsu-Data-Centre-Noble-Park-Fact-Sheet.pdf,Noble Park data centre fact sheet,A_OPERATOR,A,2026-09-01,,Older official fact sheet lists two 4 MVA main feeds; this remains MVA input equipment evidence.,A,,"Official 28 MW IT Load is treated as rated IT capacity, not actual April load; 2x4 MVA feed evidence remains separate."
AIDC04,AAPT / TPG Richmond,TPG Telecom / AAPT,Property owner not resolved,AAPT/TPG operator,AAPT Richmond,"180-188 Burnley Street, Richmond VIC 3121",-37.820133,145.007631,OPERATIONAL_DURING_APRIL_2025,TEMPORAL_APPLICABILITY_UNRESOLVED,,,2.5,MVA,MVA_INPUT,https://inflect.com/building/180-burnley-street-richmond/tpg-telecom/datacenter/aapt-richmond-melbourne,TPG Telecom Richmond,F_DIRECTORY,F,2026-09-01,,Directory reports 2.5 MVA power capacity; no source PF or IT boundary is supplied.,B,,Only 2.5 MVA directory evidence is available; active MW appears only in engineering PF sensitivity.
AIDC05,NEXTDC M2,NEXTDC,NEXTDC,,,"75 Sharps Road, Tullamarine VIC 3043",-37.7088652,144.8754522,OPERATIONAL_DURING_APRIL_2025,True,2024-12-31,2025-02-24,M2 42; M3 13.5,MW,BUILT_CAPACITY,https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf,NEXTDC 1H25 Results Presentation,B_OWNER_FILING,B,2026-09-01,,At 31-Dec-2024: M2 built 42 MW plus 18 MW in progress; M3 built 13.5 MW plus 13.5 MW in progress. Built means designed power capacity of fitted-out data halls.,A,,42 MW built at 31-Dec-2024; 18 MW in progress and 120 MW planned are excluded from April built capacity.
AIDC06,NEXTDC M3,NEXTDC,NEXTDC,,,"25 Indwe Street, West Footscray VIC 3012",-37.8035123,144.8654833,OPERATIONAL_DURING_APRIL_2025,True,2024-12-31,2025-02-24,M2 42; M3 13.5,MW,BUILT_CAPACITY,https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf,NEXTDC 1H25 Results Presentation,B_OWNER_FILING,B,2026-09-01,,At 31-Dec-2024: M2 built 42 MW plus 18 MW in progress; M3 built 13.5 MW plus 13.5 MW in progress. Built means designed power capacity of fitted-out data halls.,A,,13.5 MW built at 31-Dec-2024; another 13.5 MW in progress and planned totals are excluded.
AIDC08,NEXTDC M1,NEXTDC,NEXTDC,,,"826-846 Lorimer Street, Port Melbourne VIC 3207",-37.8226649,144.9322619,OPERATIONAL_DURING_APRIL_2025,True,2024-12-31,2025-02-24,M2 42; M3 13.5,MW,BUILT_CAPACITY,https://nextdc.com/hubfs/Half%20Year%20Results%20Presentation.pdf,NEXTDC 1H25 Results Presentation,B_OWNER_FILING,B,2026-09-01,,At 31-Dec-2024: M2 built 42 MW plus 18 MW in progress; M3 built 13.5 MW plus 13.5 MW in progress. Built means designed power capacity of fitted-out data halls.,A,,15 MW operator evidence is April-compatible; later 16 MW current wording is not backcast.
