case_id,site_id,P_peak_MW,PF_assumed,loading_fraction,S_required_MVA,standard_rating_MVA,rating_exceeds_required,REAL_DNSP_INTERFACE_MVA,authority
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC01,0.19499321922076018,0.95,0.8,0.2565700252904739,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC01,0.19499321922076018,0.95,0.9,0.2280622447026435,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC01,0.19499321922076018,0.98,0.8,0.24871584084280635,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC01,0.19499321922076018,0.98,0.9,0.22108074741582787,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC01,0.19499321922076018,1.0,0.8,0.24374152402595023,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC01,0.19499321922076018,1.0,0.9,0.2166591324675113,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC02,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC02,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC02,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC02,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC02,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC02,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC03,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC03,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
