site_id,site_name,operator,April_2025_status,primary_IT_equivalent_capacity_MW,original_source_boundary,preregistered_classification,harmonized_boundary,conversion_method,source_id,authority_grade,actual_April_operating_load_MW,actual_load_claim
AIDC01,Equinix ME4,Equinix,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,12.0,IT_CAPACITY,SOURCE_BACKED_IT_CAPACITY,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,DIRECT_SOURCE_VALUE,S_ME4_ITNEWS,E,,False
AIDC02,Micron21,Micron21,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,2.0,FULLY_BUILT_OUT_POWER,SECONDARY_CRITICAL_POWER_EQUIVALENT,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,ENGINEERING_IT_EQUIVALENT_PROXY,S_MICRON_DCM,F,,False
AIDC03,Fujitsu Noble Park,Fujitsu,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,28.0,IT_CAPACITY,SOURCE_BACKED_IT_CAPACITY,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,DIRECT_SOURCE_VALUE,S_FUJITSU_OFFICIAL,A,,False
AIDC04,AAPT / TPG Richmond,TPG Telecom,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,1.8846153846153846,MVA_INPUT,ENGINEERING_IT_EQUIVALENT_FROM_MVA,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,ENGINEERING_PF_AND_PUE_CONVERSION,S_AAPT_INFLECT,F,,False
AIDC05,NEXTDC M2,NEXTDC,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,42.0,BUILT_CAPACITY,SOURCE_BACKED_DATA_HALL_DESIGN_POWER_CAPACITY,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,ENGINEERING_IT_EQUIVALENT_PROXY,S_NEXTDC_1H25,B,,False
AIDC06,NEXTDC M3,NEXTDC,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,13.5,BUILT_CAPACITY,SOURCE_BACKED_DATA_HALL_DESIGN_POWER_CAPACITY,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,ENGINEERING_IT_EQUIVALENT_PROXY,S_NEXTDC_1H25,B,,False
AIDC07,Vocus Mitcham,Vocus,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,9.0,FULLY_BUILT_OUT_POWER,SECONDARY_CRITICAL_POWER_EQUIVALENT,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,ENGINEERING_IT_EQUIVALENT_PROXY,S_VOCUS_DCM,F,,False
AIDC08,NEXTDC M1,NEXTDC,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,15.0,IT_CAPACITY,SOURCE_BACKED_IT_CAPACITY,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,DIRECT_SOURCE_VALUE,S_NEXTDC_GUIDE,A,,False
AIDC09,Equinix ME5,Equinix,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,2.346153846153846,GENERATOR_NAMEPLATE,ENGINEERING_EQUIVALENT_IT_CAPACITY_PROXY_FROM_N_PLUS_1_BACKUP,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,N_PLUS_1_ENGINEERING_IT_EQUIVALENT_PROXY,S_ME5_EQX,A,,False
AIDC10,CDC Brooklyn BK1,CDC Data Centres,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,34.0,OPERATING_CAPACITY,SOURCE_BACKED_OPERATING_BUILD_CAPACITY_EQUIVALENT,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,ENGINEERING_IT_EQUIVALENT_PROXY,S_CDC_INFRATIL_2025,B,,False
AIDC11,IBM MEL01 / Digital Realty MEL11,Digital Realty / IBM tenant,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,7.02,HISTORICAL_LIVE_FACILITY_CAPACITY,HISTORICAL_DIGITAL_REALTY_FACILITY_CAPACITY_PRIMARY,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,HISTORICAL_ENGINEERING_IT_EQUIVALENT_PROXY,S_MEL11_DLR_HISTORICAL_2020,B,,False
AIDC12,STACK MEL01A,STACK Infrastructure,OPERATIONAL_OR_COMMISSIONED_AVAILABLE,36.0,BUILT_CAPACITY,SOURCE_BACKED_BUILT_CRITICAL_CAPACITY,IT_EQUIVALENT_ENGINEERING_CAPACITY_NOT_ACTUAL_LOAD,ENGINEERING_IT_EQUIVALENT_PROXY,S_STACK_OPEN,A,,False
