site_id,site_name,primary_IT_equivalent_capacity_MW,preregistered_classification,capacity_weight,operating_IT_average_weight,operating_IT_peak_weight,PCC_peak_weight,authority,GPU_weight_authority,source_confidence
AIDC01,Equinix ME4,12.0,SOURCE_BACKED_IT_CAPACITY,0.05918596533827055,0.05918596533827055,0.05918596533827055,0.05918596533827055,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,E
AIDC02,Micron21,2.0,SECONDARY_CRITICAL_POWER_EQUIVALENT,0.009864327556378425,0.009864327556378425,0.009864327556378425,0.009864327556378425,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,F
AIDC03,Fujitsu Noble Park,28.0,SOURCE_BACKED_IT_CAPACITY,0.13810058578929796,0.13810058578929796,0.13810058578929796,0.13810058578929796,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,A
AIDC04,AAPT / TPG Richmond,1.8846153846153846,ENGINEERING_IT_EQUIVALENT_FROM_MVA,0.009295231735818131,0.009295231735818131,0.009295231735818131,0.009295231735818131,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,F
AIDC05,NEXTDC M2,42.0,SOURCE_BACKED_DATA_HALL_DESIGN_POWER_CAPACITY,0.20715087868394694,0.20715087868394694,0.20715087868394694,0.20715087868394694,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,B
AIDC06,NEXTDC M3,13.5,SOURCE_BACKED_DATA_HALL_DESIGN_POWER_CAPACITY,0.06658421100555437,0.06658421100555437,0.06658421100555437,0.06658421100555437,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,B
AIDC07,Vocus Mitcham,9.0,SECONDARY_CRITICAL_POWER_EQUIVALENT,0.04438947400370292,0.04438947400370292,0.04438947400370292,0.04438947400370292,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,F
AIDC08,NEXTDC M1,15.0,SOURCE_BACKED_IT_CAPACITY,0.07398245667283819,0.07398245667283819,0.07398245667283819,0.07398245667283819,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,A
AIDC09,Equinix ME5,2.346153846153846,ENGINEERING_EQUIVALENT_IT_CAPACITY_PROXY_FROM_N_PLUS_1_BACKUP,0.011571615018059306,0.011571615018059306,0.011571615018059306,0.011571615018059306,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,A
AIDC10,CDC Brooklyn BK1,34.0,SOURCE_BACKED_OPERATING_BUILD_CAPACITY_EQUIVALENT,0.16769356845843322,0.16769356845843322,0.16769356845843322,0.16769356845843322,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,B
AIDC11,IBM MEL01 / Digital Realty MEL11,7.02,HISTORICAL_DIGITAL_REALTY_FACILITY_CAPACITY_PRIMARY,0.03462378972288827,0.03462378972288827,0.03462378972288827,0.03462378972288827,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,B
AIDC12,STACK MEL01A,36.0,SOURCE_BACKED_BUILT_CRITICAL_CAPACITY,0.17755789601481167,0.17755789601481167,0.17755789601481167,0.17755789601481167,MELBOURNE_INFORMED_ENGINEERING_EQUIVALENT,UNAVAILABLE_NOT_INFERRED,A
