ablation,status,reason,daily_WAPE
A1_NO_RECURRENCE,IDENTICAL_TO_ACQ_BY_GATE,ACQ is the preregistered no-recurrence alternative,1.091156165344103
A2_NO_QUEUE_CONSISTENCY,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A3_NO_POWER_LOSS,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A4_POISSON_COUNT,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A5_SINGLE_LOGNORMAL,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A6_NO_GPD_TAIL,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A7_FULL_RANK_COHORT,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A8_NO_SSL,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A9_NO_CUTOFF_AUGMENTATION,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A10_NO_HURDLE,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A11_NO_CALIBRATION,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
A12_NO_COMPOUND_DECOMPOSITION,NOT_RUN_WITH_REASON,RECURRENCE_GATE_FAILED; FULL_RACQ_PROPOSED_EXPERIMENT_FORBIDDEN,
