outer_fold,row_index,fit_end_index,fit_rows,date
1,30,29,30,2024-09-18
1,31,29,30,2024-09-19
1,32,29,30,2024-09-20
1,33,29,30,2024-09-21
1,34,29,30,2024-09-22
1,35,29,30,2024-09-23
1,36,29,30,2024-09-24
1,37,29,30,2024-09-25
1,38,29,30,2024-09-26
1,39,29,30,2024-09-27
1,40,29,30,2024-09-28
1,41,29,30,2024-09-29
1,42,29,30,2024-09-30
1,43,29,30,2024-10-01
1,44,43,44,2024-10-02
1,45,43,44,2024-10-03
1,46,43,44,2024-10-04
1,47,43,44,2024-10-05
1,48,43,44,2024-10-06
1,49,43,44,2024-10-07
1,50,43,44,2024-10-08
1,51,43,44,2024-10-09
1,52,43,44,2024-10-10
1,53,43,44,2024-10-11
1,54,43,44,2024-10-12
1,55,43,44,2024-10-13
1,56,43,44,2024-10-14
1,57,43,44,2024-10-15
1,58,57,58,2024-10-16
1,59,57,58,2024-10-17
1,60,57,58,2024-10-18
1,61,57,58,2024-10-19
1,62,57,58,2024-10-20
1,63,57,58,2024-10-21
1,64,57,58,2024-10-22
1,65,57,58,2024-10-23
1,66,57,58,2024-10-24
1,67,57,58,2024-10-25
1,68,57,58,2024-10-26
1,69,57,58,2024-10-27
1,70,57,58,2024-10-28
1,71,57,58,2024-10-29
1,72,71,72,2024-10-30
1,73,71,72,2024-10-31
2,30,29,30,2024-09-18
2,31,29,30,2024-09-19
2,32,29,30,2024-09-20
2,33,29,30,2024-09-21
2,34,29,30,2024-09-22
2,35,29,30,2024-09-23
2,36,29,30,2024-09-24
2,37,29,30,2024-09-25
2,38,29,30,2024-09-26
2,39,29,30,2024-09-27
2,40,29,30,2024-09-28
2,41,29,30,2024-09-29
2,42,29,30,2024-09-30
2,43,29,30,2024-10-01
2,44,43,44,2024-10-02
2,45,43,44,2024-10-03
2,46,43,44,2024-10-04
2,47,43,44,2024-10-05
2,48,43,44,2024-10-06
2,49,43,44,2024-10-07
2,50,43,44,2024-10-08
2,51,43,44,2024-10-09
2,52,43,44,2024-10-10
2,53,43,44,2024-10-11
2,54,43,44,2024-10-12
2,55,43,44,2024-10-13
2,56,43,44,2024-10-14
2,57,43,44,2024-10-15
2,58,57,58,2024-10-16
2,59,57,58,2024-10-17
2,60,57,58,2024-10-18
2,61,57,58,2024-10-19
2,62,57,58,2024-10-20
2,63,57,58,2024-10-21
2,64,57,58,2024-10-22
2,65,57,58,2024-10-23
2,66,57,58,2024-10-24
2,67,57,58,2024-10-25
2,68,57,58,2024-10-26
2,69,57,58,2024-10-27
2,70,57,58,2024-10-28
2,71,57,58,2024-10-29
2,72,71,72,2024-10-30
2,73,71,72,2024-10-31
2,74,71,72,2024-11-01
2,75,71,72,2024-11-02
2,76,71,72,2024-11-03
2,77,71,72,2024-11-04
2,78,71,72,2024-11-05
2,79,71,72,2024-11-06
2,80,71,72,2024-11-07
2,81,71,72,2024-11-08
2,82,71,72,2024-11-09
2,83,71,72,2024-11-10
2,84,71,72,2024-11-11
2,85,71,72,2024-11-12
2,86,85,86,2024-11-13
2,87,85,86,2024-11-14
2,88,85,86,2024-11-15
2,89,85,86,2024-11-16
2,90,85,86,2024-11-17
2,91,85,86,2024-11-18
2,92,85,86,2024-11-19
2,93,85,86,2024-11-20
2,94,85,86,2024-11-21
2,95,85,86,2024-11-22
2,96,85,86,2024-11-23
2,97,85,86,2024-11-24
2,98,85,86,2024-11-25
2,99,85,86,2024-11-26
2,100,99,100,2024-11-27
2,101,99,100,2024-11-28
2,102,99,100,2024-11-29
2,103,99,100,2024-11-30
3,30,29,30,2024-09-18
3,31,29,30,2024-09-19
3,32,29,30,2024-09-20
3,33,29,30,2024-09-21
3,34,29,30,2024-09-22
3,35,29,30,2024-09-23
3,36,29,30,2024-09-24
3,37,29,30,2024-09-25
3,38,29,30,2024-09-26
3,39,29,30,2024-09-27
3,40,29,30,2024-09-28
3,41,29,30,2024-09-29
3,42,29,30,2024-09-30
3,43,29,30,2024-10-01
3,44,43,44,2024-10-02
3,45,43,44,2024-10-03
3,46,43,44,2024-10-04
3,47,43,44,2024-10-05
3,48,43,44,2024-10-06
3,49,43,44,2024-10-07
3,50,43,44,2024-10-08
3,51,43,44,2024-10-09
3,52,43,44,2024-10-10
3,53,43,44,2024-10-11
3,54,43,44,2024-10-12
3,55,43,44,2024-10-13
3,56,43,44,2024-10-14
3,57,43,44,2024-10-15
3,58,57,58,2024-10-16
3,59,57,58,2024-10-17
3,60,57,58,2024-10-18
3,61,57,58,2024-10-19
3,62,57,58,2024-10-20
3,63,57,58,2024-10-21
3,64,57,58,2024-10-22
3,65,57,58,2024-10-23
3,66,57,58,2024-10-24
3,67,57,58,2024-10-25
3,68,57,58,2024-10-26
3,69,57,58,2024-10-27
3,70,57,58,2024-10-28
3,71,57,58,2024-10-29
3,72,71,72,2024-10-30
3,73,71,72,2024-10-31
3,74,71,72,2024-11-01
3,75,71,72,2024-11-02
3,76,71,72,2024-11-03
3,77,71,72,2024-11-04
3,78,71,72,2024-11-05
3,79,71,72,2024-11-06
3,80,71,72,2024-11-07
3,81,71,72,2024-11-08
3,82,71,72,2024-11-09
3,83,71,72,2024-11-10
3,84,71,72,2024-11-11
3,85,71,72,2024-11-12
3,86,85,86,2024-11-13
3,87,85,86,2024-11-14
3,88,85,86,2024-11-15
3,89,85,86,2024-11-16
3,90,85,86,2024-11-17
3,91,85,86,2024-11-18
3,92,85,86,2024-11-19
3,93,85,86,2024-11-20
3,94,85,86,2024-11-21
3,95,85,86,2024-11-22
3,96,85,86,2024-11-23
3,97,85,86,2024-11-24
3,98,85,86,2024-11-25
3,99,85,86,2024-11-26
3,100,99,100,2024-11-27
3,101,99,100,2024-11-28
3,102,99,100,2024-11-29
3,103,99,100,2024-11-30
3,104,99,100,2024-12-01
3,105,99,100,2024-12-02
3,106,99,100,2024-12-03
3,107,99,100,2024-12-04
3,108,99,100,2024-12-05
3,109,99,100,2024-12-06
3,110,99,100,2024-12-07
3,111,99,100,2024-12-08
3,112,99,100,2024-12-09
3,113,99,100,2024-12-10
3,114,113,114,2024-12-11
3,115,113,114,2024-12-12
3,116,113,114,2024-12-13
3,117,113,114,2024-12-14
3,118,113,114,2024-12-15
3,119,113,114,2024-12-16
3,120,113,114,2024-12-17
3,121,113,114,2024-12-18
3,122,113,114,2024-12-19
3,123,113,114,2024-12-20
3,124,113,114,2024-12-21
3,125,113,114,2024-12-22
3,126,113,114,2024-12-23
3,127,113,114,2024-12-24
3,128,127,128,2024-12-25
3,129,127,128,2024-12-26
3,130,127,128,2024-12-27
3,131,127,128,2024-12-28
3,132,127,128,2024-12-29
3,133,127,128,2024-12-30
3,134,127,128,2024-12-31
4,30,29,30,2024-09-18
4,31,29,30,2024-09-19
4,32,29,30,2024-09-20
4,33,29,30,2024-09-21
4,34,29,30,2024-09-22
4,35,29,30,2024-09-23
4,36,29,30,2024-09-24
4,37,29,30,2024-09-25
4,38,29,30,2024-09-26
4,39,29,30,2024-09-27
4,40,29,30,2024-09-28
4,41,29,30,2024-09-29
4,42,29,30,2024-09-30
4,43,29,30,2024-10-01
4,44,43,44,2024-10-02
4,45,43,44,2024-10-03
4,46,43,44,2024-10-04
4,47,43,44,2024-10-05
4,48,43,44,2024-10-06
4,49,43,44,2024-10-07
4,50,43,44,2024-10-08
4,51,43,44,2024-10-09
4,52,43,44,2024-10-10
4,53,43,44,2024-10-11
4,54,43,44,2024-10-12
4,55,43,44,2024-10-13
4,56,43,44,2024-10-14
4,57,43,44,2024-10-15
4,58,57,58,2024-10-16
4,59,57,58,2024-10-17
4,60,57,58,2024-10-18
4,61,57,58,2024-10-19
4,62,57,58,2024-10-20
4,63,57,58,2024-10-21
4,64,57,58,2024-10-22
4,65,57,58,2024-10-23
4,66,57,58,2024-10-24
4,67,57,58,2024-10-25
4,68,57,58,2024-10-26
4,69,57,58,2024-10-27
4,70,57,58,2024-10-28
4,71,57,58,2024-10-29
4,72,71,72,2024-10-30
4,73,71,72,2024-10-31
4,74,71,72,2024-11-01
4,75,71,72,2024-11-02
4,76,71,72,2024-11-03
4,77,71,72,2024-11-04
4,78,71,72,2024-11-05
4,79,71,72,2024-11-06
4,80,71,72,2024-11-07
4,81,71,72,2024-11-08
4,82,71,72,2024-11-09
4,83,71,72,2024-11-10
4,84,71,72,2024-11-11
4,85,71,72,2024-11-12
4,86,85,86,2024-11-13
4,87,85,86,2024-11-14
4,88,85,86,2024-11-15
4,89,85,86,2024-11-16
4,90,85,86,2024-11-17
4,91,85,86,2024-11-18
4,92,85,86,2024-11-19
4,93,85,86,2024-11-20
4,94,85,86,2024-11-21
4,95,85,86,2024-11-22
4,96,85,86,2024-11-23
4,97,85,86,2024-11-24
4,98,85,86,2024-11-25
4,99,85,86,2024-11-26
4,100,99,100,2024-11-27
4,101,99,100,2024-11-28
4,102,99,100,2024-11-29
4,103,99,100,2024-11-30
4,104,99,100,2024-12-01
4,105,99,100,2024-12-02
4,106,99,100,2024-12-03
4,107,99,100,2024-12-04
4,108,99,100,2024-12-05
4,109,99,100,2024-12-06
4,110,99,100,2024-12-07
4,111,99,100,2024-12-08
4,112,99,100,2024-12-09
4,113,99,100,2024-12-10
4,114,113,114,2024-12-11
4,115,113,114,2024-12-12
4,116,113,114,2024-12-13
4,117,113,114,2024-12-14
4,118,113,114,2024-12-15
4,119,113,114,2024-12-16
4,120,113,114,2024-12-17
4,121,113,114,2024-12-18
4,122,113,114,2024-12-19
4,123,113,114,2024-12-20
4,124,113,114,2024-12-21
4,125,113,114,2024-12-22
4,126,113,114,2024-12-23
4,127,113,114,2024-12-24
4,128,127,128,2024-12-25
4,129,127,128,2024-12-26
4,130,127,128,2024-12-27
4,131,127,128,2024-12-28
4,132,127,128,2024-12-29
4,133,127,128,2024-12-30
4,134,127,128,2024-12-31
4,135,127,128,2025-01-01
4,136,127,128,2025-01-02
4,137,127,128,2025-01-03
4,138,127,128,2025-01-04
4,139,127,128,2025-01-05
4,140,127,128,2025-01-06
4,141,127,128,2025-01-07
4,142,141,142,2025-01-08
4,143,141,142,2025-01-09
4,144,141,142,2025-01-10
4,145,141,142,2025-01-11
4,146,141,142,2025-01-12
4,147,141,142,2025-01-13
4,148,141,142,2025-01-14
4,149,141,142,2025-01-15
4,150,141,142,2025-01-16
4,151,141,142,2025-01-17
4,152,141,142,2025-01-18
4,153,141,142,2025-01-19
4,154,141,142,2025-01-20
4,155,141,142,2025-01-21
4,156,155,156,2025-01-22
4,157,155,156,2025-01-23
4,158,155,156,2025-01-24
4,159,155,156,2025-01-25
4,160,155,156,2025-01-26
4,161,155,156,2025-01-27
4,162,155,156,2025-01-28
4,163,155,156,2025-01-29
4,164,155,156,2025-01-30
4,165,155,156,2025-01-31
5,30,29,30,2024-09-18
5,31,29,30,2024-09-19
5,32,29,30,2024-09-20
5,33,29,30,2024-09-21
5,34,29,30,2024-09-22
5,35,29,30,2024-09-23
5,36,29,30,2024-09-24
5,37,29,30,2024-09-25
5,38,29,30,2024-09-26
5,39,29,30,2024-09-27
5,40,29,30,2024-09-28
5,41,29,30,2024-09-29
5,42,29,30,2024-09-30
5,43,29,30,2024-10-01
5,44,43,44,2024-10-02
5,45,43,44,2024-10-03
5,46,43,44,2024-10-04
5,47,43,44,2024-10-05
5,48,43,44,2024-10-06
5,49,43,44,2024-10-07
5,50,43,44,2024-10-08
5,51,43,44,2024-10-09
5,52,43,44,2024-10-10
5,53,43,44,2024-10-11
5,54,43,44,2024-10-12
5,55,43,44,2024-10-13
5,56,43,44,2024-10-14
5,57,43,44,2024-10-15
5,58,57,58,2024-10-16
5,59,57,58,2024-10-17
5,60,57,58,2024-10-18
5,61,57,58,2024-10-19
5,62,57,58,2024-10-20
5,63,57,58,2024-10-21
5,64,57,58,2024-10-22
5,65,57,58,2024-10-23
5,66,57,58,2024-10-24
5,67,57,58,2024-10-25
5,68,57,58,2024-10-26
5,69,57,58,2024-10-27
5,70,57,58,2024-10-28
5,71,57,58,2024-10-29
5,72,71,72,2024-10-30
5,73,71,72,2024-10-31
5,74,71,72,2024-11-01
5,75,71,72,2024-11-02
5,76,71,72,2024-11-03
5,77,71,72,2024-11-04
5,78,71,72,2024-11-05
5,79,71,72,2024-11-06
5,80,71,72,2024-11-07
5,81,71,72,2024-11-08
5,82,71,72,2024-11-09
5,83,71,72,2024-11-10
5,84,71,72,2024-11-11
5,85,71,72,2024-11-12
5,86,85,86,2024-11-13
5,87,85,86,2024-11-14
5,88,85,86,2024-11-15
5,89,85,86,2024-11-16
5,90,85,86,2024-11-17
5,91,85,86,2024-11-18
5,92,85,86,2024-11-19
5,93,85,86,2024-11-20
5,94,85,86,2024-11-21
5,95,85,86,2024-11-22
5,96,85,86,2024-11-23
5,97,85,86,2024-11-24
5,98,85,86,2024-11-25
5,99,85,86,2024-11-26
5,100,99,100,2024-11-27
5,101,99,100,2024-11-28
5,102,99,100,2024-11-29
5,103,99,100,2024-11-30
5,104,99,100,2024-12-01
5,105,99,100,2024-12-02
5,106,99,100,2024-12-03
5,107,99,100,2024-12-04
5,108,99,100,2024-12-05
5,109,99,100,2024-12-06
5,110,99,100,2024-12-07
5,111,99,100,2024-12-08
5,112,99,100,2024-12-09
5,113,99,100,2024-12-10
5,114,113,114,2024-12-11
5,115,113,114,2024-12-12
5,116,113,114,2024-12-13
5,117,113,114,2024-12-14
5,118,113,114,2024-12-15
