ablation,change,status,normalized_boundary_score,simultaneous_coverage,nonempty_set_rate,mean_safe_width_GPU_h,mean_capture_ratio,reserve_shortfall_GPU_h,reserve_shortfall_event_rate
A0,legacy innovation-only B2/B3,EVALUATED,31.953839714983932,0.2185430463576159,0.006622516556291391,760.2321188776319,0.0,0.0,0.0
A1,+ observable pending point service,EVALUATED,20.921439186961546,0.0,1.0,47286.06493544676,0.0,0.0,0.0
A2,+ running residual survival; running locked so flexible descriptor unchanged,EVALUATED,20.921439186961546,0.0,1.0,47286.06493544676,0.0,0.0,0.0
A3,+ pending realization probability,EVALUATED,20.395355795731852,0.12582781456953643,0.0,4165.004457233797,0.0,0.0,0.0
A4,+ probabilistic pending service,EVALUATED,20.395355795731852,0.12582781456953643,0.0,4165.004457233797,0.0,0.0,0.0
A5,+ explicit gap innovation,EVALUATED,43.400201659129515,0.1456953642384106,0.0,4859.451147724624,0.0,0.0,0.0
A6,+ D2 tuple dependence; aggregate marginal descriptor unchanged,EVALUATED,43.400201659129515,0.1456953642384106,0.0,4859.451147724624,0.0,0.0,0.0
A7,+ probabilistic service-set projection,EVALUATED,43.400201659129515,0.1456953642384106,0.0,4859.451147724624,0.0,0.0,0.0
A8,+ trajectory calibration,EVALUATED,2602.959705728017,1.0,0.0,0.0,0.0,0.0,0.0
A9,without historical capacity normalization; raw GPU-h descriptor algebraically unchanged,DIAGNOSTIC_ONLY,43.400201659129515,0.1456953642384106,0.0,4859.451147724624,0.0,0.0,0.0
A10,direct LightGBM envelope,EVALUATED,15.243233180615933,0.0,1.0,41627.2504738962,0.0,0.0,0.0
A11,direct quantile LightGBM envelope,EVALUATED,19.346138730600728,0.033112582781456956,0.0,9121.706324310551,0.0,0.0,0.0
A12,full SAFE-Flex,EVALUATED,2602.959705728017,1.0,0.0,0.0,0.0,0.0,0.0
