phase,model,days,normalized_boundary_score,simultaneous_coverage,nonempty_set_rate,mean_safe_width_GPU_h,mean_capture_ratio,reserve_shortfall_GPU_h,reserve_shortfall_event_rate
RAW,BL0_STATIC_FLEXIBILITY_RATIO,151,11.968800680326224,0.0,1.0,18630.418644956644,0.0,0.0,0.0
RAW,BL1_LEGACY_B2_B3,151,31.953839714983932,0.2185430463576159,0.006622516556291391,760.2321188776319,0.0,0.0,0.0
RAW,BL2_DIRECT_LIGHTGBM_ENVELOPE,151,15.243233180615933,0.0,1.0,41627.2504738962,0.0,0.0,0.0
RAW,BL3_DIRECT_QUANTILE_LIGHTGBM,151,19.346138730600728,0.033112582781456956,0.0,9121.706324310551,0.0,0.0,0.0
RAW,BL4_OBSERVABLE_STATE_POINT_RUNTIME,151,20.921439186961546,0.0,1.0,47286.06493544676,0.0,0.0,0.0
RAW,BL5_SURVIVAL_ONLY_NO_INNOVATION_UPDATE,151,20.395355795731852,0.12582781456953643,0.0,4165.004457233797,0.0,0.0,0.0
RAW,FULL_SAFE_FLEX_RAW,151,43.400201659129515,0.1456953642384106,0.0,4859.451147724624,0.0,0.0,0.0
CALIBRATED,BL0_STATIC_FLEXIBILITY_RATIO,121,3382.8831138728738,1.0,0.0,0.0,0.0,0.0,0.0
CALIBRATED,BL1_LEGACY_B2_B3,121,3124.660516971075,1.0,0.0,0.0,0.0,0.0,0.0
CALIBRATED,BL2_DIRECT_LIGHTGBM_ENVELOPE,121,2996.448762308379,1.0,0.0,0.0,0.0,0.0,0.0
CALIBRATED,BL3_DIRECT_QUANTILE_LIGHTGBM,121,2825.6443890037954,1.0,0.0,0.0,0.0,0.0,0.0
CALIBRATED,BL4_OBSERVABLE_STATE_POINT_RUNTIME,121,3048.405534184235,1.0,0.0,0.0,0.0,0.0,0.0
CALIBRATED,BL5_SURVIVAL_ONLY_NO_INNOVATION_UPDATE,121,2685.5695290991043,1.0,0.0,0.0,0.0,0.0,0.0
CALIBRATED,FULL_SAFE_FLEX_RAW,121,2602.959705728017,1.0,0.0,0.0,0.0,0.0,0.0
