target_day,cutoff_AEST,visible_submitted_jobs,visible_running_jobs,visible_pending_jobs,visible_done_jobs,unsupported_state_count,ambiguous_state_count,source_valid_state_fraction
2024-08-19,2024-08-18T18:00:00+10:00,43323,35,0,43288,0,0,1.0
2024-08-20,2024-08-19T18:00:00+10:00,43553,11,0,43542,0,0,1.0
2024-08-21,2024-08-20T18:00:00+10:00,43978,30,0,43948,0,0,1.0
2024-08-22,2024-08-21T18:00:00+10:00,44591,136,0,44455,0,0,1.0
2024-08-23,2024-08-22T18:00:00+10:00,45084,154,0,44930,0,0,1.0
2024-08-24,2024-08-23T18:00:00+10:00,45425,54,21,45350,0,0,1.0
2024-08-25,2024-08-24T18:00:00+10:00,45721,52,10,45659,0,0,1.0
2024-08-26,2024-08-25T18:00:00+10:00,45977,29,0,45948,0,0,1.0
2024-08-27,2024-08-26T18:00:00+10:00,46134,12,0,46122,0,0,1.0
2024-08-28,2024-08-27T18:00:00+10:00,46726,23,339,46364,0,0,1.0
2024-08-29,2024-08-28T18:00:00+10:00,48851,173,10,48668,0,0,1.0
2024-08-30,2024-08-29T18:00:00+10:00,49613,75,47,49491,0,0,1.0
2024-08-31,2024-08-30T18:00:00+10:00,49868,0,67,49801,0,0,1.0
2024-09-01,2024-08-31T18:00:00+10:00,50968,61,48,50859,0,0,1.0
2024-09-02,2024-09-01T18:00:00+10:00,51078,85,42,50951,0,0,1.0
2024-09-03,2024-09-02T18:00:00+10:00,51248,70,36,51142,0,0,1.0
2024-09-04,2024-09-03T18:00:00+10:00,51535,53,50,51432,0,0,1.0
2024-09-05,2024-09-04T18:00:00+10:00,52001,61,28,51912,0,0,1.0
2024-09-06,2024-09-05T18:00:00+10:00,52648,71,34,52543,0,0,1.0
2024-09-07,2024-09-06T18:00:00+10:00,53011,85,20,52906,0,0,1.0
2024-09-08,2024-09-07T18:00:00+10:00,53366,75,16,53275,0,0,1.0
2024-09-09,2024-09-08T18:00:00+10:00,53381,19,12,53350,0,0,1.0
2024-09-10,2024-09-09T18:00:00+10:00,53450,22,8,53420,0,0,1.0
2024-09-11,2024-09-10T18:00:00+10:00,53594,75,4,53515,0,0,1.0
2024-09-12,2024-09-11T18:00:00+10:00,53892,54,2,53836,0,0,1.0
2024-09-13,2024-09-12T18:00:00+10:00,55423,45,0,55378,0,0,1.0
2024-09-14,2024-09-13T18:00:00+10:00,57166,36,12,57118,0,0,1.0
2024-09-15,2024-09-14T18:00:00+10:00,58484,303,189,57992,0,0,1.0
2024-09-16,2024-09-15T18:00:00+10:00,58629,125,10,58494,0,0,1.0
2024-09-17,2024-09-16T18:00:00+10:00,58953,77,24,58852,0,0,1.0
2024-09-18,2024-09-17T18:00:00+10:00,59431,144,12,59275,0,0,1.0
2024-09-19,2024-09-18T18:00:00+10:00,59946,233,7,59706,0,0,1.0
2024-09-20,2024-09-19T18:00:00+10:00,61550,155,180,61215,0,0,1.0
2024-09-21,2024-09-20T18:00:00+10:00,62166,212,421,61533,0,0,1.0
2024-09-22,2024-09-21T18:00:00+10:00,63382,304,277,62801,0,0,1.0
2024-09-23,2024-09-22T18:00:00+10:00,63668,285,164,63219,0,0,1.0
2024-09-24,2024-09-23T18:00:00+10:00,64299,294,383,63622,0,0,1.0
2024-09-25,2024-09-24T18:00:00+10:00,65258,201,51,65006,0,0,1.0
2024-09-26,2024-09-25T18:00:00+10:00,65949,220,10,65719,0,0,1.0
2024-09-27,2024-09-26T18:00:00+10:00,66905,107,13,66785,0,0,1.0
2024-09-28,2024-09-27T18:00:00+10:00,68218,359,84,67775,0,0,1.0
2024-09-29,2024-09-28T18:00:00+10:00,69572,150,205,69217,0,0,1.0
2024-09-30,2024-09-29T18:00:00+10:00,70476,273,566,69637,0,0,1.0
2024-10-01,2024-09-30T18:00:00+10:00,71202,378,275,70549,0,0,1.0
2024-10-02,2024-10-01T18:00:00+10:00,72724,0,1,72723,0,0,1.0
2024-10-03,2024-10-02T18:00:00+10:00,72724,0,1,72723,0,0,1.0
2024-10-04,2024-10-03T18:00:00+10:00,72724,0,1,72723,0,0,1.0
2024-10-05,2024-10-04T18:00:00+10:00,72724,0,1,72723,0,0,1.0
2024-10-06,2024-10-05T18:00:00+10:00,72724,0,1,72723,0,0,1.0
2024-10-07,2024-10-06T18:00:00+10:00,72724,0,1,72723,0,0,1.0
2024-10-08,2024-10-07T18:00:00+10:00,72724,0,1,72723,0,0,1.0
2024-10-09,2024-10-08T18:00:00+10:00,72733,0,1,72732,0,0,1.0
2024-10-10,2024-10-09T18:00:00+10:00,73982,0,479,73503,0,0,1.0
2024-10-11,2024-10-10T18:00:00+10:00,74713,0,516,74197,0,0,1.0
2024-10-12,2024-10-11T18:00:00+10:00,75384,342,387,74655,0,0,1.0
2024-10-13,2024-10-12T18:00:00+10:00,76170,384,310,75476,0,0,1.0
2024-10-14,2024-10-13T18:00:00+10:00,78580,192,295,78093,0,0,1.0
2024-10-15,2024-10-14T18:00:00+10:00,78654,198,138,78318,0,0,1.0
2024-10-16,2024-10-15T18:00:00+10:00,78723,82,127,78514,0,0,1.0
2024-10-17,2024-10-16T18:00:00+10:00,79500,446,255,78799,0,0,1.0
2024-10-18,2024-10-17T18:00:00+10:00,80212,112,242,79858,0,0,1.0
2024-10-19,2024-10-18T18:00:00+10:00,80750,176,342,80232,0,0,1.0
2024-10-20,2024-10-19T18:00:00+10:00,80926,215,75,80636,0,0,1.0
2024-10-21,2024-10-20T18:00:00+10:00,81088,74,31,80983,0,0,1.0
2024-10-22,2024-10-21T18:00:00+10:00,81833,148,198,81487,0,0,1.0
2024-10-23,2024-10-22T18:00:00+10:00,82501,102,25,82374,0,0,1.0
2024-10-24,2024-10-23T18:00:00+10:00,83463,271,406,82786,0,0,1.0
2024-10-25,2024-10-24T18:00:00+10:00,83686,259,98,83329,0,0,1.0
2024-10-26,2024-10-25T18:00:00+10:00,84824,271,227,84326,0,0,1.0
2024-10-27,2024-10-26T18:00:00+10:00,86001,226,742,85033,0,0,1.0
2024-10-28,2024-10-27T18:00:00+10:00,86197,117,380,85700,0,0,1.0
2024-10-29,2024-10-28T18:00:00+10:00,86356,6,384,85966,0,0,1.0
2024-10-30,2024-10-29T18:00:00+10:00,87592,351,22,87219,0,0,1.0
2024-10-31,2024-10-30T18:00:00+10:00,88868,425,1,88442,0,0,1.0
2024-11-01,2024-10-31T18:00:00+10:00,89843,77,0,89766,0,0,1.0
2024-11-02,2024-11-01T18:00:00+10:00,90481,196,0,90285,0,0,1.0
2024-11-03,2024-11-02T18:00:00+10:00,92593,456,1103,91034,0,0,1.0
2024-11-04,2024-11-03T18:00:00+10:00,92772,466,667,91639,0,0,1.0
2024-11-05,2024-11-04T18:00:00+10:00,93264,468,502,92294,0,0,1.0
2024-11-06,2024-11-05T18:00:00+10:00,96950,243,2990,93717,0,0,1.0
2024-11-07,2024-11-06T18:00:00+10:00,97349,362,2760,94227,0,0,1.0
2024-11-08,2024-11-07T18:00:00+10:00,97504,413,2384,94707,0,0,1.0
2024-11-09,2024-11-08T18:00:00+10:00,97695,348,1974,95373,0,0,1.0
2024-11-10,2024-11-09T18:00:00+10:00,97942,288,1694,95960,0,0,1.0
2024-11-11,2024-11-10T18:00:00+10:00,98061,277,1440,96344,0,0,1.0
2024-11-12,2024-11-11T18:00:00+10:00,98198,268,1193,96737,0,0,1.0
2024-11-13,2024-11-12T18:00:00+10:00,99234,280,1622,97332,0,0,1.0
2024-11-14,2024-11-13T18:00:00+10:00,99587,370,1222,97995,0,0,1.0
2024-11-15,2024-11-14T18:00:00+10:00,100070,164,1256,98650,0,0,1.0
2024-11-16,2024-11-15T18:00:00+10:00,100250,105,1167,98978,0,0,1.0
2024-11-17,2024-11-16T18:00:00+10:00,101325,194,1024,100107,0,0,1.0
2024-11-18,2024-11-17T18:00:00+10:00,101492,266,703,100523,0,0,1.0
