day,critical_line,critical_phase,critical_slot,aidc_id,sensitivity_normalized_current_per_kw,B0_minus_B1_pcc_kw,signed_contribution_normalized_current,absolute_contribution_normalized_current
2025-04-01,line.sw2,A,74,AIDC01,-5.118697132822092e-09,0.0016984503799939432,-8.69385309031559e-12,8.69385309031559e-12
2025-04-01,line.sw2,A,74,AIDC02,1.088241207980456e-06,0.00301946843251244,3.2859099744561915e-09,3.2859099744561915e-09
2025-04-01,line.sw2,A,74,AIDC03,8.719587087924197e-07,0.0031138275907309776,2.7151290854159944e-09,2.7151290854159944e-09
2025-04-01,line.sw2,A,74,AIDC04,8.634652099992479e-07,0.001368196139122091,1.1813897665872164e-09,1.1813897665872164e-09
2025-04-01,line.sw2,A,74,AIDC05,0.00033294731959843116,0.002123062980150081,7.068681285796267e-07,7.068681285796267e-07
2025-04-01,line.sw2,A,74,AIDC06,6.461335834151427e-07,0.002736392486411887,1.7680750828755848e-09,1.7680750828755848e-09
2025-04-01,line.sw2,A,74,AIDC07,9.062376361557156e-07,0.0008492251897607161,7.695998285326404e-10,7.695998285326404e-10
2025-04-01,line.sw2,A,74,AIDC08,9.188236012591666e-07,0.0025004964444619304,2.297515148036253e-09,2.297515148036253e-09
2025-04-01,line.sw2,A,74,AIDC09,0.00033129359471961717,0.006103759734372716,2.0221365037051927e-06,2.0221365037051927e-06
2025-04-01,line.sw2,A,74,AIDC10,0.0003324873022539365,0.000707687658133338,2.3529716029115965e-07,2.3529716029115965e-07
2025-04-01,line.sw2,A,74,AIDC11,0.00033243884633593623,0.00047179177208711565,1.568419124234277e-07,1.568419124234277e-07
2025-04-01,line.sw2,A,74,AIDC12,0.00033311920459949684,0.0009907627213898706,3.300420896962266e-07,3.300420896962266e-07
2025-04-02,line.sw2,A,74,AIDC01,-1.6592205720478148e-08,-2.0275914315802375,3.3642214149858095e-08,3.3642214149858095e-08
2025-04-02,line.sw2,A,74,AIDC02,1.132238686529785e-06,0.017388138535054054,1.9687523136127543e-08,1.9687523136127543e-08
2025-04-02,line.sw2,A,74,AIDC03,8.968390844410479e-07,0.017931522656823518,1.608169036217951e-08,1.608169036217951e-08
2025-04-02,line.sw2,A,74,AIDC04,8.868090934921469e-07,0.007878997114396213,6.987166288644947e-09,6.987166288644947e-09
2025-04-02,line.sw2,A,74,AIDC05,0.0003351628059828915,0.012226030044907077,4.097710535882193e-06,4.097710535882193e-06
2025-04-02,line.sw2,A,74,AIDC06,6.494647469268422e-07,0.015757995601632047,1.0234262625488249e-08,1.0234262625488249e-08
2025-04-02,line.sw2,A,74,AIDC07,9.335673415988843e-07,0.004890412001733679,4.565528931781789e-09,4.565528931781789e-09
2025-04-02,line.sw2,A,74,AIDC08,9.462661999526389e-07,0.014399546804263252,1.3625804435510354e-08,1.3625804435510354e-08
2025-04-02,line.sw2,A,74,AIDC09,0.00033321543909020646,0.035002941984600966,1.1663520682847834e-05,1.1663520682847834e-05
2025-04-02,line.sw2,A,74,AIDC10,0.0003347523482377657,0.004075343334768888,1.364230751189012e-06,1.364230751189012e-06
2025-04-02,line.sw2,A,74,AIDC11,0.00033467846137064106,0.0027168955565084474,9.092864245569787e-07,9.092864245569787e-07
2025-04-02,line.sw2,A,74,AIDC12,0.0003353682568390526,0.005705480668719787,1.913437106297467e-06,1.913437106297467e-06
2025-04-03,line.sw2,A,27,AIDC01,-1.828279755367035e-08,-1.933180373562692,3.5343945404575514e-08,3.5343945404575514e-08
2025-04-03,line.sw2,A,27,AIDC02,1.3714952253329749e-06,0.18523006101854378,2.540421442750684e-07,2.540421442750684e-07
2025-04-03,line.sw2,A,27,AIDC03,1.1066812135585025e-06,0.1910185275714369,2.1139661590491603e-07,2.1139661590491603e-07
2025-04-03,line.sw2,A,27,AIDC04,1.0961188386948706e-06,0.08393234980261965,9.19998297945791e-08,9.19998297945791e-08
2025-04-03,line.sw2,A,27,AIDC05,0.00034931601538268353,0.13023985366838176,4.5494866727462894e-05,4.5494866727462894e-05
2025-04-03,line.sw2,A,27,AIDC06,8.333522153458617e-07,0.1678647112106546,1.3989042896579232e-07,1.3989042896579232e-07
2025-04-03,line.sw2,A,27,AIDC07,1.1436261814212756e-06,0.052095941249966415,5.9578282359246204e-08,5.9578282359246204e-08
2025-04-03,line.sw2,A,27,AIDC08,1.159734049738237e-06,0.15339360837631943,1.7789579064623008e-07,1.7789579064623008e-07
2025-04-03,line.sw2,A,27,AIDC09,0.0003451947823743251,0.354732676397731,0.00012245186903017663,0.00012245186903017663
2025-04-03,line.sw2,A,27,AIDC10,0.0003496023022404038,0.04341328437466174,1.5177384165199093e-05,1.5177384165199093e-05
2025-04-03,line.sw2,A,27,AIDC11,0.000349407729135609,0.02894218958294381,1.0112624738388676e-05,1.0112624738388676e-05
2025-04-03,line.sw2,A,27,AIDC12,0.00034997135399694734,0.06077859812576136,2.127076828010903e-05,2.127076828010903e-05
2025-04-04,line.sw2,A,29,AIDC01,-1.831026374965461e-08,-0.8811092732432435,1.613334318535028e-08,1.613334318535028e-08
2025-04-04,line.sw2,A,29,AIDC02,1.4338942209146666e-06,2.0555786540129404,2.9474823526247043e-06,2.9474823526247043e-06
2025-04-04,line.sw2,A,29,AIDC03,1.1523651390898948e-06,2.119815493327586,2.4428014758133576e-06,2.4428014758133576e-06
2025-04-04,line.sw2,A,29,AIDC04,1.1398590110678342e-06,0.9314340687777829,1.0617035165119327e-06,1.0617035165119327e-06
2025-04-04,line.sw2,A,29,AIDC05,0.00035317187689909435,1.4453287283599536,0.0005104494597310661,0.0005104494597310661
2025-04-04,line.sw2,A,29,AIDC06,8.598599665621265e-07,1.8628681452692604,1.6018057411008768e-06,1.6018057411008768e-06
2025-04-04,line.sw2,A,29,AIDC07,1.1904098524140316e-06,0.5781314909237079,6.882134227863951e-07,6.882134227863951e-07
2025-04-04,line.sw2,A,29,AIDC08,1.2087669606364315e-06,1.7022760602529665,2.0576550595161373e-06,2.0576550595161373e-06
2025-04-04,line.sw2,A,29,AIDC09,0.00034827409826615474,3.822175426367565,0.0013311647000332192,0.0013311647000332192
2025-04-04,line.sw2,A,29,AIDC10,0.000353718538506409,0.4817762424326819,0.00017041318836039763,0.00017041318836039763
2025-04-04,line.sw2,A,29,AIDC11,0.0003534635191178581,0.32118416161917906,0.00011352688405083393,0.00011352688405083393
2025-04-04,line.sw2,A,29,AIDC12,0.0003539805585522915,0.6744867394185281,0.00023875519275548445,0.00023875519275548445
