day,rho_AIDC,status,coefficient_count,minimum_conservatism_kw,maximum_site_error_kw,maximum_aggregate_error_kw,site_error_threshold_kw,aggregate_error_threshold_kw
2025-01-01,0.1,PASS,1152,-1.4210854715202004e-14,8.231175577577687e-06,8.243656786532938e-06,14.25,5.288087919579648
2025-01-01,0.25,PASS,1152,-1.4210854715202004e-14,8.231175577577687e-06,8.243656786532938e-06,14.25,5.288087919579648
2025-01-01,0.5,PASS,1152,-1.4210854715202004e-14,8.231175577577687e-06,8.243656786532938e-06,14.25,5.288087919579648
2025-01-01,1.0,PASS,1152,-1.4210854715202004e-14,8.231175577577687e-06,8.243656786532938e-06,14.25,5.288087919579648
2025-01-02,0.1,PASS,1152,-7.105427357601002e-15,7.4056647534348485e-06,7.4289340243893776e-06,14.25,5.288087919579648
2025-01-02,0.25,PASS,1152,-7.105427357601002e-15,7.4056647534348485e-06,7.4289340243893776e-06,14.25,5.288087919579648
2025-01-02,0.5,PASS,1152,-7.105427357601002e-15,7.4056647534348485e-06,7.4289340243893776e-06,14.25,5.288087919579648
2025-01-02,1.0,PASS,1152,-7.105427357601002e-15,7.4056647534348485e-06,7.4289340243893776e-06,14.25,5.288087919579648
2025-01-03,0.1,PASS,1152,-1.4210854715202004e-14,7.206629327072278e-06,7.224528340898928e-06,14.25,5.288087919579648
2025-01-03,0.25,PASS,1152,-1.4210854715202004e-14,7.206629327072278e-06,7.224528340898928e-06,14.25,5.288087919579648
2025-01-03,0.5,PASS,1152,-1.4210854715202004e-14,7.206629327072278e-06,7.224528340898928e-06,14.25,5.288087919579648
2025-01-03,1.0,PASS,1152,-1.4210854715202004e-14,7.206629327072278e-06,7.224528340898928e-06,14.25,5.288087919579648
2025-01-04,0.1,PASS,1152,-7.105427357601002e-15,9.186000696104202e-06,9.206692796581706e-06,14.25,5.288087919579648
2025-01-04,0.25,PASS,1152,-7.105427357601002e-15,9.186000696104202e-06,9.206692796581706e-06,14.25,5.288087919579648
2025-01-04,0.5,PASS,1152,-7.105427357601002e-15,9.186000696104202e-06,9.206692796581706e-06,14.25,5.288087919579648
2025-01-04,1.0,PASS,1152,-7.105427357601002e-15,9.186000696104202e-06,9.206692796581706e-06,14.25,5.288087919579648
