day,sample,slot,timestamp,source_voltage_pu,anchor_generation_control_mode,forensic_replay_control_mode,anchor_control_converged,tap_reg1a,tap_reg2a,tap_reg3a,tap_reg3c,tap_reg4a,tap_reg4b,tap_reg4c,capacitor_c83,capacitor_c88a,capacitor_c90b,capacitor_c92c
2025-01-03,VIOLATION,0,2025-01-03T00:15:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,1,2025-01-03T00:30:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,2,2025-01-03T00:45:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,3,2025-01-03T01:00:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,4,2025-01-03T01:15:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,5,2025-01-03T01:30:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,6,2025-01-03T01:45:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,7,2025-01-03T02:00:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,8,2025-01-03T02:15:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,9,2025-01-03T02:30:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,10,2025-01-03T02:45:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,11,2025-01-03T03:00:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,12,2025-01-03T03:15:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,13,2025-01-03T03:30:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,14,2025-01-03T03:45:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,15,2025-01-03T04:00:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,16,2025-01-03T04:15:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,17,2025-01-03T04:30:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.00625,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,18,2025-01-03T04:45:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.0,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,19,2025-01-03T05:00:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.0,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,20,2025-01-03T05:15:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.0,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,21,2025-01-03T05:30:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.0,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,22,2025-01-03T05:45:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.0,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,23,2025-01-03T06:00:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.0,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,24,2025-01-03T06:15:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,25,2025-01-03T06:30:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,26,2025-01-03T06:45:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0062499999999999,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,27,2025-01-03T07:00:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
2025-01-03,VIOLATION,28,2025-01-03T07:15:00+10:00,1.0,STATIC_NATIVE_MAXCONTROLITER_100,FROZEN_ANCHOR_STATE_CONTROL_OFF,True,1.0125000000000002,1.00625,1.0125,1.00625,1.0437500000000002,1.025,1.03125,1,1,1,1
