namespace,scenario,artifact_id,status,day,case,schedule_sha256,OpenDSS_solve_count,convergence_count,node_phase_count,branch_phase_count,rho_max_AC,p95_loading,p99_loading,Vmin_pu,Vmax_pu,transformer_phase_current_loading_max,transformer_total_kva_loading_max,losses_kwh,losses_kvarh,voltage_violation_count,voltage_violation_exposure,line_current_violation_count,line_current_violation_exposure,transformer_current_violation_count,transformer_current_violation_exposure,transformer_kva_violation_count,transformer_kva_violation_exposure_phase_rows,physical_violation,schedule_mutation_count,clean_engine_count,elapsed_seconds,critical_line,critical_line_phase,critical_line_slot,critical_line_current_a,critical_line_rating_a,Vmax_node,Vmax_phase,Vmax_slot,Vmin_node,Vmin_phase,Vmin_slot
DAYAHEAD,S_NOM,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B0,152dc35c5944b45a66b91ee02b06abe505174b72ff630ec4b6c9f2d550594d5b,96,96,386,383,0.5887554690010023,0.42339105875452604,0.5094201995552906,0.9782346091490597,1.0487749086652518,0.6613154511450313,0.564860014785564,917.6274590900867,1837.649590231349,0,0.0,0,0.0,0,0.0,0,0.0,False,0,1,1.558665599906817,line.sw2,A,29,246.09978604241897,418.0,83.1,A,85,65.1,A,29
DAYAHEAD,S_NOM,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B1,d874b5079f1687e38fdaebd617e7735fefac0fa8584605487c3db4feb46a014b,96,96,386,383,0.5874290066338457,0.4227264382062352,0.511441501549744,0.9782269403999426,1.048684492034295,0.6609297107900647,0.5631036662553474,918.2761832921162,1839.1388613340503,0,0.0,0,0.0,0,0.0,0,0.0,False,0,1,1.4691312001086771,line.sw2,A,26,245.5453247729475,418.00000000000006,83.1,A,85,65.1,A,31
DAYAHEAD,S_NOM,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B2,875f488041ea727d6f6086cb400cb5daf3080fd1f548d22c9d550edb5d0e550b,96,96,386,383,0.5321669261096348,0.4252598444399596,0.50568515637565,0.9740570741479191,1.047415875560494,0.6087302216648072,0.5367658470553767,935.8109541560589,1902.62139981478,0,0.0,0,0.0,0,0.0,0,0.0,False,0,1,1.5067726999986917,line.sw2,A,93,222.44577511382735,418.0,83.1,A,51,mess_sta04_pcc.1,A,39
DAYAHEAD,S_NOM,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B3,5c4fa6e97db6ff838807424e0691e96dbb409d148143facccfc29024ccb72672,96,96,386,383,0.5301606466579685,0.4244535227039198,0.5020127029940751,0.9740993441903821,1.0479609536895098,0.6011344761580162,0.5362197697041815,933.993693527043,1899.686472633882,0,0.0,0,0.0,0,0.0,0,0.0,False,0,1,1.541080900002271,line.sw2,A,95,221.6071503030308,418.0,83.1,A,26,mess_sta04_pcc.1,A,39
ACTUAL,REALIZED,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,R0,80e5f33f4cb1cdb4a8461ba71ca6cc4a6f3f1a53d3a43e11d450b803ae1f97a9,96,96,386,383,0.6147195004620514,0.42802345318061313,0.5179477387178586,0.9770774896584546,1.0502681768755169,0.6865467898337532,0.583628059253685,933.8010479902492,1870.0149420980051,4,0.0001079447322970639,0,0.0,0,0.0,0,0.0,True,0,1,0.623817800078541,line.sw2,A,27,256.9527511931375,418.0,83.1,A,85,65.1,A,27
ACTUAL,REALIZED,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B0,dfa3f5d07192f4fde4d4a783d502b48b43c4eee15e72034fad911a894bd6eb2c,96,96,386,383,0.6149823258620969,0.4286577452449749,0.5177471656275142,0.977028884543877,1.0502648153586382,0.6879462676283203,0.5850158122973252,935.6430570849079,1873.8692949855597,4,0.0001079447322970639,0,0.0,0,0.0,0,0.0,True,0,1,0.6201206999830902,line.sw2,A,27,257.0626122103565,418.00000000000006,83.1,A,85,65.1,A,27
ACTUAL,REALIZED,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B1,3e04fb2ffcfe18ce871531df71fca8bb4fad8891f14c9ea4848c27120d48f371,96,96,386,383,0.6136330934338445,0.42799161832214183,0.5179152323910676,0.977092013842201,1.0502285131887499,0.6867299320425618,0.583814989815714,933.7947731780629,1869.8923352811985,4,0.0001079447322970639,0,0.0,0,0.0,0,0.0,True,0,1,0.627011900069192,line.sw2,A,27,256.498633055347,418.0,83.1,A,85,65.1,A,27
ACTUAL,REALIZED,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B2,8b9a08c41bcec8906e0a0ff16dcd30da96e31edd2f8f9366b1ee38858ed9e845,96,96,386,383,0.5586982806887425,0.42897423475672974,0.5058057346113699,0.9725663732176988,1.0473770763610035,0.6283960102050883,0.5546298143024253,952.6218360616517,1936.4644986861626,0,0.0,0,0.0,0,0.0,0,0.0,False,0,1,0.6242223000153899,line.sw2,A,63,233.53588132789437,418.0,83.1,A,51,mess_sta04_pcc.1,A,39
ACTUAL,REALIZED,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B3,cb3d6d9fe37a2fffa9cc41a7c7650e09adac39e2c124d2751b9ff56d9d169069,96,96,386,383,0.5570683154232804,0.42800119385566265,0.5018282220171437,0.9726961187177409,1.0468536652852172,0.625857248772635,0.5519454534518338,948.7510094051981,1928.9257411862359,0,0.0,0,0.0,0,0.0,0,0.0,False,0,1,0.6328453999012709,line.sw2,A,63,232.8545558469312,418.0,83.1,A,50,mess_sta04_pcc.1,A,39
PERFECT_INFORMATION,REALIZED_ORACLE,V28R2_FRESH_OPENDSS_TRAJECTORY_RESULT_V1,PHYSICAL_RESULT,2025-04-04,B3,3f4b8f2f82cc9a4ea47dc06837798e73452c6a23976a9d0d8e23bca8acc7f47b,96,96,386,383,0.5556114207342496,0.4317805487171606,0.5158115343539594,0.9766820399350937,1.0499472690821976,0.6340502801708282,0.5570095508372416,954.9644581264511,1939.7481077776633,0,0.0,0,0.0,0,0.0,0,0.0,False,0,1,0.6205605999566615,line.sw2,A,85,232.24557386691635,418.0,mess_sta03_pcc.3,C,27,mess_sta04_pcc.1,A,22
