day,critical_line,critical_phase,critical_slot,aidc_id,planning_control_name,planning_sensitivity_pu_per_kw,fresh_central_FD_sensitivity_pu_per_kw,fresh_minus_planning_pu_per_kw,actual_B3_minus_B2_delta_P_PCC_kw,predicted_delta_rho,sensitivity_classification
2025-04-04,line.sw2,A,63,AIDC01,aidc_load_kw[AIDC01],8.658407046890915e-09,1.787560377497499e-09,-6.870846669393416e-09,-0.8497010891347259,-7.357057897914996e-09,GRID_SENSITIVITY_WEAK
2025-04-04,line.sw2,A,63,AIDC02,aidc_load_kw[AIDC02],9.052568463452371e-07,2.747981834139157e-06,1.84272498779392e-06,2.302391286019187,2.084255474634484e-06,GRID_SENSITIVITY_WEAK
2025-04-04,line.sw2,A,63,AIDC03,aidc_load_kw[AIDC03],7.427213010724465e-07,2.71927048062226e-06,1.9765491795498136e-06,-1.5577853321122461,-1.1570003486579806e-06,GRID_SENSITIVITY_WEAK
2025-04-04,line.sw2,A,63,AIDC04,aidc_load_kw[AIDC04],7.336445667360803e-07,2.740286201396991e-06,2.0066416346609106e-06,-0.6844814328997835,-5.02166084278653e-07,GRID_SENSITIVITY_WEAK
2025-04-04,line.sw2,A,63,AIDC05,aidc_load_kw[AIDC05],0.00034040682010810785,0.0003592320141430072,1.882519403489935e-05,-1.0621263614942613,-0.0003615550572692561,GRID_SENSITIVITY_STRONG
2025-04-04,line.sw2,A,63,AIDC06,aidc_load_kw[AIDC06],5.781806410032342e-07,2.7386219354497143e-06,2.16044129444648e-06,-1.3689628664814677,-7.915078276518799e-07,GRID_SENSITIVITY_WEAK
2025-04-04,line.sw2,A,63,AIDC07,aidc_load_kw[AIDC07],7.677580768361558e-07,2.7108400477704464e-06,1.9430819709342906e-06,-0.42485054455353577,-3.2618243702921615e-07,GRID_SENSITIVITY_WEAK
2025-04-04,line.sw2,A,63,AIDC08,aidc_load_kw[AIDC08],7.808942200926428e-07,2.707376588473309e-06,1.9264823683806664e-06,-1.250948825977666,-9.768587078376365e-07,GRID_SENSITIVITY_WEAK
2025-04-04,line.sw2,A,63,AIDC09,aidc_load_kw[AIDC09],0.00033822782553449837,0.00035249801750397713,1.4270191969478763e-05,-2.8087363281514683,-0.0009499927807704224,GRID_SENSITIVITY_STRONG
2025-04-04,line.sw2,A,63,AIDC10,aidc_load_kw[AIDC10],0.00034025354987524126,0.0003602849486100679,2.0031398734826622e-05,-0.35404212046082506,-0.00012046408829215351,GRID_SENSITIVITY_STRONG
2025-04-04,line.sw2,A,63,AIDC11,aidc_load_kw[AIDC11],0.00034022487531998324,0.00036032357703019713,2.0098701710213884e-05,0.1325954544058856,4.5112271943238955e-05,GRID_SENSITIVITY_STRONG
2025-04-04,line.sw2,A,63,AIDC12,aidc_load_kw[AIDC12],0.00034072218353345396,0.00036049553417105695,1.9773350637602993e-05,-0.4956589686467012,-0.00016888200608524383,GRID_SENSITIVITY_STRONG
