day,case,field,current_slot,requested_slot,future_read
2025-04-04,B1,workload_arrivals,0,0,False
2025-04-04,B1,rack_residual_capacity,0,0,False
2025-04-04,B1,phase_current_site_score,0,0,False
2025-04-04,B1,anchor_site_flexible_kw,0,0,False
2025-04-04,B1,workload_arrivals,1,1,False
2025-04-04,B1,rack_residual_capacity,1,1,False
2025-04-04,B1,phase_current_site_score,1,1,False
2025-04-04,B1,anchor_site_flexible_kw,1,1,False
2025-04-04,B1,workload_arrivals,2,2,False
2025-04-04,B1,rack_residual_capacity,2,2,False
2025-04-04,B1,phase_current_site_score,2,2,False
2025-04-04,B1,anchor_site_flexible_kw,2,2,False
2025-04-04,B1,workload_arrivals,3,3,False
2025-04-04,B1,rack_residual_capacity,3,3,False
2025-04-04,B1,phase_current_site_score,3,3,False
2025-04-04,B1,anchor_site_flexible_kw,3,3,False
2025-04-04,B1,workload_arrivals,4,4,False
2025-04-04,B1,rack_residual_capacity,4,4,False
2025-04-04,B1,phase_current_site_score,4,4,False
2025-04-04,B1,anchor_site_flexible_kw,4,4,False
2025-04-04,B1,workload_arrivals,5,5,False
2025-04-04,B1,rack_residual_capacity,5,5,False
2025-04-04,B1,phase_current_site_score,5,5,False
2025-04-04,B1,anchor_site_flexible_kw,5,5,False
2025-04-04,B1,workload_arrivals,6,6,False
2025-04-04,B1,rack_residual_capacity,6,6,False
2025-04-04,B1,phase_current_site_score,6,6,False
2025-04-04,B1,anchor_site_flexible_kw,6,6,False
2025-04-04,B1,workload_arrivals,7,7,False
2025-04-04,B1,rack_residual_capacity,7,7,False
2025-04-04,B1,phase_current_site_score,7,7,False
2025-04-04,B1,anchor_site_flexible_kw,7,7,False
2025-04-04,B1,workload_arrivals,8,8,False
2025-04-04,B1,rack_residual_capacity,8,8,False
2025-04-04,B1,phase_current_site_score,8,8,False
2025-04-04,B1,anchor_site_flexible_kw,8,8,False
2025-04-04,B1,workload_arrivals,9,9,False
2025-04-04,B1,rack_residual_capacity,9,9,False
2025-04-04,B1,phase_current_site_score,9,9,False
2025-04-04,B1,anchor_site_flexible_kw,9,9,False
2025-04-04,B1,workload_arrivals,10,10,False
2025-04-04,B1,rack_residual_capacity,10,10,False
2025-04-04,B1,phase_current_site_score,10,10,False
2025-04-04,B1,anchor_site_flexible_kw,10,10,False
2025-04-04,B1,workload_arrivals,11,11,False
2025-04-04,B1,rack_residual_capacity,11,11,False
2025-04-04,B1,phase_current_site_score,11,11,False
2025-04-04,B1,anchor_site_flexible_kw,11,11,False
2025-04-04,B1,workload_arrivals,12,12,False
2025-04-04,B1,rack_residual_capacity,12,12,False
2025-04-04,B1,phase_current_site_score,12,12,False
2025-04-04,B1,anchor_site_flexible_kw,12,12,False
2025-04-04,B1,workload_arrivals,13,13,False
2025-04-04,B1,rack_residual_capacity,13,13,False
2025-04-04,B1,phase_current_site_score,13,13,False
2025-04-04,B1,anchor_site_flexible_kw,13,13,False
2025-04-04,B1,workload_arrivals,14,14,False
2025-04-04,B1,rack_residual_capacity,14,14,False
2025-04-04,B1,phase_current_site_score,14,14,False
2025-04-04,B1,anchor_site_flexible_kw,14,14,False
2025-04-04,B1,workload_arrivals,15,15,False
2025-04-04,B1,rack_residual_capacity,15,15,False
2025-04-04,B1,phase_current_site_score,15,15,False
2025-04-04,B1,anchor_site_flexible_kw,15,15,False
2025-04-04,B1,workload_arrivals,16,16,False
2025-04-04,B1,rack_residual_capacity,16,16,False
2025-04-04,B1,phase_current_site_score,16,16,False
2025-04-04,B1,anchor_site_flexible_kw,16,16,False
2025-04-04,B1,workload_arrivals,17,17,False
2025-04-04,B1,rack_residual_capacity,17,17,False
2025-04-04,B1,phase_current_site_score,17,17,False
2025-04-04,B1,anchor_site_flexible_kw,17,17,False
2025-04-04,B1,workload_arrivals,18,18,False
2025-04-04,B1,rack_residual_capacity,18,18,False
2025-04-04,B1,phase_current_site_score,18,18,False
2025-04-04,B1,anchor_site_flexible_kw,18,18,False
2025-04-04,B1,workload_arrivals,19,19,False
2025-04-04,B1,rack_residual_capacity,19,19,False
2025-04-04,B1,phase_current_site_score,19,19,False
2025-04-04,B1,anchor_site_flexible_kw,19,19,False
2025-04-04,B1,workload_arrivals,20,20,False
2025-04-04,B1,rack_residual_capacity,20,20,False
2025-04-04,B1,phase_current_site_score,20,20,False
2025-04-04,B1,anchor_site_flexible_kw,20,20,False
2025-04-04,B1,workload_arrivals,21,21,False
2025-04-04,B1,rack_residual_capacity,21,21,False
2025-04-04,B1,phase_current_site_score,21,21,False
2025-04-04,B1,anchor_site_flexible_kw,21,21,False
2025-04-04,B1,workload_arrivals,22,22,False
2025-04-04,B1,rack_residual_capacity,22,22,False
2025-04-04,B1,phase_current_site_score,22,22,False
2025-04-04,B1,anchor_site_flexible_kw,22,22,False
2025-04-04,B1,workload_arrivals,23,23,False
2025-04-04,B1,rack_residual_capacity,23,23,False
2025-04-04,B1,phase_current_site_score,23,23,False
2025-04-04,B1,anchor_site_flexible_kw,23,23,False
2025-04-04,B1,workload_arrivals,24,24,False
2025-04-04,B1,rack_residual_capacity,24,24,False
2025-04-04,B1,phase_current_site_score,24,24,False
2025-04-04,B1,anchor_site_flexible_kw,24,24,False
2025-04-04,B1,workload_arrivals,25,25,False
2025-04-04,B1,rack_residual_capacity,25,25,False
2025-04-04,B1,phase_current_site_score,25,25,False
2025-04-04,B1,anchor_site_flexible_kw,25,25,False
2025-04-04,B1,workload_arrivals,26,26,False
2025-04-04,B1,rack_residual_capacity,26,26,False
2025-04-04,B1,phase_current_site_score,26,26,False
2025-04-04,B1,anchor_site_flexible_kw,26,26,False
2025-04-04,B1,workload_arrivals,27,27,False
2025-04-04,B1,rack_residual_capacity,27,27,False
2025-04-04,B1,phase_current_site_score,27,27,False
2025-04-04,B1,anchor_site_flexible_kw,27,27,False
2025-04-04,B1,workload_arrivals,28,28,False
2025-04-04,B1,rack_residual_capacity,28,28,False
2025-04-04,B1,phase_current_site_score,28,28,False
2025-04-04,B1,anchor_site_flexible_kw,28,28,False
2025-04-04,B1,workload_arrivals,29,29,False
2025-04-04,B1,rack_residual_capacity,29,29,False
2025-04-04,B1,phase_current_site_score,29,29,False
2025-04-04,B1,anchor_site_flexible_kw,29,29,False
2025-04-04,B1,workload_arrivals,30,30,False
2025-04-04,B1,rack_residual_capacity,30,30,False
2025-04-04,B1,phase_current_site_score,30,30,False
2025-04-04,B1,anchor_site_flexible_kw,30,30,False
2025-04-04,B1,workload_arrivals,31,31,False
2025-04-04,B1,rack_residual_capacity,31,31,False
2025-04-04,B1,phase_current_site_score,31,31,False
2025-04-04,B1,anchor_site_flexible_kw,31,31,False
2025-04-04,B1,workload_arrivals,32,32,False
2025-04-04,B1,rack_residual_capacity,32,32,False
2025-04-04,B1,phase_current_site_score,32,32,False
2025-04-04,B1,anchor_site_flexible_kw,32,32,False
2025-04-04,B1,workload_arrivals,33,33,False
2025-04-04,B1,rack_residual_capacity,33,33,False
2025-04-04,B1,phase_current_site_score,33,33,False
2025-04-04,B1,anchor_site_flexible_kw,33,33,False
2025-04-04,B1,workload_arrivals,34,34,False
2025-04-04,B1,rack_residual_capacity,34,34,False
2025-04-04,B1,phase_current_site_score,34,34,False
2025-04-04,B1,anchor_site_flexible_kw,34,34,False
2025-04-04,B1,workload_arrivals,35,35,False
2025-04-04,B1,rack_residual_capacity,35,35,False
2025-04-04,B1,phase_current_site_score,35,35,False
2025-04-04,B1,anchor_site_flexible_kw,35,35,False
2025-04-04,B1,workload_arrivals,36,36,False
2025-04-04,B1,rack_residual_capacity,36,36,False
2025-04-04,B1,phase_current_site_score,36,36,False
2025-04-04,B1,anchor_site_flexible_kw,36,36,False
2025-04-04,B1,workload_arrivals,37,37,False
2025-04-04,B1,rack_residual_capacity,37,37,False
2025-04-04,B1,phase_current_site_score,37,37,False
2025-04-04,B1,anchor_site_flexible_kw,37,37,False
2025-04-04,B1,workload_arrivals,38,38,False
2025-04-04,B1,rack_residual_capacity,38,38,False
2025-04-04,B1,phase_current_site_score,38,38,False
2025-04-04,B1,anchor_site_flexible_kw,38,38,False
2025-04-04,B1,workload_arrivals,39,39,False
2025-04-04,B1,rack_residual_capacity,39,39,False
2025-04-04,B1,phase_current_site_score,39,39,False
2025-04-04,B1,anchor_site_flexible_kw,39,39,False
2025-04-04,B1,workload_arrivals,40,40,False
2025-04-04,B1,rack_residual_capacity,40,40,False
2025-04-04,B1,phase_current_site_score,40,40,False
2025-04-04,B1,anchor_site_flexible_kw,40,40,False
2025-04-04,B1,workload_arrivals,41,41,False
2025-04-04,B1,rack_residual_capacity,41,41,False
2025-04-04,B1,phase_current_site_score,41,41,False
2025-04-04,B1,anchor_site_flexible_kw,41,41,False
2025-04-04,B1,workload_arrivals,42,42,False
2025-04-04,B1,rack_residual_capacity,42,42,False
2025-04-04,B1,phase_current_site_score,42,42,False
2025-04-04,B1,anchor_site_flexible_kw,42,42,False
2025-04-04,B1,workload_arrivals,43,43,False
2025-04-04,B1,rack_residual_capacity,43,43,False
2025-04-04,B1,phase_current_site_score,43,43,False
2025-04-04,B1,anchor_site_flexible_kw,43,43,False
2025-04-04,B1,workload_arrivals,44,44,False
2025-04-04,B1,rack_residual_capacity,44,44,False
2025-04-04,B1,phase_current_site_score,44,44,False
2025-04-04,B1,anchor_site_flexible_kw,44,44,False
2025-04-04,B1,workload_arrivals,45,45,False
2025-04-04,B1,rack_residual_capacity,45,45,False
2025-04-04,B1,phase_current_site_score,45,45,False
2025-04-04,B1,anchor_site_flexible_kw,45,45,False
2025-04-04,B1,workload_arrivals,46,46,False
2025-04-04,B1,rack_residual_capacity,46,46,False
2025-04-04,B1,phase_current_site_score,46,46,False
2025-04-04,B1,anchor_site_flexible_kw,46,46,False
2025-04-04,B1,workload_arrivals,47,47,False
2025-04-04,B1,rack_residual_capacity,47,47,False
2025-04-04,B1,phase_current_site_score,47,47,False
2025-04-04,B1,anchor_site_flexible_kw,47,47,False
2025-04-04,B1,workload_arrivals,48,48,False
2025-04-04,B1,rack_residual_capacity,48,48,False
2025-04-04,B1,phase_current_site_score,48,48,False
2025-04-04,B1,anchor_site_flexible_kw,48,48,False
2025-04-04,B1,workload_arrivals,49,49,False
2025-04-04,B1,rack_residual_capacity,49,49,False
2025-04-04,B1,phase_current_site_score,49,49,False
2025-04-04,B1,anchor_site_flexible_kw,49,49,False
2025-04-04,B1,workload_arrivals,50,50,False
2025-04-04,B1,rack_residual_capacity,50,50,False
2025-04-04,B1,phase_current_site_score,50,50,False
2025-04-04,B1,anchor_site_flexible_kw,50,50,False
2025-04-04,B1,workload_arrivals,51,51,False
2025-04-04,B1,rack_residual_capacity,51,51,False
2025-04-04,B1,phase_current_site_score,51,51,False
2025-04-04,B1,anchor_site_flexible_kw,51,51,False
2025-04-04,B1,workload_arrivals,52,52,False
2025-04-04,B1,rack_residual_capacity,52,52,False
2025-04-04,B1,phase_current_site_score,52,52,False
2025-04-04,B1,anchor_site_flexible_kw,52,52,False
2025-04-04,B1,workload_arrivals,53,53,False
2025-04-04,B1,rack_residual_capacity,53,53,False
2025-04-04,B1,phase_current_site_score,53,53,False
2025-04-04,B1,anchor_site_flexible_kw,53,53,False
2025-04-04,B1,workload_arrivals,54,54,False
2025-04-04,B1,rack_residual_capacity,54,54,False
2025-04-04,B1,phase_current_site_score,54,54,False
2025-04-04,B1,anchor_site_flexible_kw,54,54,False
2025-04-04,B1,workload_arrivals,55,55,False
2025-04-04,B1,rack_residual_capacity,55,55,False
2025-04-04,B1,phase_current_site_score,55,55,False
2025-04-04,B1,anchor_site_flexible_kw,55,55,False
2025-04-04,B1,workload_arrivals,56,56,False
2025-04-04,B1,rack_residual_capacity,56,56,False
2025-04-04,B1,phase_current_site_score,56,56,False
2025-04-04,B1,anchor_site_flexible_kw,56,56,False
2025-04-04,B1,workload_arrivals,57,57,False
2025-04-04,B1,rack_residual_capacity,57,57,False
2025-04-04,B1,phase_current_site_score,57,57,False
2025-04-04,B1,anchor_site_flexible_kw,57,57,False
2025-04-04,B1,workload_arrivals,58,58,False
2025-04-04,B1,rack_residual_capacity,58,58,False
2025-04-04,B1,phase_current_site_score,58,58,False
2025-04-04,B1,anchor_site_flexible_kw,58,58,False
2025-04-04,B1,workload_arrivals,59,59,False
2025-04-04,B1,rack_residual_capacity,59,59,False
2025-04-04,B1,phase_current_site_score,59,59,False
2025-04-04,B1,anchor_site_flexible_kw,59,59,False
2025-04-04,B1,workload_arrivals,60,60,False
