day,case,anchor_case,selected,eligible_slot_count,selected_slot,selection_reason,leverage_quartile,blocked_nodeh,analysis_status,April_rows_used
2025-01-01,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-02,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-02,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-03,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-03,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-04,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-04,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-05,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-05,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-06,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-06,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-07,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-07,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-08,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-08,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-09,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-09,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-10,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-10,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-11,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-11,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-12,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-12,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-13,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-13,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-14,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-14,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-15,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-15,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-16,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-16,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-17,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-17,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-18,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-18,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-19,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-19,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-20,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-20,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-21,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-21,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-22,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-22,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-23,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-23,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-24,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-24,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-25,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-25,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-26,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-26,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-27,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-27,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-28,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-28,B3,B2,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-29,B1,B0,False,NOT_COMPUTABLE,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
