case,quantity,mean,median,p90,p95,maximum,fraction_positive,analysis_status,April_rows_used
B1,S_RESOURCE,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,S_PLAN,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,S_AC_POLICY,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,S_AC_TRAJECTORY,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,S_AC_PHYSICAL,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,SURROGATE_CONSERVATISM_NODEH,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,POLICY_GEOMETRY_COST_NODEH,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,TRAJECTORY_NOREGRET_COST_NODEH,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,TRUE_RESOURCE_GAP_NODEH,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B1,PLANNING_OPTIMISTIC_FRACTION,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,S_RESOURCE,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,S_PLAN,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,S_AC_POLICY,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,S_AC_TRAJECTORY,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,S_AC_PHYSICAL,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,SURROGATE_CONSERVATISM_NODEH,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,POLICY_GEOMETRY_COST_NODEH,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,TRAJECTORY_NOREGRET_COST_NODEH,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,TRUE_RESOURCE_GAP_NODEH,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
B3,PLANNING_OPTIMISTIC_FRACTION,,,,,,,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
