day,case,anchor_case,slot,DA_authorized_nodeh,source_available_nodeh,rack_feasible_nodeh,S_PLAN_nodeh,S_RESOURCE_nodeh,nominal_current_blocked_nodeh,candidate_destination_sites_racks,planning_current_leverage,preApril_electrical_sensitivity,anchor_planning_loading_pu,candidate_planning_loading_pu,critical_branch_phase,frontier_eligible,analysis_status,April_rows_used
2025-01-01,B1,B0,0,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,1,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,2,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,3,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,4,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,5,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,6,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,7,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,8,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,9,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,10,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,11,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,12,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,13,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,14,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,15,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,16,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,17,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,18,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,19,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,20,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,21,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,22,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,23,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,24,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,25,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,26,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,27,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,28,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,29,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,30,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
