day,classification,DA_workload_authority,Actual_workload_authority,demand_forecast,realized_demand,PV_forecast,realized_PV,forecast_weather_C1,realized_weather_C1,traffic_mobility,feeder_source,rack_capacity,workload_compatibility,hash_identity,semantic_shape_validation,future_actual_reads,April_rows_used,reason
2025-01-01,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-02,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-03,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-04,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-05,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-06,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-07,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-08,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-09,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-10,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-11,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-12,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-13,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
