proof_day,case_path,function,file,field_or_table,timestamp_range_requested,classification,numerical_consumer,observed,sha256
2025-01-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-01-15\aemo_forecast.json,timestamps_96;demand_mw_96;pv_mw_96,2025-01-15 slots 0..95,DECISION_DRIVING,materialize_formulation_data -> x_DA planning background,timestamps_96=96;demand_mw_96=96;pv_mw_96=96,51a7943a7d9ace021ce46ab6e0462b6bf20871ae7c9c17c4a5f1c06fa480f0db
2025-01-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-01-15\aemo_forecast.json,timestamps_96;demand_mw_96;pv_mw_96,2025-01-15 slots 0..95,DECISION_DRIVING,materialize_formulation_data -> x_DA planning background,timestamps_96=96;demand_mw_96=96;pv_mw_96=96,51a7943a7d9ace021ce46ab6e0462b6bf20871ae7c9c17c4a5f1c06fa480f0db
2025-01-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-01-15\gfs_d1_weather.parquet,t_wb_c;rh_pct,2025-01-15 slots 0..95,DECISION_DRIVING,endpoint_secant -> x_DA C1 coefficients,"rows=96;columns=t_wb_c,rh_pct",496bcff833051a6f20fade9111621fa9eb5da5035db5e46d6148655ddd4e8bd4
2025-01-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-01-15\gfs_d1_weather.parquet,t_wb_c;rh_pct,2025-01-15 slots 0..95,DECISION_DRIVING,endpoint_secant -> x_DA C1 coefficients,"rows=96;columns=t_wb_c,rh_pct",496bcff833051a6f20fade9111621fa9eb5da5035db5e46d6148655ddd4e8bd4
2025-01-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-01-15\source_day_manifest.json,source_day_sha256;causality,2025-01-15 slots 0..95,DIAGNOSTIC_ONLY,provenance/hash audit only,source_day_sha256=present;causality=present,586bd2af369b63260e76bbbb127d188821c8954ce51b62ded60538939be155cd
2025-01-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-01-15\source_day_manifest.json,source_day_sha256;causality,2025-01-15 slots 0..95,DIAGNOSTIC_ONLY,provenance/hash audit only,source_day_sha256=present;causality=present,586bd2af369b63260e76bbbb127d188821c8954ce51b62ded60538939be155cd
2025-01-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\electrical_anchor\2025-01-15\D1_AC_ANCHOR.npz,node_names;regulator_taps;capacitor_states,2025-01-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,apply_frozen_native_state -> Fresh trajectory,"keys=anchor_control,anchor_v_squared,branch_current_a,branch_names,branch_p_kw,branch_q_kvar,capacitor_states,control_names,deterministic_repeat_max_abs_error,native_master_sha,node_names,operating_day,plan_sha256,regulator_taps,root_pq,schema_version,sensitivity;requested_present=node_names,regulator_taps,capacitor_states",ba1a5d3b35d01904a8f82c05df5e662199184b13dfac02c0d88720186685d7af
2025-01-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\electrical_anchor\2025-01-15\D1_AC_ANCHOR.npz,node_names;regulator_taps;capacitor_states,2025-01-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,apply_frozen_native_state -> Fresh trajectory,"keys=anchor_control,anchor_v_squared,branch_current_a,branch_names,branch_p_kw,branch_q_kvar,capacitor_states,control_names,deterministic_repeat_max_abs_error,native_master_sha,node_names,operating_day,plan_sha256,regulator_taps,root_pq,schema_version,sensitivity;requested_present=node_names,regulator_taps,capacitor_states",ba1a5d3b35d01904a8f82c05df5e662199184b13dfac02c0d88720186685d7af
2025-01-15,B1/B0,dayahead.v29.source_namespace.materialize_traffic_mobility_namespaces (field-lineage probe),traffic_mobility.json logical namespace,mess.mode;mess.location;mess.available;mess.safe_travel_energy_kwh;mess.initial_energy_kwh,2025-01-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,_mess_authority/replay_mess,engineering fields are independent of SCATS actual_volume by construction,50b99d248087e6cf26726dfbe108e4a6e5c4bde1485451de850defd95c2c69af
2025-01-15,B3/B2,dayahead.v29.source_namespace.materialize_traffic_mobility_namespaces (field-lineage probe),traffic_mobility.json logical namespace,mess.mode;mess.location;mess.available;mess.safe_travel_energy_kwh;mess.initial_energy_kwh,2025-01-15 slots 0..95,DECISION_DRIVING,_mess_authority/replay_mess,engineering fields are independent of SCATS actual_volume by construction,50b99d248087e6cf26726dfbe108e4a6e5c4bde1485451de850defd95c2c69af
