day,B1_B0_FRONTIER_SOURCE_READY,B3_B2_FRONTIER_SOURCE_READY,DA_workload_model_and_queue,DA_demand_PV_forecast,DA_weather_C1,actual_workload,realized_demand_PV,realized_weather_C1,engineering_MESS_route,feeder_and_native_state,scalar_s_reconstruction_inputs,SCATS_actual,SCATS_forecast,missing_required_count,diagnostic_missing_count
2025-01-01,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-02,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-03,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-04,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-05,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-06,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-07,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-08,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-09,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-10,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-11,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-12,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-13,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-14,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-15,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-16,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-17,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-18,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-19,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-20,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-21,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-22,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-23,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-24,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-25,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-26,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-27,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-28,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-29,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-30,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-01-31,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-02-01,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-02-02,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-02-03,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-02-04,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
