day,comparison,case,objective_delta,planning_rho_delta,fresh_rho_AC_delta,MOVE_count,MOVE_count_by_vehicle,sum_abs_P_kW_slots,sum_abs_Q_kvar_slots,charge_kWh,discharge_kWh,throughput_kWh,max_abs_P_kW,max_abs_Q_kvar,P_Q_nonzero_slot_count,planning_terminal_SoC,actual_terminal_SoC,travel_energy_kWh,Planning_rho,Fresh_rho_AC,critical_line_before,critical_slot_before,critical_line_after,critical_slot_after,critical_current_before,critical_current_after,critical_current_delta,max_abs_planning_voltage_change,planning_transformer_kVA_max_before,planning_transformer_kVA_max_after,MESS_commands_at_pre_MESS_critical_slot,Q_to_P_absolute_command_ratio,physical_driver,attribution_limit,zero_actuation_equivalence_status,watchdog_status
2025-04-01,B2-B0,B2,-0.023682824736147357,-0.02368282473597949,0.027719660002389457,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",8322.422316840999,57581.14166078401,1093.61659879725,986.988980413,2080.6055792102497,550.0,522.622308578,96,"[0.6333333333333333,0.6333333333333333,0.5996613666966667,0.6333337418891667]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.5433242969660724,0.5947217272600733,line.sw2::A,74,line.sw2::A,82,0.5670071217020519,0.5409026489624836,-0.026104472739568285,0.05813626963175922,0.5528157486603082,0.9187532263934707,"[{""P_kW"":550.0,""Q_kvar"":262.93509515,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":56.360308775,""Q_kvar"":-522.622308578,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":-172.343163279,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.0,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",6.918795930875146,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-01,B3-B1,B3,-0.02317609257818465,-0.023176092578013896,0.02759717360516345,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",8247.733255197,57898.089449382,1083.80200462525,978.1313091740001,2061.93331379925,550.0,522.937609566,96,"[0.6333333333333333,0.6333333333333333,0.5993657006133334,0.63333374987]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.5438275585815804,0.5945973549353846,line.sw2::A,74,line.sw2::A,95,0.5670036511595943,0.5414719107719177,-0.025531740387676582,0.0581377300079754,0.552878168442788,0.9185522277033354,"[{""P_kW"":550.0,""Q_kvar"":262.933001238,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":54.839847946,""Q_kvar"":-522.937609566,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":-167.695313359,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.0,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",7.019878996801903,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-02,B2-B0,B2,-0.0342661838030065,-0.034266183802872385,0.029788911243666227,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",12181.234685042,61819.590323667,1600.6878692569999,1444.6208020035,3045.3086712605,550.0,514.572018835,96,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.5543423486661732,0.618391938451761,line.sw2::A,74,line.sw2::A,81,0.5886085324690455,0.5516989624303739,-0.03690957003867168,0.060209799960896704,0.5744719858728305,0.9154651840637607,"[{""P_kW"":550.0,""Q_kvar"":266.373405392,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":95.019842934,""Q_kvar"":-504.128792046,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":-276.001304324,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.0,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",5.074985575934978,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-02,B3-B1,B3,-0.04370384431105523,-0.0437038443109109,-0.015581615674629679,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",10527.798241264,54055.130053749,1383.4163260535,1248.5332342625,2631.949560316,550.0,568.854018462,96,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.5448846351484439,0.5730046535689722,line.sw2::A,74,line.sw2::A,87,0.5885884794593548,0.5448846351483799,-0.04370384431097485,0.05026487944735614,0.5728560758943144,0.9288064444996793,"[{""P_kW"":550.0,""Q_kvar"":266.361157077,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":123.373455861,""Q_kvar"":-498.954287012,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.0,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.0,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",5.134514246471633,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-03,B2-B0,B2,-0.05606187010546171,-0.05606187010530761,0.023688925180603282,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",17526.722481844998,67915.996646149,2303.117277508,2078.56334295325,4381.680620461249,550.0,686.549696282,96,"[0.6333333333333333,0.6117248624583334,0.6336657921775,0.6333349601841667]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.5219512521939271,0.6017016164559423,line.sw2::A,27,line.sw2::A,71,0.5780131222992347,0.521951252193762,-0.0560618701054727,0.07614972905233208,0.5750363737326555,0.9284283326127959,"[{""P_kW"":550.0,""Q_kvar"":295.835872316,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":171.444059852,""Q_kvar"":-72.764386096,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":63.207411161,""Q_kvar"":-686.549696282,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.085679538,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",3.874996977700741,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-03,B3-B1,B3,-0.056083488993190045,-0.0560834889930335,0.023603817026476737,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",17558.141013285,67971.427641652,2307.2458624557503,2082.2893908655,4389.53525332125,550.0,686.549696282,96,"[0.6333333333333333,0.6117252120641667,0.6337966632983334,0.6333349702708333]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.521714192895087,0.6013991389942005,line.sw2::A,27,line.sw2::A,68,0.5777976818881205,0.5217141928949195,-0.056083488993201036,0.07612429658605824,0.5747094751135697,0.9283962924919572,"[{""P_kW"":550.0,""Q_kvar"":295.705619662,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":170.816656638,""Q_kvar"":-72.498103265,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":63.862006006,""Q_kvar"":-686.549696282,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.086210738,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",3.8712200562817465,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-04,B2-B0,B2,-0.018435857576011738,-0.01843585757588362,-0.0019482826996696234,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",8371.010176165,54724.604366103005,1100.00133721,992.7512068312501,2092.75254404125,550.0,650.10679868,96,"[0.6333333333333333,0.5877529119925,0.6333416132308333,0.6333337263158333]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.570311927534976,0.5867990146629499,line.sw2::A,29,line.sw2::A,28,0.5887477851108596,0.5703101840040129,-0.01843760110684667,0.0698038384008649,0.5848845248367729,0.9170570619363074,"[{""P_kW"":550.0,""Q_kvar"":307.226410862,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":56.826169887,""Q_kvar"":-24.144942534,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":0.052293839,""Q_kvar"":-0.078259667,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.053570781,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",6.537395513139122,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-04,B3-B1,B3,-0.01822915188750207,-0.01822915188732288,0.02619168990336096,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",9130.941215288,55011.881885168,1199.8608692902499,1082.87443453175,2282.735303822,550.0,669.112944226,96,"[0.6333333333333333,0.5878184591275,0.63334123875,0.6333333821433332]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.5703831018370059,0.6148020816816764,line.sw2::A,29,line.sw2::A,82,0.5886122537243288,0.4445330513615442,-0.1440792023627846,0.07659331635116717,0.5851166893641389,0.9150101847647438,"[{""P_kW"":550.0,""Q_kvar"":307.144881032,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":550.0,""Q_kvar"":-233.690189219,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":-669.112944226,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.0,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",6.024776700244353,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-05,B2-B0,B2,-0.0460088042799629,-0.04600880427982057,0.004749778749362443,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",12594.836766653001,56476.831163665,1655.0376828712501,1493.671508792,3148.7091916632503,550.0,500.565330003,96,"[0.5325861400541667,0.6957871574658334,0.7427809359758334,0.6333333333333333]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.515619935015362,0.5663739205209336,line.sw2::A,74,line.sw2::A,90,0.5616287392951825,0.5065929609084366,-0.05503577838674589,0.05025216991555592,0.5421596814818134,0.9157510215840362,"[{""P_kW"":550.0,""Q_kvar"":310.55850767,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":90.35914977,""Q_kvar"":-486.617673881,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":-238.923224788,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.0,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",4.484125694522468,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
2025-04-05,B3-B1,B3,-0.04598816042808507,-0.0459881604277691,0.01053478405202668,0,"{""MESS01"":0,""MESS02"":0,""MESS03"":0,""MESS04"":0}",13950.012385283999,55924.94311522,1833.1159507607501,1654.3871455602502,3487.5030963209997,550.0,517.707367068,96,"[0.5326159734083333,0.6957921952275,0.7452605692858333,0.6333333333333333]","[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",0.0,0.5156405386580666,0.5721615039698627,line.sw2::A,75,line.sw2::A,86,0.5616286990858357,0.5148376343804882,-0.04679106470534744,0.050261988757676845,0.5428575047085791,0.9157537797120132,"[{""P_kW"":541.80138785,""Q_kvar"":311.629436157,""location"":""STA01"",""mess_id"":""MESS01"",""mode"":""CONNECTED""},{""P_kW"":86.979227787,""Q_kvar"":-517.707367068,""location"":""STA02"",""mess_id"":""MESS02"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":-21.660182162,""location"":""STA03"",""mess_id"":""MESS03"",""mode"":""CONNECTED""},{""P_kW"":0.0,""Q_kvar"":0.0,""location"":""STA04"",""mess_id"":""MESS04"",""mode"":""CONNECTED""}]",4.0089529364300605,STATIONARY_P_Q_COMBINATION_Q_COMMAND_MAGNITUDE_DOMINANT_MOBILITY_EXCLUDED,P_VS_Q_NOT_CAUSALLY_SEPARATED_WITHOUT_A_NEW_COUNTERFACTUAL_SOLVE,NOT_APPLICABLE_NONZERO_MESS_ACTUATION,PASS
