day,case,comparison,mess_id,termination,incumbent,best_bound,MIP_gap,WorkLimit_tiers_used,MIPStart_accepted,zero_PQ_objective,stationary_optimized_PQ_objective,restricted_stationary_MIP_gap,full_incumbent_worse_than_restricted,status
2025-04-01,B2,B2-B0,MESS01,WORK_LIMIT,0.5666022075877166,0.4495491567355724,0.20658770700963613,[60.0],True,0.5670071217020519,0.5666022075877166,0.0,False,PASS
2025-04-01,B2,B2-B0,MESS02,WORK_LIMIT,0.543349334844988,0.40281081758541115,0.25865223024460143,[60.0],True,0.5666022075877828,0.543349334844988,0.0,False,PASS
2025-04-01,B2,B2-B0,MESS03,WORK_LIMIT,0.5433249885694362,0.34149533007913924,0.3714713343513068,[60.0],True,0.5433493348451314,0.5433249885694362,0.0,False,PASS
2025-04-01,B2,B2-B0,MESS04,WORK_LIMIT,0.5433242969659046,0.34991407715798917,0.3559756500638375,[60.0],True,0.5433249885695808,0.5433242969659046,0.0,False,PASS
2025-04-01,B3,B3-B1,MESS01,WORK_LIMIT,0.5665987382193067,0.4495393140845806,0.20660022029455583,[60.0],True,0.5670036511595943,0.5665987382193067,0.0,False,PASS
2025-04-01,B3,B3-B1,MESS02,WORK_LIMIT,0.5438526130172339,0.40280683571256193,0.2593455909353191,[60.0],True,0.5665987382193064,0.5438526130172339,0.0,False,PASS
2025-04-01,B3,B3-B1,MESS03,WORK_LIMIT,0.5438282636943841,0.34230276533182225,0.37056826909572577,[60.0],True,0.5438526130173655,0.5438282636943841,0.0,False,PASS
2025-04-01,B3,B3-B1,MESS04,WORK_LIMIT,0.5438275585814096,0.3518205583411107,0.3530659621979344,[60.0],True,0.5438282636945704,0.5438275585814096,0.0,False,PASS
2025-04-02,B2,B2-B0,MESS01,WORK_LIMIT,0.5882001252768925,0.47151909349031484,0.19836961396710104,[60.0],True,0.5886085324690455,0.5882001252768925,0.0,False,PASS
2025-04-02,B2,B2-B0,MESS02,WORK_LIMIT,0.5543995468746974,0.4214428902944204,0.23982100513932633,[60.0],True,0.5882001252769732,0.5543995468746974,0.0,False,PASS
2025-04-02,B2,B2-B0,MESS03,WORK_LIMIT,0.5543425223159233,0.36297717630798254,0.34521137799145857,[60.0],True,0.5543995468748643,0.5543425223159233,0.0,False,PASS
2025-04-02,B2,B2-B0,MESS04,WORK_LIMIT,0.554342348666039,0.3581733422797615,0.3538769983176202,[60.0],True,0.5543425223160678,0.554342348666039,0.0,False,PASS
2025-04-02,B3,B3-B1,MESS01,WORK_LIMIT,0.5881800790680523,0.4711348322349028,0.1989955984544783,[60.0],True,0.5885884794593548,0.5881800790680523,0.0,False,PASS
2025-04-02,B3,B3-B1,MESS02,WORK_LIMIT,0.5448846351483048,0.4212608556457902,0.22688064872460037,[60.0],True,0.5881800790681242,0.5448846351483048,0.0,False,PASS
2025-04-02,B3,B3-B1,MESS03,WORK_LIMIT,0.5448846351482995,0.35311998164981917,0.3519362469200263,[60.0],True,0.5448846351484439,0.5448846351482995,0.0,False,PASS
2025-04-02,B3,B3-B1,MESS04,WORK_LIMIT,0.5448846351482995,0.35405429434170665,0.3502215487405975,[60.0],True,0.5448846351484439,0.5448846351482995,0.0,False,PASS
2025-04-03,B2,B2-B0,MESS01,WORK_LIMIT,0.5774664494061547,0.4773874307822398,0.17330707043990604,[60.0],True,0.5780131222992347,0.5774664494061547,0.0,False,PASS
2025-04-03,B2,B2-B0,MESS02,WORK_LIMIT,0.5225199303980169,0.42643081906635294,0.18389559085042062,[60.0],True,0.5774664494062128,0.5225199303980169,0.0,False,PASS
2025-04-03,B2,B2-B0,MESS03,WORK_LIMIT,0.5219540019173006,0.37676488723273904,0.2781645780111589,[60.0],True,0.5225199303981827,0.5219540019173006,0.0,False,PASS
2025-04-03,B2,B2-B0,MESS04,WORK_LIMIT,0.521951252193773,0.36150940873144655,0.30738855934914566,[60.0],True,0.5219540019174476,0.521951252193773,0.0,False,PASS
2025-04-03,B3,B3-B1,MESS01,WORK_LIMIT,0.5772511047190343,0.4773508162263933,0.17306210014316994,[60.0],True,0.5777976818881205,0.5772511047190343,0.0,False,PASS
2025-04-03,B3,B3-B1,MESS02,WORK_LIMIT,0.5225056636755825,0.4264158304833576,0.1839019935521424,[60.0],True,0.5772511047190674,0.5225056636755825,0.0,False,PASS
2025-04-03,B3,B3-B1,MESS03,WORK_LIMIT,0.5217169596662735,,,[60.0],True,0.5225056636757444,0.5217169596662735,0.0,False,PASS
2025-04-03,B3,B3-B1,MESS04,WORK_LIMIT,0.5217141928949305,0.3614536122700214,0.30718079516994173,[60.0],True,0.5217169596664567,0.5217141928949305,0.0,False,PASS
2025-04-04,B2,B2-B0,MESS01,WORK_LIMIT,0.5881760466267556,0.4755483610310248,0.19148635215878143,[60.0],True,0.5887477851108596,0.5881760466267556,0.0,False,PASS
2025-04-04,B2,B2-B0,MESS02,WORK_LIMIT,0.570326968016979,0.42488264850117996,0.2550191866632354,[60.0],True,0.5881760466268162,0.570326968016979,0.0,False,PASS
2025-04-04,B2,B2-B0,MESS03,WORK_LIMIT,0.5703126044540852,0.36253798084516764,0.36431708152023684,[60.0],True,0.5703269680171407,0.5703126044540852,0.0,False,PASS
2025-04-04,B2,B2-B0,MESS04,WORK_LIMIT,0.5703119275348478,0.3657471224323918,0.35868933337354486,[60.0],True,0.5703126044542473,0.5703119275348478,0.0,False,PASS
2025-04-04,B3,B3-B1,MESS01,WORK_LIMIT,0.5880405771432605,0.4755104510439603,0.19136455964651103,[60.0],True,0.5886122537243288,0.5880405771432605,0.0,False,PASS
2025-04-04,B3,B3-B1,MESS02,WORK_LIMIT,0.570396899843371,0.42486697322637046,0.2551380041808828,[60.0],True,0.5880405771432915,0.570396899843371,0.0,False,PASS
2025-04-04,B3,B3-B1,MESS03,WORK_LIMIT,0.5703831859121699,0.36612012318805676,0.35811550510110307,[60.0],True,0.5703968998434912,0.5703831859121699,0.0,False,PASS
2025-04-04,B3,B3-B1,MESS04,WORK_LIMIT,0.5703831018368267,0.36611276894330325,0.35812830400428036,[60.0],True,0.5703831859123358,0.5703831018368267,0.0,False,PASS
2025-04-05,B2,B2-B0,MESS01,WORK_LIMIT,0.5612640399365577,0.4697978151635005,0.1629646980116454,[60.0],True,0.5616287392951825,0.5612640399365577,0.0,False,PASS
2025-04-05,B2,B2-B0,MESS02,WORK_LIMIT,0.5156420344680415,0.4234440592509201,0.17880228735083006,[60.0],True,0.5612640399365625,0.5156420344680415,0.0,False,PASS
2025-04-05,B2,B2-B0,MESS03,WORK_LIMIT,0.5156199350151699,0.366932769305379,0.28836582066094174,[60.0],True,0.5156420344681778,0.5156199350151699,0.0,False,PASS
2025-04-05,B2,B2-B0,MESS04,WORK_LIMIT,0.5156199350152196,0.3576912393296291,0.3062889639457577,[60.0],True,0.515619935015362,0.5156199350152196,0.0,False,PASS
2025-04-05,B3,B3-B1,MESS01,WORK_LIMIT,0.5612639996854134,0.4696582808353843,0.1632132452845253,[60.0],True,0.5616286990858357,0.5612639996854134,0.0,False,PASS
2025-04-05,B3,B3-B1,MESS02,WORK_LIMIT,0.5156631387936528,0.4233866098440102,0.17894730495089323,[60.0],True,0.5612639996854221,0.5156631387936528,0.0,False,PASS
2025-04-05,B3,B3-B1,MESS03,WORK_LIMIT,0.5156405386579143,0.3669286684501796,0.2884022086292811,[60.0],True,0.5156631387938261,0.5156405386579143,0.0,False,PASS
2025-04-05,B3,B3-B1,MESS04,WORK_LIMIT,0.5156405386577506,0.35365448304851865,0.31414530756424486,[60.0],True,0.5156405386580666,0.5156405386577506,0.0,False,PASS
2025-04-06,B2,B2-B0,MESS01,WORK_LIMIT,0.5699833687963342,0.4842192769901089,0.15046770923744335,[60.0],True,0.5703661518793225,0.5699833687963342,0.0,False,PASS
2025-04-06,B2,B2-B0,MESS02,WORK_LIMIT,0.5229121488091972,0.4359148599527294,0.16637075473305143,[60.0],True,0.5699833687963343,0.5229121488091972,0.0,False,PASS
2025-04-06,B2,B2-B0,MESS03,WORK_LIMIT,0.5229121488093338,0.3679506266819679,0.29634331977218714,[60.0],True,0.5229121488093436,0.5229121488093338,0.0,False,PASS
2025-04-06,B2,B2-B0,MESS04,WORK_LIMIT,0.5229121488093338,0.3679506266819679,0.29634331977218714,[60.0],True,0.5229121488093436,0.5229121488093338,0.0,False,PASS
2025-04-06,B3,B3-B1,MESS01,WORK_LIMIT,0.5699829573389704,0.48406468983337203,0.15073830962721674,[60.0],True,0.5703657403556276,0.5699829573389704,0.0,False,PASS
2025-04-06,B3,B3-B1,MESS02,WORK_LIMIT,0.5286438984251243,0.4498178988499193,0.14910982574476775,[60.0],True,0.5699829573389703,0.5286438984251243,0.0,False,PASS
2025-04-06,B3,B3-B1,MESS03,WORK_LIMIT,0.5286438984249994,0.36287430655224884,0.31357515402453634,[60.0],True,0.5286438984252935,0.5286438984249994,0.0,False,PASS
2025-04-06,B3,B3-B1,MESS04,WORK_LIMIT,0.5286286411503708,0.36602743603683396,0.3075906079543734,[60.0],True,0.5286438984252935,0.5286286411503708,0.0,False,PASS
2025-04-07,B2,B2-B0,MESS01,WORK_LIMIT,0.6508841570336757,0.47425818640269213,0.2713631430759272,[60.0],True,0.6512871029206265,0.6508841570336757,0.0,False,PASS
