day,case,classification,checkpoint_code_HEAD,storage_reference_count,forecast_authority_readable,AIDC_schedule_readable,MESS_trajectory_readable,Planning_Fresh_axes_equal,all_numeric_arrays_finite,day_case_identity,schedule_identity,AIDC_schedule_identity,MESS_trajectory_identity,SHA_integrity,Actual_terminal_SoC_capacity_consistent,Actual_terminal_SoC,errors,status
2025-04-01,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-01,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-01,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-01,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-02,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-02,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-02,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-02,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-03,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-03,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-03,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-03,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-04,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-04,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-04,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-04,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-05,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-05,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-05,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-05,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-06,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-06,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-06,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-06,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
