AIDC_site,Fresh_dI_dP_dominant,Planning_dI_dP_dominant,Planning_dI_dP_line_inf_norm,day,dominant_branch,dominant_phase,electrical_host_bus,phase_support,slot
AIDC01,-2.6230181052577795e-05,-5.118697132822092e-09,0.0001799787658615104,2025-04-01,line.sw2,A,149,ABC,74
AIDC02,NOT_SAMPLED,1.088241207980456e-06,0.0003708689205538726,2025-04-01,line.sw2,A,300_open,ABC,74
AIDC03,NOT_SAMPLED,8.719587087924197e-07,0.00036869202766490194,2025-04-01,line.sw2,A,35,ABC,74
AIDC04,NOT_SAMPLED,8.634652099992479e-07,0.00037038549043549515,2025-04-01,line.sw2,A,50,ABC,74
AIDC05,NOT_SAMPLED,0.00033294731959843116,0.0003695608027004648,2025-04-01,line.sw2,A,61s,ABC,74
AIDC06,1.0962159188165899e-06,6.461335834151427e-07,0.00037002691164791934,2025-04-01,line.sw2,A,48,ABC,74
AIDC07,NOT_SAMPLED,9.062376361557156e-07,0.00036821452196983753,2025-04-01,line.sw2,A,250,ABC,74
AIDC08,NOT_SAMPLED,9.188236012591666e-07,0.0003680198654459066,2025-04-01,line.sw2,A,21,ABC,74
AIDC09,NOT_SAMPLED,0.00033129359471961717,0.00033129359471961717,2025-04-01,line.sw2,A,152,ABC,74
AIDC10,NOT_SAMPLED,0.0003324873022539365,0.0003422870774562603,2025-04-01,line.sw2,A,81,ABC,74
AIDC11,NOT_SAMPLED,0.00033243884633593623,0.0003540953816032579,2025-04-01,line.sw2,A,79,ABC,74
AIDC12,0.0003333622225940025,0.00033311920459949684,0.0003573857728070007,2025-04-01,line.sw2,A,108,ABC,74
AIDC01,-3.6682045520541884e-06,-3.116638114253334e-09,0.00018081262970054413,2025-04-10,line.sw2,A,149,ABC,72
AIDC02,NOT_SAMPLED,1.3000980186861355e-06,0.00037274041882780565,2025-04-10,line.sw2,A,300_open,ABC,72
AIDC03,NOT_SAMPLED,1.0144822737423453e-06,0.0003701319860654473,2025-04-10,line.sw2,A,35,ABC,72
AIDC04,NOT_SAMPLED,1.0039169349163046e-06,0.0003722242774199004,2025-04-10,line.sw2,A,50,ABC,72
AIDC05,NOT_SAMPLED,0.0003423595277073921,0.0003718869577963458,2025-04-10,line.sw2,A,61s,ABC,72
AIDC06,1.311461593989094e-06,7.131521536640761e-07,0.0003716368290029304,2025-04-10,line.sw2,A,48,ABC,72
AIDC07,NOT_SAMPLED,1.0570125376085926e-06,0.00036981164154572524,2025-04-10,line.sw2,A,250,ABC,72
AIDC08,NOT_SAMPLED,1.0730535822678355e-06,0.0003693843148546705,2025-04-10,line.sw2,A,21,ABC,72
AIDC09,NOT_SAMPLED,0.00033923658568107973,0.00033923658568107973,2025-04-10,line.sw2,A,152,ABC,72
AIDC10,NOT_SAMPLED,0.00034227730231811693,0.00035395895445883285,2025-04-10,line.sw2,A,81,ABC,72
AIDC11,NOT_SAMPLED,0.0003420985023713241,0.00035616496851040725,2025-04-10,line.sw2,A,79,ABC,72
AIDC12,0.0003430966362304999,0.0003427707463881102,0.00035811010113125097,2025-04-10,line.sw2,A,108,ABC,72
AIDC01,-2.2691961070742117e-05,2.5915853796298904e-08,0.00017812563705355,2025-04-20,line.sw2,A,149,ABC,73
AIDC02,NOT_SAMPLED,7.370175824084058e-07,0.00037131701285481045,2025-04-20,line.sw2,A,300_open,ABC,73
AIDC03,NOT_SAMPLED,5.787572980309186e-07,0.00036964996044852594,2025-04-20,line.sw2,A,35,ABC,73
AIDC04,NOT_SAMPLED,5.733767963200798e-07,0.00037078236935300657,2025-04-20,line.sw2,A,50,ABC,73
AIDC05,NOT_SAMPLED,0.00031420162539086416,0.0003689811969308024,2025-04-20,line.sw2,A,61s,ABC,73
AIDC06,7.440535436109563e-07,4.1642468845415337e-07,0.0003707850564790838,2025-04-20,line.sw2,A,48,ABC,73
AIDC07,NOT_SAMPLED,6.079859329877202e-07,0.00036914063591306223,2025-04-20,line.sw2,A,250,ABC,73
AIDC08,NOT_SAMPLED,6.159588669674143e-07,0.00036906285878876566,2025-04-20,line.sw2,A,21,ABC,73
AIDC09,NOT_SAMPLED,0.00031486819987908143,0.00031486819987908143,2025-04-20,line.sw2,A,152,ABC,73
AIDC10,NOT_SAMPLED,0.0003130439090376358,0.0003184817668087647,2025-04-20,line.sw2,A,81,ABC,73
AIDC11,NOT_SAMPLED,0.0003131736775627836,0.0003539806883872242,2025-04-20,line.sw2,A,79,ABC,73
AIDC12,0.00031409558919576197,0.000313923355228396,0.0003563832048247839,2025-04-20,line.sw2,A,108,ABC,73
