Fresh_effect_direction,Fresh_rho_delta,Planning_effect_direction,Planning_rho_delta,active_cell_count,active_sign_match_rate,cell_count,comparison,day,effect_MAE,effect_RMSE,fresh_max_abs_effect,fresh_mean_abs_effect,planning_max_abs_effect,planning_mean_abs_effect
-1.0,-1.8859274627525124e-06,-1.0,-3.4705424576397803e-06,23232,0.9674586776859504,25248,B1-B0,2025-04-01,1.7049242764211877e-07,4.890948575062042e-07,0.002918018566361369,6.829272477918788e-05,0.0029157298168154266,6.821700197211065e-05
-1.0,-0.00012437232468875958,1.0,0.000503261615507955,23861,0.9295503122249696,25248,B3-B2,2025-04-01,0.0012797719919528565,0.01570386055026119,0.24152433489477185,0.0026278534541754757,0.23268296247043815,0.002699565572633944
-1.0,-1.6757964492852828e-05,-1.0,-2.0053009690768064e-05,23268,0.9626955475330926,25248,B1-B0,2025-04-02,2.2830640873524475e-07,7.247797974571374e-07,0.0038049353976696842,8.955943084466148e-05,0.0037902761806123397,8.942842868554245e-05
-1.0,-0.04538728488278876,-1.0,-0.009457713517729283,24592,0.9258295380611581,25248,B3-B2,2025-04-02,0.0031641047388544534,0.01884112881847845,0.30126448318255805,0.007116090166000579,0.3207393693995767,0.0070084509930501155
-1.0,-0.0002173693076152894,-1.0,-0.00021544041111420942,22599,0.9508385326784371,25248,B1-B0,2025-04-03,1.3673271472053554e-07,4.2239045955587737e-07,0.0028962720509278506,5.2363603936409644e-05,0.0028945884262541743,5.228148978659336e-05
-1.0,-0.00030247746174183465,-1.0,-0.00023705929884010324,24436,0.8985922409559666,25248,B3-B2,2025-04-03,0.00506232499939017,0.03147726992926339,0.2964659027147599,0.008872722609644319,0.3194138266962601,0.00816833188044153
-1.0,-0.00013690558430412558,-1.0,-0.0001355313865307739,22750,0.9512967032967033,25248,B1-B0,2025-04-04,1.5344770105338305e-07,4.5858529773745274e-07,0.003841291458681506,6.553619484257482e-05,0.003839867082824744,6.546477043195847e-05
1.0,0.028003067018726457,1.0,7.117430202996378e-05,23973,0.9251658115379803,25248,B3-B2,2025-04-04,0.001636363434843438,0.014916895823245378,0.24439422037879133,0.003879497216657986,0.2366433356845421,0.0035952083431365937
1.0,2.5781462648089004e-06,-1.0,-4.020934685211586e-08,23381,0.9633890766006586,25248,B1-B0,2025-04-05,1.5082315773685338e-07,4.730557928169045e-07,0.003874123772598548,9.079566807091134e-05,0.0038726361288461963,9.069688586035492e-05
1.0,0.005787583448929046,1.0,2.0603642704619674e-05,24114,0.9247739902131542,25248,B3-B2,2025-04-05,0.0025400616524546373,0.021390876154017423,0.2447978629931856,0.006272826943227709,0.23890914656807086,0.006515857952613631
