day,case,scientific_state,rerun_executed,code_HEAD,rho_model,objective,Planning_rho,Fresh_rho_AC,Fresh_convergence_count,Fresh_physical_violation,schedule_SHA,storage_reload,authority_accepted,note
2025-04-01,B0,RERUN_PASS_APR01_ONLY,True,8d217f151885b4fcd078b939d38768b05a4e907f,ANCHOR_GRADIENT_MATCHED_16_FACE_APPARENT_POWER_EPIGRAPH_V1,0.5670071217020519,0.5670071217020519,0.5670020672576839,96,False,23f406734c6ade57721b227c01af901286f8dfce6bccced6f4fe215e92970422,PASS,False,Apr01 repaired evidence; full Apr01-20 authority remains incomplete
2025-04-01,B1,RERUN_PASS_APR01_ONLY,True,8d217f151885b4fcd078b939d38768b05a4e907f,ANCHOR_GRADIENT_MATCHED_16_FACE_APPARENT_POWER_EPIGRAPH_V1,0.5670036480786407,0.5670036480786407,0.5669991484918064,96,False,4deb9590c35ce1c15df9931655a34c2956f6f52d24f0297e10b3da6f33bb98d8,PASS,False,Apr01 repaired evidence; full Apr01-20 authority remains incomplete
2025-04-01,B2,RERUN_PASS_APR01_ONLY,True,8d217f151885b4fcd078b939d38768b05a4e907f,ANCHOR_GRADIENT_MATCHED_16_FACE_APPARENT_POWER_EPIGRAPH_V1,0.5112204042323215,0.5112204042325021,0.5315494229847023,96,True,d626a31cc7e6ad93466af2f9b7a6ce994451af9a4b3b4b8f0a8a1ad21a8456c1,PASS,False,Apr01 repaired evidence; full Apr01-20 authority remains incomplete
2025-04-01,B3,RERUN_PASS_APR01_ONLY,True,8d217f151885b4fcd078b939d38768b05a4e907f,ANCHOR_GRADIENT_MATCHED_16_FACE_APPARENT_POWER_EPIGRAPH_V1,0.508957108842712,0.5089571088428977,0.5291995314957729,96,True,01292e3a214af9d099e6ce3d66c054eef4c62b3022ddb824b7b8d3953094fa31,PASS,False,Apr01 repaired evidence; full Apr01-20 authority remains incomplete
2025-04-02,B0,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-02,B1,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-02,B2,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-02,B3,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-03,B0,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-03,B1,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-03,B2,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-03,B3,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-04,B0,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-04,B1,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-04,B2,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-04,B3,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-05,B0,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-05,B1,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-05,B2,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
2025-04-05,B3,INVALIDATED_DEFERRED_BY_USER_APR01_ONLY_CAP,False,,,,,,,,,ARCHIVED_PRE_REPAIR,False,No repaired rerun; pre-repair cache retained only as history
