AIDC_site,host_bus,line_sw2_on_source_path,phase_relationship,dI_line_sw2_A_per_dP_i,relative_sensitivity_rank_abs
AIDC01,149,False,ABC,-5.118697132822092e-09,12
AIDC02,300_open,False,ABC,1.088241207980456e-06,6
AIDC03,35,False,ABC,8.719587087924197e-07,9
AIDC04,50,False,ABC,8.634652099992479e-07,10
AIDC05,61s,True,ABC,0.00033294731959843116,2
AIDC06,48,False,ABC,6.461335834151427e-07,11
AIDC07,250,False,ABC,9.062376361557156e-07,8
AIDC08,21,False,ABC,9.188236012591666e-07,7
AIDC09,152,True,ABC,0.00033129359471961717,5
AIDC10,81,True,ABC,0.0003324873022539365,3
AIDC11,79,True,ABC,0.00033243884633593623,4
AIDC12,108,True,ABC,0.00033311920459949684,1
