AIDC_site,host_bus,path_to_source_A,line_sw2_on_source_path,phase_relationship
AIDC01,149,transformer.reg1a>line.sw1,False,ABC
AIDC02,300_open,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l48>line.l49>line.l50>line.l51>line.sw7,False,ABC
AIDC03,35,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114,False,ABC
AIDC04,50,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l48>line.l49,False,ABC
AIDC05,61s,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l60>line.sw6,True,ABC
AIDC06,48,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l47,False,ABC
AIDC07,250,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19>line.l22>line.l24>line.l26>line.l30>line.l31>line.l32,False,ABC
AIDC08,21,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19,False,ABC
AIDC09,152,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2,True,ABC
AIDC10,81,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4a>line.l117>line.l67>line.l73>line.l76>line.l78>line.l80>line.l81,True,ABC
AIDC11,79,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4a>line.l117>line.l67>line.l73>line.l76>line.l78>line.l79,True,ABC
AIDC12,108,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4a>line.l117>line.l68>line.sw5>line.l118>line.l101>line.l105,True,ABC
