mode,candidate_id,rejection_count,counted_in_H0_candidate_conservation,primary_reason,detail
HP_HPR_GATE,RAW_SAME_TIER_W5_OUTSIDE_W5_PAIR_UNIVERSE,27537,False,MODEL_AUTHORITY_UNAVAILABLE,"P2+ power authority is absent, so raw pairs are not promoted to power-aware candidates."
H0,STANDBY_GPU_ASC_DURATION_ASC,1,True,COMPLETED_WORK_DEGRADATION,V35R3A strict tier-aware service gate failed.
H0,STANDBY_GPU_DESC_DURATION_DESC,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703706:7709413,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703707:7709414,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703708:7709415,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703709:7709416,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703710:7709417,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703711:7709418,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703712:7709419,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703713:7709420,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703715:7709421,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703716:7709422,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703717:7709423,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703718:7709424,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703719:7709425,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703720:7709426,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703721:7709427,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703722:7709428,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703723:7709429,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703724:7709430,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703725:7709431,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703726:7709432,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703727:7709433,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703728:7709434,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703729:7709435,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
H0,STANDBY_W5_PAIR_SWAP:7703730:7709436,1,True,SAME_PREDICTED_POWER,Homogeneous kW/GPU proxy and 624-GPU saturation leave W5 aggregate IT power unchanged.
