repository,relative_path,absolute_path,extension,size_bytes,offline_placeholder,zero_byte,readable,sha256,lfs_pointer,lfs_oid,lfs_expected_size,lfs_object_cached_locally,format,row_count,columns,schema,parse_error
01_Kestrel_job_trace,01_Kestrel_job_trace/datacard.md,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\01_Kestrel_job_trace\datacard.md,.md,14860,False,False,True,0139b75b80cd3029e0af54e22fc0dbad3080e92a8a7a602f1bd62cd7a36f62e9,False,,,False,MD,,,,
02_RADDiT,02_RADDiT/.gitattributes,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\.gitattributes,,87,False,False,True,276f9b00efd4409c9dc194ce80d3ece2e2950c05fd7c503df0634a2a6a731f9f,False,,,False,NO_EXTENSION,,,,
02_RADDiT,02_RADDiT/.gitignore,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\.gitignore,,56,False,False,True,8272e6d87282f09bf37cdb79ef50118430187f6f02429542645b11d34aa0f7b2,False,,,False,NO_EXTENSION,,,,
02_RADDiT,02_RADDiT/data/baseline_power_results.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\baseline_power_results.parquet,.parquet,132,False,False,True,d5e338624c90b3252639e0781b41099402e98e6bf66386f3c61961ad52811561,True,5b94583ed2a944b9554ffdd0bdc8ca61cf17d3cd122ded47e3eeb7549145b419,8730834,False,GIT_LFS_POINTER,,,,
02_RADDiT,02_RADDiT/data/baseline_runtime_results.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\baseline_runtime_results.parquet,.parquet,132,False,False,True,a53f39be4ab4fda70dd67ca3b5b96d04da329c595bcbb749f68e03f4fb8f9625,True,b02a175f8ae95605e66355f77ebb65393783671826bff3b3f544d3effc0144ea,2981549,False,GIT_LFS_POINTER,,,,
02_RADDiT,02_RADDiT/data/baseline_sim.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\baseline_sim.parquet,.parquet,4702132,False,False,True,07542065f065ba944e90c2572208e8b6e181947beac20216190f798dc654688d,False,,,False,PARQUET,161266,"[""submit"", ""start"", ""end"", ""nodes"", ""runtime"", ""wait_time"", ""avg_power_per_node""]","submit: timestamp[ns]
start: timestamp[ns]
end: timestamp[ns]
nodes: int64
runtime: duration[us]
wait_time: double
avg_power_per_node: double
-- schema metadata --
pandas: '{""index_columns"": [{""kind"": ""range"", ""name"": null, ""start"": 0, ""' + 1104",
02_RADDiT,02_RADDiT/data/ea_sim.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\ea_sim.parquet,.parquet,5036722,False,False,True,a8e396387297888b2d699b494b755f163b66a7581ae856781ad58c57609bfc60,False,,,False,PARQUET,161266,"[""submit"", ""start"", ""end"", ""nodes"", ""runtime"", ""wait_time"", ""avg_power_per_node""]","submit: timestamp[ns]
start: timestamp[ns]
end: timestamp[ns]
nodes: int64
runtime: duration[us]
wait_time: double
avg_power_per_node: double
-- schema metadata --
pandas: '{""index_columns"": [{""kind"": ""range"", ""name"": null, ""start"": 0, ""' + 1104",
02_RADDiT,02_RADDiT/data/encrypted_embeddings/chunk_000.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\encrypted_embeddings\chunk_000.parquet,.parquet,133,False,False,True,7717243a8c086e6a28d4125cd13ec5d634b70aaf0f5ac10341d7e4ebd600d35a,True,3efcf7124d52c25778fffa1ee1a1b551ab2d484e4045ddec8f0ca5e0bb77a306,43359318,False,GIT_LFS_POINTER,,,,
02_RADDiT,02_RADDiT/data/encrypted_embeddings/chunk_001.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\encrypted_embeddings\chunk_001.parquet,.parquet,133,False,False,True,33f019ddd64e13a8460fdb4cf8fbcd3edd9d5c24282c43093544a2e712b204a1,True,09c97ebb61bd977650d189ee7ef98c605e9bb63e9282ca34209d0d11e9daea87,61651356,False,GIT_LFS_POINTER,,,,
02_RADDiT,02_RADDiT/data/encrypted_embeddings/chunk_002.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\encrypted_embeddings\chunk_002.parquet,.parquet,133,False,False,True,5b9485b56e47bd8728147e19ae4de27a2c5f04f19fceb002e06e85f81f838e76,True,73d9b0a4d142a0e8042fb4c16d8bc1b2a79b44e0619e7962b49f0810059ea06d,54548069,False,GIT_LFS_POINTER,,,,
02_RADDiT,02_RADDiT/data/encrypted_embeddings/chunk_003.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\encrypted_embeddings\chunk_003.parquet,.parquet,133,False,False,True,040f2568d520c73ef42a2a2fd6e0b89987ddf4b6bbce844df14e45159f91b114,True,9eb150e38ea6d543858a6587e4259cbc2619abd3cd0d272f7a3e779eb74e9330,88851836,False,GIT_LFS_POINTER,,,,
02_RADDiT,02_RADDiT/data/encrypted_embeddings/chunk_004.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\encrypted_embeddings\chunk_004.parquet,.parquet,133,False,False,True,b830c56b191677d3101a149ae404bb7b21992e2eaf27187b5ac6db96653753f4,True,e1d5050d1901479818052c728e00e861106ef6f33cf26a464ee247a122e83154,37903935,False,GIT_LFS_POINTER,,,,
02_RADDiT,02_RADDiT/data/encrypted_embeddings/chunk_005.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\encrypted_embeddings\chunk_005.parquet,.parquet,133,False,False,True,ccf644e13868b1b16f212298b7b2a3badce5d2eff9c0c1caca4df0bcd0017c12,True,68b78c2df5bf8117ec3ba99b12cfacbf5b79c7b7b08b810c1099a4c8e83bf600,60251548,False,GIT_LFS_POINTER,,,,
