population,job_count,requested_GPU_hours,requested_node_hours,FULL_count,PARTIAL_shared_count,qos_counts,authority_object,join_level,causal_prediction_matched_jobs,diagnostic_exact_matches,causal_prediction_requested_GPU_hours_covered,causal_prediction_requested_node_hours_covered,duplicate_key_count,one_to_many_conflicts,unknown_count,unmatched_count,unmatched_reason
running,243,16809.25,8643.75,35,208,"{""normal"": 56, ""standby"": 187}",RADDiT released aggregate power results,J1_BLOCKED_NO_KEY_AND_LFS,0,0,0.0,0.0,0,0,243,243,Aggregate schemas have no job key; local files are LFS pointers.
running,243,16809.25,8643.75,35,208,"{""normal"": 56, ""standby"": 187}",RADDiT released aggregate runtime results,J1_BLOCKED_NO_KEY_AND_LFS,0,0,0.0,0.0,0,0,243,243,Aggregate schemas have no job key; local files are LFS pointers.
running,243,16809.25,8643.75,35,208,"{""normal"": 56, ""standby"": 187}",RADDiT published model inference,J3_BLOCKED_INCOMPLETE_MODEL,0,0,0.0,0.0,0,0,243,243,"Missing exact input, checkpoint, preprocessing, and Apr-01 horizon."
running,243,16809.25,8643.75,35,208,"{""normal"": 56, ""standby"": 187}",RADDiT ground_truth composite diagnostic,J4_NOT_ATTEMPTED_AS_AUTHORITY,0,0,0.0,0.0,0,0,243,243,No job_id and historical 2024 window; fuzzy/composite join forbidden for production.
running,243,16809.25,8643.75,35,208,"{""normal"": 56, ""standby"": 187}",MobileESS independent realized-runtime source,J1_DIAGNOSTIC_REALIZED_ONLY,0,9,0.0,0.0,343,0,243,243,Exact IDs for nine running jobs only; ex-post duration is forbidden and temporal coverage is zero.
raw_pending,421,14832.0,16608.0,3,336,"{""normal"": 1, ""standby"": 420}",RADDiT released aggregate power results,J1_BLOCKED_NO_KEY_AND_LFS,0,0,0.0,0.0,0,0,421,421,Aggregate schemas have no job key; local files are LFS pointers.
raw_pending,421,14832.0,16608.0,3,336,"{""normal"": 1, ""standby"": 420}",RADDiT released aggregate runtime results,J1_BLOCKED_NO_KEY_AND_LFS,0,0,0.0,0.0,0,0,421,421,Aggregate schemas have no job key; local files are LFS pointers.
raw_pending,421,14832.0,16608.0,3,336,"{""normal"": 1, ""standby"": 420}",RADDiT published model inference,J3_BLOCKED_INCOMPLETE_MODEL,0,0,0.0,0.0,0,0,421,421,"Missing exact input, checkpoint, preprocessing, and Apr-01 horizon."
raw_pending,421,14832.0,16608.0,3,336,"{""normal"": 1, ""standby"": 420}",RADDiT ground_truth composite diagnostic,J4_NOT_ATTEMPTED_AS_AUTHORITY,0,0,0.0,0.0,0,0,421,421,No job_id and historical 2024 window; fuzzy/composite join forbidden for production.
raw_pending,421,14832.0,16608.0,3,336,"{""normal"": 1, ""standby"": 420}",MobileESS independent realized-runtime source,J1_DIAGNOSTIC_REALIZED_ONLY,0,0,0.0,0.0,343,0,421,421,Exact IDs for nine running jobs only; ex-post duration is forbidden and temporal coverage is zero.
temporal_controlled,339,14832.0,12672.0,3,336,"{""normal"": 1, ""standby"": 338}",RADDiT released aggregate power results,J1_BLOCKED_NO_KEY_AND_LFS,0,0,0.0,0.0,0,0,339,339,Aggregate schemas have no job key; local files are LFS pointers.
temporal_controlled,339,14832.0,12672.0,3,336,"{""normal"": 1, ""standby"": 338}",RADDiT released aggregate runtime results,J1_BLOCKED_NO_KEY_AND_LFS,0,0,0.0,0.0,0,0,339,339,Aggregate schemas have no job key; local files are LFS pointers.
temporal_controlled,339,14832.0,12672.0,3,336,"{""normal"": 1, ""standby"": 338}",RADDiT published model inference,J3_BLOCKED_INCOMPLETE_MODEL,0,0,0.0,0.0,0,0,339,339,"Missing exact input, checkpoint, preprocessing, and Apr-01 horizon."
temporal_controlled,339,14832.0,12672.0,3,336,"{""normal"": 1, ""standby"": 338}",RADDiT ground_truth composite diagnostic,J4_NOT_ATTEMPTED_AS_AUTHORITY,0,0,0.0,0.0,0,0,339,339,No job_id and historical 2024 window; fuzzy/composite join forbidden for production.
temporal_controlled,339,14832.0,12672.0,3,336,"{""normal"": 1, ""standby"": 338}",MobileESS independent realized-runtime source,J1_DIAGNOSTIC_REALIZED_ONLY,0,0,0.0,0.0,343,0,339,339,Exact IDs for nine running jobs only; ex-post duration is forbidden and temporal coverage is zero.
standby_controlled,338,14640.0,12624.0,2,336,"{""standby"": 338}",RADDiT released aggregate power results,J1_BLOCKED_NO_KEY_AND_LFS,0,0,0.0,0.0,0,0,338,338,Aggregate schemas have no job key; local files are LFS pointers.
standby_controlled,338,14640.0,12624.0,2,336,"{""standby"": 338}",RADDiT released aggregate runtime results,J1_BLOCKED_NO_KEY_AND_LFS,0,0,0.0,0.0,0,0,338,338,Aggregate schemas have no job key; local files are LFS pointers.
standby_controlled,338,14640.0,12624.0,2,336,"{""standby"": 338}",RADDiT published model inference,J3_BLOCKED_INCOMPLETE_MODEL,0,0,0.0,0.0,0,0,338,338,"Missing exact input, checkpoint, preprocessing, and Apr-01 horizon."
standby_controlled,338,14640.0,12624.0,2,336,"{""standby"": 338}",RADDiT ground_truth composite diagnostic,J4_NOT_ATTEMPTED_AS_AUTHORITY,0,0,0.0,0.0,0,0,338,338,No job_id and historical 2024 window; fuzzy/composite join forbidden for production.
standby_controlled,338,14640.0,12624.0,2,336,"{""standby"": 338}",MobileESS independent realized-runtime source,J1_DIAGNOSTIC_REALIZED_ONLY,0,0,0.0,0.0,343,0,338,338,Exact IDs for nine running jobs only; ex-post duration is forbidden and temporal coverage is zero.
