repository,repository_HEAD,relative_path,authority_relative_path,pointer_sha256,lfs_oid_sha256,expected_byte_size,pointer_byte_size,apparent_purpose,code_notebook_references,expected_schema,blocks_power_authority,blocks_runtime_authority,blocks_scheduler_fidelity,lfs_object_cached_locally,status
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/baseline_power_results.parquet,02_RADDiT/data/baseline_power_results.parquet,d5e338624c90b3252639e0781b41099402e98e6bf66386f3c61961ad52811561,5b94583ed2a944b9554ffdd0bdc8ca61cf17d3cd122ded47e3eeb7549145b419,8730834,132,baseline per-job power model aggregate evaluation,baseline_model_results.ipynb:76; validate_datasets.ipynb cell 6,"avg_power_per_node,predicted_power",True,False,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/baseline_runtime_results.parquet,02_RADDiT/data/baseline_runtime_results.parquet,a53f39be4ab4fda70dd67ca3b5b96d04da329c595bcbb749f68e03f4fb8f9625,b02a175f8ae95605e66355f77ebb65393783671826bff3b3f544d3effc0144ea,2981549,132,baseline per-job runtime model aggregate evaluation,baseline_model_results.ipynb:162; validate_datasets.ipynb cell 8,"wallclock_used_sec,predicted_runtime_hours",False,True,True,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_000.parquet,02_RADDiT/data/encrypted_embeddings/chunk_000.parquet,7717243a8c086e6a28d4125cd13ec5d634b70aaf0f5ac10341d7e4ebd600d35a,3efcf7124d52c25778fffa1ee1a1b551ab2d484e4045ddec8f0ca5e0bb77a306,43359318,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_001.parquet,02_RADDiT/data/encrypted_embeddings/chunk_001.parquet,33f019ddd64e13a8460fdb4cf8fbcd3edd9d5c24282c43093544a2e712b204a1,09c97ebb61bd977650d189ee7ef98c605e9bb63e9282ca34209d0d11e9daea87,61651356,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_002.parquet,02_RADDiT/data/encrypted_embeddings/chunk_002.parquet,5b9485b56e47bd8728147e19ae4de27a2c5f04f19fceb002e06e85f81f838e76,73d9b0a4d142a0e8042fb4c16d8bc1b2a79b44e0619e7962b49f0810059ea06d,54548069,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_003.parquet,02_RADDiT/data/encrypted_embeddings/chunk_003.parquet,040f2568d520c73ef42a2a2fd6e0b89987ddf4b6bbce844df14e45159f91b114,9eb150e38ea6d543858a6587e4259cbc2619abd3cd0d272f7a3e779eb74e9330,88851836,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_004.parquet,02_RADDiT/data/encrypted_embeddings/chunk_004.parquet,b830c56b191677d3101a149ae404bb7b21992e2eaf27187b5ac6db96653753f4,e1d5050d1901479818052c728e00e861106ef6f33cf26a464ee247a122e83154,37903935,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_005.parquet,02_RADDiT/data/encrypted_embeddings/chunk_005.parquet,ccf644e13868b1b16f212298b7b2a3badce5d2eff9c0c1caca4df0bcd0017c12,68b78c2df5bf8117ec3ba99b12cfacbf5b79c7b7b08b810c1099a4c8e83bf600,60251548,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_006.parquet,02_RADDiT/data/encrypted_embeddings/chunk_006.parquet,af92e438e527b887a76ff1e884a0a0be05679a7f4efbfd54aaa9595e5f39652e,5bfce54f462363a771863c1cc106eb68b0699a89af37c78850d7e8db7a340dd1,54034517,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_007.parquet,02_RADDiT/data/encrypted_embeddings/chunk_007.parquet,6622ff4f71a3af172a2bf3db193e21ae831c862d650dc3616d0f45ab3313ac01,ab6f441d6f85cbd8728676ff2d3ff4db9752ce1880f5f7f78c254ed46bf77b69,61546974,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,data/encrypted_embeddings/chunk_008.parquet,02_RADDiT/data/encrypted_embeddings/chunk_008.parquet,a31a0249d31baae7aab2bfdd28a8c4d0761a1a7197538d6b51a3cf6fdb81087c,a6b2f71be93862a6fb4aaef72884cc0d50a906710681a8ded8b93d5ac78da371,55390141,133,encrypted/int8 semantic embedding chunk,semantic_search.py:252; quickstart_embedding.py:36,"enc_embedding_int8,avg_power_per_node,wallclock_used_sec,submit_time,end_time",True,True,False,False,GIT_LFS_POINTER_PAYLOAD_ABSENT
