object_name,local_path,relative_path,sha256,source_repository,repository_HEAD,classification,schema,row_count,key_columns,unit,total_per_node_per_gpu,predicted_or_realized,time_of_availability,Kestrel_specific,joinable_to_current_trace,suitable_for_day_ahead,reason
RADDiT baseline aggregate power predictions,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\baseline_power_results.parquet,02_RADDiT/data/baseline_power_results.parquet,d5e338624c90b3252639e0781b41099402e98e6bf66386f3c61961ad52811561,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"avg_power_per_node:float64,predicted_power:float64 (notebook-embedded schema)",1035281,NONE_IN_RELEASED_AGGREGATE,W per node,PER_NODE; incremental attribution unproven,predicted plus realized label,prediction was intended pre-execution; payload unavailable,True,False,False,LFS object is not cached locally and the released aggregate schema strips job_id/submit_time.
RADDiT semantic-search aggregate power predictions,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\semantic_search_power_results.parquet,02_RADDiT/data/semantic_search_power_results.parquet,e8c8288fd71f6971463b9c370d0fd3df258e514178e5c6019ce6bff50503d1ac,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"avg_power_per_node:float64,predicted_power:float64 (notebook-embedded schema)",1035365,NONE_IN_RELEASED_AGGREGATE,W per node,PER_NODE; incremental attribution unproven,predicted plus realized label,causal historical-neighbor prediction by source design; payload unavailable,True,False,False,LFS payload and embeddings are absent; aggregate result has no job identity.
RADDiT historical trace power labels,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\historic_job_trace.parquet,02_RADDiT/data/historic_job_trace.parquet,31259a4fe7d8f533bc40baf9d16b8119152ad23f9cc2df9775da7e799d7be6cd,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"20 columns including job_id,submit/start/end,nodes_req,avg_power_per_node,wallclock_used_sec,script",2557884,job_id in notebook output,W per node,PER_NODE,realized historical label,after execution,True,False,False,Training/semantic source is an uncached LFS pointer; realized label is not a decision feature.
RADDiT ground-truth scheduling power,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\ground_truth.parquet,02_RADDiT/data/ground_truth.parquet,b824b37b1d31c056f0e6153b64fde03ce71fa48e10b0127dc278211eaaebc634,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,B_DIRECT_PER_JOB_MEASURED_POWER,"submit,start,end,nodes,runtime,wait_time,avg_power_per_node",161266,NONE,W per node,PER_NODE; job-attributable incremental semantics unproven,realized,after execution; 2024-08-30 through 2024-09-25 schedule horizon,True,False,False,"Real Parquet but historical realized label, no job_id, no documented J2 transform, and shared-node attribution is ambiguous."
RADDiT simulator baseline_sim.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\baseline_sim.parquet,02_RADDiT/data/baseline_sim.parquet,07542065f065ba944e90c2572208e8b6e181947beac20216190f798dc654688d,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,E_SIMULATED_OR_SYNTHETIC_POWER,"submit,start,end,nodes,runtime,wait_time,avg_power_per_node",161266,NONE,W per node,PER_NODE simulator trajectory,simulated schedule carrying historical power labels,ex-post research output,True,False,False,Simulator output is not a frozen causal Apr-01 job prediction authority.
RADDiT simulator validation_sim.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\validation_sim.parquet,02_RADDiT/data/validation_sim.parquet,ef91571395153d2e7c173f4f1538298b42c14ee127b6cb36b9bd9b907c904696,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,E_SIMULATED_OR_SYNTHETIC_POWER,"submit,start,end,nodes,runtime,wait_time,avg_power_per_node",161266,NONE,W per node,PER_NODE simulator trajectory,simulated schedule carrying historical power labels,ex-post research output,True,False,False,Simulator output is not a frozen causal Apr-01 job prediction authority.
RADDiT simulator ea_sim.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\ea_sim.parquet,02_RADDiT/data/ea_sim.parquet,a8e396387297888b2d699b494b755f163b66a7581ae856781ad58c57609bfc60,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,E_SIMULATED_OR_SYNTHETIC_POWER,"submit,start,end,nodes,runtime,wait_time,avg_power_per_node",161266,NONE,W per node,PER_NODE simulator trajectory,simulated schedule carrying historical power labels,ex-post research output,True,False,False,Simulator output is not a frozen causal Apr-01 job prediction authority.
RADDiT baseline_models.py power estimator,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\energy_aware_scheduling\scripts\baseline_models.py,02_RADDiT/energy_aware_scheduling/scripts/baseline_models.py,b6ae82c32ff5b3a9d648f22ef7ae378e141c12cc5cd8921d39f5d31201602845,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,I_UNKNOWN,XGBRegressor with numeric + PCA categorical features,,"training output originally job_id,array_pos,submit_time; released aggregate strips keys",W per node target,PER_NODE,training/inference code only,causal split uses training end before test submit,True,False,False,"kestrel_baseline_data.parquet, fitted preprocessing, and checkpoint are absent; configured tests end 2025-02-01."
RADDiT quickstart power model,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\energy_aware_scheduling\scripts\quickstart.py,02_RADDiT/energy_aware_scheduling/scripts/quickstart.py,34bee9aa2a27a69df77e817e6c3fc695d5ea6491ebe6a768a2b14b36f777ab4c,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,F_EXAMPLE_OR_TOY_VALUE,random 80/20 10k sample; nodes_req and wallclock_req_sec,,none persisted,W per node target,PER_NODE,diagnostic reconstruction recipe,"random split, not strict temporal holdout",True,False,False,"Explicit quick-start demo, missing LFS trace, no checkpoint, and random split."
RADDiT energy-aware priority examples,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\energy_aware_scheduling\scripts\ea_sched_priority.py,02_RADDiT/energy_aware_scheduling/scripts/ea_sched_priority.py,9ba18e6b4d502f38dc70bc854aae3fcf9449996021beeb507cbe98a9e670964a,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,F_EXAMPLE_OR_TOY_VALUE,"five hard-coded Job(predicted_power,predicted_runtime) examples",5,NONE,W,UNSPECIFIED EXAMPLE,toy input,example only,False,False,False,Demonstration values are not observations or predictions.
