object_name,local_path,relative_path,sha256,source_repository,repository_HEAD,classification,schema,row_count,key_columns,unit,features,availability_time,target_label,training_cutoff,model_or_checkpoint,uncertainty_quantiles,running_remaining_suitable,pending_scheduling_suitable,reason
RADDiT baseline aggregate runtime predictions,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\baseline_runtime_results.parquet,02_RADDiT/data/baseline_runtime_results.parquet,a53f39be4ab4fda70dd67ca3b5b96d04da329c595bcbb749f68e03f4fb8f9625,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"wallclock_used_sec:float64,predicted_runtime_hours:float64",1035281,NONE_IN_RELEASED_AGGREGATE,seconds label / hours prediction,numeric requests plus fitted PCA categorical representation,intended at submission; payload unavailable,wallclock_used_sec,rolling prior 100 days; configured test through 2025-02-01,XGBRegressor; checkpoint absent,none,False,False,"Uncached LFS object, no identity columns in released aggregate, and no Apr-01 coverage."
RADDiT semantic aggregate runtime predictions,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\semantic_search_runtime_results.parquet,02_RADDiT/data/semantic_search_runtime_results.parquet,c5c8237f1115e1c288fb96605fadd5efb630cbedec0358da3cb3ca908c5026aa,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"wallclock_used_sec:float64,predicted_runtime_hours:float64",1035365,NONE_IN_RELEASED_AGGREGATE,seconds label / hours prediction,4096-d submission script embedding and prior completed neighbors,intended at submission; payload unavailable,wallclock_used_sec,neighbor end_time before split; configured test through 2025-02-01,semantic index/embeddings absent,neighbor min/max only in raw outputs; absent aggregate,False,False,Uncached result plus 45 uncached embedding chunks; current submission embedding binding is absent.
RADDiT historical trace realized runtime,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\historic_job_trace.parquet,02_RADDiT/data/historic_job_trace.parquet,31259a4fe7d8f533bc40baf9d16b8119152ad23f9cc2df9775da7e799d7be6cd,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,20 columns including job_id and wallclock_used_sec,2557884,job_id,seconds,not applicable,after job completion,wallclock_used_sec,,,,False,False,Uncached LFS pointer and realized runtime is forbidden during Apr-01 policy selection.
RADDiT ground-truth realized runtime,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\ground_truth.parquet,02_RADDiT/data/ground_truth.parquet,b824b37b1d31c056f0e6153b64fde03ce71fa48e10b0127dc278211eaaebc634,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,B_DIRECT_PER_JOB_REALIZED_RUNTIME,"submit,start,end,nodes,runtime,wait_time,avg_power_per_node",161266,NONE,timedelta,not applicable,after job completion,runtime,,,,False,False,"Real historical labels but no identity, no documented J2 transform, and not causal predictions."
RADDiT simulator runtime baseline_sim.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\baseline_sim.parquet,02_RADDiT/data/baseline_sim.parquet,07542065f065ba944e90c2572208e8b6e181947beac20216190f798dc654688d,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,E_SIMULATED_OR_SYNTHETIC_RUNTIME,"submit,start,end,nodes,runtime,wait_time,avg_power_per_node",161266,NONE,timedelta,simulator input,research output,runtime,,FastSim/RADDiT simulation output,,False,False,Simulation result is not a frozen causal Apr-01 runtime predictor.
RADDiT simulator runtime validation_sim.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\validation_sim.parquet,02_RADDiT/data/validation_sim.parquet,ef91571395153d2e7c173f4f1538298b42c14ee127b6cb36b9bd9b907c904696,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,E_SIMULATED_OR_SYNTHETIC_RUNTIME,"submit,start,end,nodes,runtime,wait_time,avg_power_per_node",161266,NONE,timedelta,simulator input,research output,runtime,,FastSim/RADDiT simulation output,,False,False,Simulation result is not a frozen causal Apr-01 runtime predictor.
RADDiT simulator runtime ea_sim.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\data\ea_sim.parquet,02_RADDiT/data/ea_sim.parquet,a8e396387297888b2d699b494b755f163b66a7581ae856781ad58c57609bfc60,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,E_SIMULATED_OR_SYNTHETIC_RUNTIME,"submit,start,end,nodes,runtime,wait_time,avg_power_per_node",161266,NONE,timedelta,simulator input,research output,runtime,,FastSim/RADDiT simulation output,,False,False,Simulation result is not a frozen causal Apr-01 runtime predictor.
RADDiT baseline_models.py runtime estimator,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\energy_aware_scheduling\scripts\baseline_models.py,02_RADDiT/energy_aware_scheduling/scripts/baseline_models.py,b6ae82c32ff5b3a9d648f22ef7ae378e141c12cc5cd8921d39f5d31201602845,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,I_UNKNOWN,XGBRegressor with numeric + PCA categorical features,,"output code includes job_id,array_pos,submit_time",seconds,"nodes_req,wallclock_req_seconds,processors_req,memory_req_raw,100 fitted PCs",submission-side in design,wallclock_used_sec,rolling prior 100 completed days,training code only; no checkpoint/preprocessor,none,False,False,"Required input and fitted state are absent, output horizon stops before Apr-01, and defaults are not a frozen checkpoint."
RADDiT quickstart runtime model,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\02_RADDiT\energy_aware_scheduling\scripts\quickstart.py,02_RADDiT/energy_aware_scheduling/scripts/quickstart.py,34bee9aa2a27a69df77e817e6c3fc695d5ea6491ebe6a768a2b14b36f777ab4c,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,F_EXAMPLE_OR_TOY_VALUE,XGBRegressor on random 80/20 sample,,none persisted,seconds,"nodes_req,wallclock_req_sec",random research split,wallclock_used_sec,none; random split,not saved,none,False,False,"Explicit quick-start demo, no strict time split, no input payload, and no checkpoint."
MobileESS V35R3A requested walltime reservations,dayahead/artifacts/v35r3a_kestrel_scheduler_temporal/V35R3A_BASELINE_SCHEDULE.parquet,MobileESS parent evidence,,MobileESS,7db7b46a8aa30b9ea763ea1c1a8abd97b5026b31,C_REQUESTED_WALLTIME_ONLY,duration_slots,582,job_id,15-minute slots,submission requested walltime / remaining requested walltime,known at D-1 issue,,,,,conservative fallback,conservative fallback,Only authorized causal duration representation for V35R3B.
MobileESS independent per-job runtime source,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v35r3b_job_power_runtime_forensic\stage7\r13_zero_burnin\C_TO_D_FINAL\independent_job_authority\PER_JOB_RUNTIME_SOURCE_CANONICAL_V2044R5.parquet,stage7/r13_zero_burnin/C_TO_D_FINAL/independent_job_authority/PER_JOB_RUNTIME_SOURCE_CANONICAL_V2044R5.parquet,faa537141d67f468f10b32d741d8193c14125cd745c042d132510b72e111f8ba,MobileESS,7db7b46a8aa30b9ea763ea1c1a8abd97b5026b31,B_DIRECT_PER_JOB_REALIZED_RUNTIME,"source_job_id,arrival/latest_start/latest_completion,nonpreemptive_duration_steps",59901,source_job_id,15-minute steps,source timestamps including ex-post completion-derived duration,"ex-post/frozen downstream artifact, not D-1 prediction",nonpreemptive_duration_steps,,,,False,False,Exact matches exist only for 9 running jobs and 0 temporal pending jobs; values are not causal predictions.
Eagle jobs reference optimization Pickle,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\05_Eagle_jobs_reference\results\optuna_studies\study.pkl,05_Eagle_jobs_reference/results/optuna_studies/study.pkl,af31224b493290235326f8de4ad63dc928135a48956aaa3e707e0a1487d68e46,05_Eagle_jobs_reference,ef34f9fa5edabb04b460dcf58929b841555a2e2d,F_EXAMPLE_OR_TOY_VALUE,untrusted Pickle not deserialized,,unknown,unknown,Eagle research features,reference-only,runtime in Eagle examples,not Apr-01 Kestrel authority,"Optuna study, not frozen inference checkpoint",unknown,False,False,Different Eagle reference corpus; unsafe Pickle was not executed and is not a Kestrel authority.
RADDiT encrypted semantic runtime embedding chunk_000.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_000.parquet,data/encrypted_embeddings/chunk_000.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_001.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_001.parquet,data/encrypted_embeddings/chunk_001.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_002.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_002.parquet,data/encrypted_embeddings/chunk_002.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_003.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_003.parquet,data/encrypted_embeddings/chunk_003.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_004.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_004.parquet,data/encrypted_embeddings/chunk_004.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_005.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_005.parquet,data/encrypted_embeddings/chunk_005.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_006.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_006.parquet,data/encrypted_embeddings/chunk_006.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_007.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_007.parquet,data/encrypted_embeddings/chunk_007.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_008.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_008.parquet,data/encrypted_embeddings/chunk_008.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_009.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_009.parquet,data/encrypted_embeddings/chunk_009.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_010.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_010.parquet,data/encrypted_embeddings/chunk_010.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
