stage,name,count,unit,note
1,temporal-controlled jobs,339,jobs,14832 GPU-h
2,W5-overlap temporal jobs,202,jobs,standby=201 normal=1
3,jobs with safe-runtime prediction,0,jobs,R3Q blocked
4,jobs with H100 power prediction,0,jobs,domain mismatch and no energy cohort
5,same-tier raw exchange pairs,27537,pairs,201 x 137 standby
6,resource-feasible pairs,24,pairs,V35R3A deterministic replay
7,service-safe pairs,24,pairs,strict tier gate
8,power-heterogeneous pairs,0,pairs,no job power authority
9,capacity-release-enabled pairs,0,pairs,no safe runtime
10,W5-power-reducing pairs,0,pairs,power path blocked
11,Planning-improving pairs,0,pairs,grid binding incomplete
12,accepted reprioritizations,0,pairs,H0 only
