target_slot,issue_relative_slot,timestamp_AEST,duration_authority,occupied_GPUs,free_GPUs,saturated_624,W1,W3,W5
0,24,2025-04-01T00:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
1,25,2025-04-01T00:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
2,26,2025-04-01T00:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
3,27,2025-04-01T00:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
4,28,2025-04-01T01:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
5,29,2025-04-01T01:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
6,30,2025-04-01T01:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
7,31,2025-04-01T01:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
8,32,2025-04-01T02:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
9,33,2025-04-01T02:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
10,34,2025-04-01T02:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
11,35,2025-04-01T02:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
12,36,2025-04-01T03:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
13,37,2025-04-01T03:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
14,38,2025-04-01T03:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
15,39,2025-04-01T03:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
16,40,2025-04-01T04:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
17,41,2025-04-01T04:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
18,42,2025-04-01T04:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
19,43,2025-04-01T04:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
20,44,2025-04-01T05:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
21,45,2025-04-01T05:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
22,46,2025-04-01T05:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
23,47,2025-04-01T05:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
24,48,2025-04-01T06:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
25,49,2025-04-01T06:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
26,50,2025-04-01T06:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
27,51,2025-04-01T06:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
28,52,2025-04-01T07:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
29,53,2025-04-01T07:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
30,54,2025-04-01T07:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
31,55,2025-04-01T07:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
32,56,2025-04-01T08:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
33,57,2025-04-01T08:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
34,58,2025-04-01T08:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
35,59,2025-04-01T08:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
36,60,2025-04-01T09:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
37,61,2025-04-01T09:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
38,62,2025-04-01T09:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
39,63,2025-04-01T09:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
40,64,2025-04-01T10:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
41,65,2025-04-01T10:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
42,66,2025-04-01T10:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
43,67,2025-04-01T10:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
44,68,2025-04-01T11:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
45,69,2025-04-01T11:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
46,70,2025-04-01T11:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
47,71,2025-04-01T11:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
48,72,2025-04-01T12:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,True
49,73,2025-04-01T12:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,True,True
50,74,2025-04-01T12:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,True,True,True
51,75,2025-04-01T12:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,True,True
52,76,2025-04-01T13:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,True
