canonical_feature,Kestrel_source_field,known_at_submission_or_issue,allowed_by_pinned_policy,query_policy_read_count,role,status
requested_seconds,wallclock_req,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
num_nodes_req,nodes_req,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
num_cores_req,processors_req,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
num_gpus_req,gpus_requested,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
requested_memory_mib,memory_req,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
partition,partition,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
qos,qos,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
user,user_hash,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
account,account_hash,True,True,0,ELIGIBLE_SUBMISSION_FEATURE,NOT_READ_MODEL_EXECUTION_BLOCKED
allocgpus,allocgpus,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
consumed_energy_raw_joules,consumed_energy_raw_joules,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
end_time,end_time,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
exit_code,exit_code,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
fresh,fresh,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
grid_result,grid_result,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
job_state,job_state,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
nodelist,nodelist,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
num_cores_alloc,num_cores_alloc,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
num_nodes_alloc,num_nodes_alloc,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
runtime_seconds,runtime_seconds,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
start_time,start_time,False,False,0,LABEL_OR_FORBIDDEN,FIREWALL_EXCLUDED
