quantile_method,q_seconds,group_dimension,group_value,rows,uncapped_coverage,capped_coverage,safe_uncapped_gt_requested_fraction,actual_gt_requested_fraction,coverage_conditional_actual_le_requested
Q_EMP90,5576.44921875,ALL,ALL,87824,0.9000159409728548,0.8837903078885043,0.2409591911094917,0.05282155219529969,0.9330768768407766
Q_EMP90,5576.44921875,REQUESTED_WALLTIME_BIN,12H_24H,1971,0.5596144089294774,0.5139523084728564,0.0471841704718417,0.18214104515474377,0.6284119106699751
Q_EMP90,5576.44921875,REQUESTED_WALLTIME_BIN,15M_1H,19553,1.0,0.9845547997749706,1.0,0.015445200225029408,1.0
Q_EMP90,5576.44921875,REQUESTED_WALLTIME_BIN,1H_6H,32584,0.9144979130861772,0.913393076356494,0.010066290203780998,0.06076602013258041,0.9724872565677689
Q_EMP90,5576.44921875,REQUESTED_WALLTIME_BIN,24H_48H,10954,0.5714807376300894,0.5703852473982107,0.003012598137666606,0.07458462662041264,0.6163559238433461
Q_EMP90,5576.44921875,REQUESTED_WALLTIME_BIN,6H_12H,19497,0.9814330409806636,0.9810740113863672,0.0006667692465507514,0.009693799046007078,0.9906774394033562
Q_EMP90,5576.44921875,REQUESTED_WALLTIME_BIN,GT_48H,2127,0.9666196520921486,0.9652092148566056,0.0018805829807240243,0.007992477668077104,0.9729857819905213
Q_EMP90,5576.44921875,REQUESTED_WALLTIME_BIN,LE_15M,1138,1.0,0.14323374340949033,1.0,0.8567662565905096,1.0
Q_EMP90,5576.44921875,QOS,high,900,0.7088888888888889,0.6755555555555556,0.16,0.13555555555555557,0.781491002570694
Q_EMP90,5576.44921875,QOS,normal,83180,0.9105313777350325,0.8938086078384228,0.25262082231305605,0.0533902380379899,0.9442207800454667
Q_EMP90,5576.44921875,QOS,standby,3744,0.7123397435897436,0.7112713675213675,0.0013354700854700855,0.0202991452991453,0.7260087241003271
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_1,19823,0.9580285526913181,0.908338798365535,0.8265146546940423,0.052212076880391464,0.9583776878858846
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_12,2,1.0,0.5,0.5,0.5,1.0
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_16,9,1.0,0.8888888888888888,0.1111111111111111,0.1111111111111111,1.0
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_2,956,0.6192468619246861,0.6161087866108786,0.016736401673640166,0.013598326359832637,0.6246023329798516
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_24,1,1.0,1.0,0.0,0.0,1.0
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_28,1,0.0,0.0,0.0,0.0,0.0
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_32,4,1.0,0.75,0.25,0.25,1.0
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_4,930,0.8666666666666667,0.8462365591397849,0.06881720430107527,0.10215053763440861,0.9425149700598803
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_48,1,0.0,0.0,0.0,0.0,0.0
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,GPU_8,35,0.7142857142857143,0.6285714285714286,0.2,0.37142857142857144,1.0
Q_EMP90,5576.44921875,GPU_REQUEST_COUNT,UNAVAILABLE,66062,0.8872422875480609,0.8810057218976113,0.07096364021676607,0.05267778753292362,0.9299958454507686
Q_CONF90,5576.44921875,ALL,ALL,87824,0.9000159409728548,0.8837903078885043,0.2409591911094917,0.05282155219529969,0.9330768768407766
Q_CONF90,5576.44921875,REQUESTED_WALLTIME_BIN,12H_24H,1971,0.5596144089294774,0.5139523084728564,0.0471841704718417,0.18214104515474377,0.6284119106699751
Q_CONF90,5576.44921875,REQUESTED_WALLTIME_BIN,15M_1H,19553,1.0,0.9845547997749706,1.0,0.015445200225029408,1.0
Q_CONF90,5576.44921875,REQUESTED_WALLTIME_BIN,1H_6H,32584,0.9144979130861772,0.913393076356494,0.010066290203780998,0.06076602013258041,0.9724872565677689
Q_CONF90,5576.44921875,REQUESTED_WALLTIME_BIN,24H_48H,10954,0.5714807376300894,0.5703852473982107,0.003012598137666606,0.07458462662041264,0.6163559238433461
Q_CONF90,5576.44921875,REQUESTED_WALLTIME_BIN,6H_12H,19497,0.9814330409806636,0.9810740113863672,0.0006667692465507514,0.009693799046007078,0.9906774394033562
