job_id,state_at_issue,workload_class,requested_GPUs,requested_nodes,requested_walltime_seconds,T_hat_point_seconds,T_hat_point_modeled_total_seconds,q90_plus_seconds,T_hat_safe_seconds,elapsed_seconds_at_issue,remaining_point_seconds,remaining_safe_seconds,point_covered,point_prediction_covered,safe_covered,covered,coverage_fallback_flag,missing_fields,model_version,model_id,model_source_HEAD,prediction_issue_time,requested_remaining_GPU_hours_at_issue,OLD_RS_predicted_release_slot,survival_category,elapsed_ge_requested,elapsed_gt_requested,requested_total_GPU_hours,OLD_RS_release_timestamp_AEST
7609109,RUNNING,RUNNING_FIXED,4.0,1,600000.0,458910.3125,458910.3125,5576.44921875,464486.76171875,578712.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,24.0,1,C_ELAPSED_GE_SAFE,False,False,666.6666666666666,2025-03-31T18:15:00+10:00
7609111,RUNNING,RUNNING_FIXED,4.0,1,600000.0,458910.3125,458910.3125,5576.44921875,464486.76171875,577744.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,25.0,1,C_ELAPSED_GE_SAFE,False,False,666.6666666666666,2025-03-31T18:15:00+10:00
7640373,RUNNING,RUNNING_FIXED,4.0,1,600000.0,458910.3125,458910.3125,5576.44921875,464486.76171875,481530.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,132.0,1,C_ELAPSED_GE_SAFE,False,False,666.6666666666666,2025-03-31T18:15:00+10:00
7640492,RUNNING,RUNNING_FIXED,4.0,1,600000.0,458910.3125,458910.3125,5576.44921875,464486.76171875,480715.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,133.0,1,C_ELAPSED_GE_SAFE,False,False,666.6666666666666,2025-03-31T18:15:00+10:00
7655807,RUNNING,RUNNING_FIXED,2.0,1,172800.0,61334.23046875,61334.23046875,5576.44921875,66910.6796875,148609.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,13.5,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
7657766,RUNNING,RUNNING_FIXED,4.0,1,600000.0,458910.3125,458910.3125,5576.44921875,464486.76171875,205348.0,253562.3125,259138.76171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,439.0,288,A_ELAPSED_LT_POINT,False,False,666.6666666666666,2025-04-03T18:00:00+10:00
7658010,RUNNING,RUNNING_FIXED,16.0,4,432000.0,3964.977783203125,3964.977783203125,5576.44921875,9541.427001953125,205349.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,1008.0,1,C_ELAPSED_GE_SAFE,False,False,1920.0,2025-03-31T18:15:00+10:00
7658516,RUNNING,RUNNING_FIXED,4.0,1,600000.0,458910.3125,458910.3125,5576.44921875,464486.76171875,205348.0,253562.3125,259138.76171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,439.0,288,A_ELAPSED_LT_POINT,False,False,666.6666666666666,2025-04-03T18:00:00+10:00
7661011,RUNNING,RUNNING_FIXED,2.0,1,172800.0,150662.0625,150662.0625,5576.44921875,156238.51171875,148453.0,2209.0625,7785.51171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,14.0,9,A_ELAPSED_LT_POINT,False,False,96.0,2025-03-31T20:15:00+10:00
7661016,RUNNING,RUNNING_FIXED,2.0,1,172800.0,166033.109375,166033.109375,5576.44921875,171609.55859375,148458.0,17575.109375,23151.55859375,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,14.0,26,A_ELAPSED_LT_POINT,False,False,96.0,2025-04-01T00:30:00+10:00
7674450,RUNNING,RUNNING_FIXED,4.0,1,172800.0,163178.8125,163178.8125,5576.44921875,168755.26171875,150696.0,12482.8125,18059.26171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,25.0,21,A_ELAPSED_LT_POINT,False,False,192.0,2025-03-31T23:15:00+10:00
7674472,RUNNING,RUNNING_FIXED,4.0,1,172800.0,163178.8125,163178.8125,5576.44921875,168755.26171875,149959.0,13219.8125,18796.26171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,26.0,21,A_ELAPSED_LT_POINT,False,False,192.0,2025-03-31T23:15:00+10:00
7674491,RUNNING,RUNNING_FIXED,4.0,1,172800.0,163178.8125,163178.8125,5576.44921875,168755.26171875,148323.0,14855.8125,20432.26171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,28.0,23,A_ELAPSED_LT_POINT,False,False,192.0,2025-03-31T23:45:00+10:00
7674561,RUNNING,RUNNING_FIXED,4.0,1,172800.0,163178.8125,163178.8125,5576.44921875,168755.26171875,148298.0,14880.8125,20457.26171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,28.0,23,A_ELAPSED_LT_POINT,False,False,192.0,2025-03-31T23:45:00+10:00
7674596,RUNNING,RUNNING_FIXED,4.0,1,172800.0,163178.8125,163178.8125,5576.44921875,168755.26171875,148278.0,14900.8125,20477.26171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,28.0,23,A_ELAPSED_LT_POINT,False,False,192.0,2025-03-31T23:45:00+10:00
7674628,RUNNING,RUNNING_FIXED,4.0,1,172800.0,163178.8125,163178.8125,5576.44921875,168755.26171875,148094.0,15084.8125,20661.26171875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,28.0,23,A_ELAPSED_LT_POINT,False,False,192.0,2025-03-31T23:45:00+10:00
7685261,RUNNING,RUNNING_FIXED,4.0,1,172800.0,66098.40625,66098.40625,5576.44921875,71674.85546875,157868.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,17.0,1,C_ELAPSED_GE_SAFE,False,False,192.0,2025-03-31T18:15:00+10:00
7685398,RUNNING,RUNNING_FIXED,1.0,1,172800.0,33484.41015625,33484.41015625,5576.44921875,39060.859375,149201.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,6.75,1,C_ELAPSED_GE_SAFE,False,False,48.0,2025-03-31T18:15:00+10:00
7689064,RUNNING,RUNNING_FIXED,12.0,3,172800.0,11359.4970703125,11359.4970703125,5576.44921875,16935.9462890625,143524.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,99.0,1,C_ELAPSED_GE_SAFE,False,False,576.0,2025-03-31T18:15:00+10:00
7698724,RUNNING,RUNNING_FIXED,4.0,2,172800.0,131988.03125,131988.03125,5576.44921875,137564.48046875,118918.0,13070.03125,18646.48046875,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,60.0,21,A_ELAPSED_LT_POINT,False,False,192.0,2025-03-31T23:15:00+10:00
7702923,RUNNING,RUNNING_FIXED,20.0,5,172800.0,11968.2431640625,11968.2431640625,5576.44921875,17544.6923828125,67615.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,585.0,1,C_ELAPSED_GE_SAFE,False,False,960.0,2025-03-31T18:15:00+10:00
7702929,RUNNING,RUNNING_FIXED,12.0,3,172800.0,11359.4970703125,11359.4970703125,5576.44921875,16935.9462890625,67615.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,351.0,1,C_ELAPSED_GE_SAFE,False,False,576.0,2025-03-31T18:15:00+10:00
7703133,RUNNING,RUNNING_FIXED,2.0,1,172800.0,6463.66064453125,6463.66064453125,5576.44921875,12040.10986328125,66973.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,59.0,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
7703568,RUNNING,RUNNING_FIXED,2.0,1,172800.0,6463.66064453125,6463.66064453125,5576.44921875,12040.10986328125,64851.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,60.0,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
7703637,RUNNING,RUNNING_FIXED,2.0,1,172800.0,6463.66064453125,6463.66064453125,5576.44921875,12040.10986328125,31998.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,78.5,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
7703638,RUNNING,RUNNING_FIXED,2.0,1,172800.0,6463.66064453125,6463.66064453125,5576.44921875,12040.10986328125,31998.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,78.5,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
7703639,RUNNING,RUNNING_FIXED,2.0,1,172800.0,6463.66064453125,6463.66064453125,5576.44921875,12040.10986328125,31730.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,78.5,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
7703643,RUNNING,RUNNING_FIXED,2.0,1,172800.0,6463.66064453125,6463.66064453125,5576.44921875,12040.10986328125,31207.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,79.0,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
7703644,RUNNING,RUNNING_FIXED,2.0,1,172800.0,6463.66064453125,6463.66064453125,5576.44921875,12040.10986328125,30928.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,79.0,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
7703646,RUNNING,RUNNING_FIXED,2.0,1,172800.0,6463.66064453125,6463.66064453125,5576.44921875,12040.10986328125,30928.0,900.0,900.0,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,79.0,1,C_ELAPSED_GE_SAFE,False,False,96.0,2025-03-31T18:15:00+10:00
