case,mess_id,candidate_id,origin,destination,departure_slot,connection_ready_slot,travel_slots,q50_eta_seconds,safe_eta_seconds,safe_energy_kwh,route_link_ids,is_stay,objective,rho,binding_asset,binding_slot,Vmin_pu,Vmax_pu,post_arrival_sum_abs_p_kw_slots,post_arrival_sum_abs_q_kvar_slots,terminal_energy_kwh,exact_optimality_certificate,runtime_seconds
B2,MESS01,MESS01:MOVE:STA01:IDC01:00,STA01,IDC01,0,2.0,1,503.5233612060547,601.0647506713868,4.389349090759144,RL_43_14_01>RL_14_01_01,False,0.566774482496122,0.5667744385026036,line.sw1::A,68,0.9524976423947934,1.0482357625920984,2076.0704734551155,64003.73288315729,760.0,True,17.9027886998374
B2,MESS01,MESS01:MOVE:STA01:IDC01:01,STA01,IDC01,1,3.0,1,504.30606842041016,601.8474578857423,4.386474169682523,RL_43_14_01>RL_14_01_01,False,0.5667744824674279,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,2076.081398155207,63317.18318687503,760.0,True,17.138863500207663
B2,MESS01,MESS01:MOVE:STA01:IDC01:02,STA01,IDC01,2,4.0,1,507.0509643554688,604.5923538208009,4.376535121639843,RL_43_14_01>RL_14_01_01,False,0.5667744823680927,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,2076.119166537769,62630.63349059277,760.0,True,17.160681700101122
B2,MESS01,MESS01:MOVE:STA01:IDC01:03,STA01,IDC01,3,5.0,1,506.7518005371094,604.2931900024415,4.377607700273094,RL_43_14_01>RL_14_01_01,False,0.5667744823788736,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,2076.115090738963,61944.083794310514,760.0,True,18.178486900171265
B2,MESS01,MESS01:MOVE:STA01:IDC01:04,STA01,IDC01,4,6.0,1,506.2330932617188,603.7744827270509,4.379473351043582,RL_43_14_01>RL_14_01_01,False,0.5667744823975853,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,2076.108001266035,61257.534098028256,760.0,True,17.610981300007552
B2,MESS01,MESS01:MOVE:STA01:IDC01:05,STA01,IDC01,5,7.0,1,524.3119201660156,621.8533096313478,4.318877717893031,RL_43_14_01>RL_14_01_01,False,0.5667744817916842,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,1691.331737936062,60542.49443510765,760.0,True,17.632627699989825
B2,MESS01,MESS01:MOVE:STA01:IDC01:06,STA01,IDC01,6,8.0,1,507.6325988769531,605.1739883422853,4.374457374464319,RL_43_14_01>RL_14_01_01,False,0.566774482347536,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,1691.5657575426778,59855.84780473047,760.0,True,17.484234199859202
B2,MESS01,MESS01:MOVE:STA01:IDC01:07,STA01,IDC01,7,9.0,1,517.4312286376953,614.9726181030275,4.340893664037192,RL_43_14_01>RL_14_01_01,False,0.5667744820119541,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,1691.4244366566688,59169.35664547581,760.0,True,16.82782550016418
B2,MESS01,MESS01:MOVE:STA01:IDC01:08,STA01,IDC01,8,10.0,1,513.3212280273438,610.8626174926759,4.35464645536255,RL_43_14_01>RL_14_01_01,False,0.5667744821495372,0.5667744385026032,line.sw1::A,74,0.95,1.0499517814435082,309.7519832409968,9828.781638702796,760.0,True,20.70215840009041
B2,MESS01,MESS01:MOVE:STA01:IDC01:09,STA01,IDC01,9,11.0,1,507.6952972412109,605.2366867065431,4.3742340986510975,RL_43_14_01>RL_14_01_01,False,0.5667744823454688,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,1691.5648174339904,57796.19910528944,760.0,True,17.055979100055993
B2,MESS01,MESS01:MOVE:STA01:IDC01:10,STA01,IDC01,10,12.0,1,512.5460968017578,610.08748626709,4.357292324573324,RL_43_14_01>RL_14_01_01,False,0.5667744821761063,0.5667744385026036,line.sw1::A,68,0.95,1.048235022245768,1691.493483648401,57197.17319644896,760.0,True,17.86937339999713
B2,MESS01,MESS01:MOVE:STA01:IDC01:11,STA01,IDC01,11,13.0,1,512.9976654052734,610.5390548706056,4.355748813420628,RL_43_14_01>RL_14_01_01,False,0.5667744821607263,0.5667744385026036,line.sw1::A,68,0.95,1.048235022245768,1979.366803318871,56694.554003826444,760.0,True,17.94436930003576
B2,MESS01,MESS01:MOVE:STA01:IDC01:12,STA01,IDC01,12,14.0,1,513.6541442871094,611.1955337524415,4.3535152006496345,RL_43_14_01>RL_14_01_01,False,0.5667744821384455,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,1972.629928929486,55819.57895263642,760.0,True,16.99826760008
B2,MESS01,MESS01:MOVE:STA01:IDC01:13,STA01,IDC01,13,15.0,1,513.1375427246094,610.6789321899415,4.355271918803244,RL_43_14_01>RL_14_01_01,False,0.5667744821560678,0.5667744385026036,line.sw1::A,68,0.95,1.0482357625920984,1809.259575743484,55224.10416841473,760.0,True,17.094447399955243
