case,mess_id,candidate_id,origin,destination,departure_slot,connection_ready_slot,travel_slots,q50_eta_seconds,safe_eta_seconds,safe_energy_kwh,route_link_ids,is_stay,objective,rho,binding_asset,binding_slot,Vmin_pu,Vmax_pu,post_arrival_sum_abs_p_kw_slots,post_arrival_sum_abs_q_kvar_slots,terminal_energy_kwh,exact_optimality_certificate,runtime_seconds,solve_id,selected_K,cheap_rank_move,fallback_level
B2,MESS01,MESS01:MOVE:STA01:STA11:20,STA01,STA11,20,24,3,2350.3330688476562,2447.8744583129883,44.91395398352749,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927203269365,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5840.383631056489,2802.992484857983,760.0,True,1.076514800079167,B2/MESS01,800,299.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:19,STA01,STA11,19,22,3,2000.548095703125,2098.089485168457,47.87208052551545,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927499081467,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5822.845748758668,2860.3175517774416,760.0,True,1.0429114999715239,B2/MESS01,800,274.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:01,STA01,STA11,1,4,3,1982.394287109375,2079.935676574707,48.076611204431195,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927519524598,0.5052922710862642,line.l10::A,74,0.95,1.05,5644.645752750082,20544.03607582832,760.0,True,1.2336794000584632,B2/MESS01,800,198.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:18,STA01,STA11,18,21,3,1971.28515625,2068.826545715332,48.20490359827146,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927532363223,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5854.240261013306,2802.992484857983,760.0,True,1.3204200000036508,B2/MESS01,800,260.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:17,STA01,STA11,17,20,3,1963.6875,2061.228889465332,48.29404548097053,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927541276858,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5854.615595256249,2802.9924848579826,760.0,True,1.1391414001118392,B2/MESS01,800,199.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:16,STA01,STA11,16,19,3,1945.5399169921875,2043.0813064575195,48.51169427950154,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927563041186,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5855.532011250064,2802.9924848579826,760.0,True,1.1391076000873,B2/MESS01,800,200.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:11,STA01,STA11,11,14,3,1945.0741577148438,2042.6155471801758,48.517369912525446,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.505292756360599,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5855.55590865227,2802.992484857983,760.0,True,1.245852000080049,B2/MESS01,800,201.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:10,STA01,STA11,10,13,3,1941.9649353027344,2039.5063247680664,48.55537286498518,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927567405733,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5855.71592108368,2802.992484857983,760.0,True,1.1577448998577893,B2/MESS01,800,202.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:00,STA01,STA11,0,3,3,1934.8108215332031,2032.3522109985352,48.643585189085954,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927576221445,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5856.087341395682,2802.9924848579826,760.0,True,1.075498699909076,B2/MESS01,800,203.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:07,STA01,STA11,7,10,3,1934.479248046875,2032.020637512207,48.647700843156876,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927576636875,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5826.111518517159,2860.3175517774416,760.0,True,1.1937425998039544,B2/MESS01,800,204.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
