relative_path,measurement_family,field,unit_normalized,sample_count,nan_count,inf_count,negative_count,zero_count,above_800W_sensor_limit_count,large_discontinuity_count_diagnostic,large_discontinuity_threshold_W,classification,exclusion_action
00_raw_datasets/inference_offline_llama3_70b/nvml_wattameter_x3115c0s33b0n0.log,NVML,gpu-0[mW],W,504711,0,0,0,0,0,2,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_offline_llama3_70b/nvml_wattameter_x3115c0s33b0n0.log,NVML,gpu-1[mW],W,504711,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_offline_llama3_70b/nvml_wattameter_x3115c0s33b0n0.log,NVML,gpu-2[mW],W,504711,0,0,0,0,0,3,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_offline_llama3_70b/nvml_wattameter_x3115c0s33b0n0.log,NVML,gpu-3[mW],W,504711,0,0,0,0,0,2,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_offline_llama3_70b/rapl_wattameter_x3115c0s33b0n0.log,RAPL,cpu-0-core[W],W,504711,141,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_offline_llama3_70b/rapl_wattameter_x3115c0s33b0n0.log,RAPL,cpu-0[W],W,504711,141,0,0,0,96,192,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_offline_llama3_70b/rapl_wattameter_x3115c0s33b0n0.log,RAPL,cpu-1-core[W],W,504711,141,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_offline_llama3_70b/rapl_wattameter_x3115c0s33b0n0.log,RAPL,cpu-1[W],W,504711,141,0,0,0,96,192,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_finite_llama3_70b/nvml_wattameter_11763012-x3101c0s37b0n0.log,NVML,gpu-0[mW],W,715989,0,0,0,0,0,4,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_finite_llama3_70b/nvml_wattameter_11763012-x3101c0s37b0n0.log,NVML,gpu-1[mW],W,715989,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_finite_llama3_70b/nvml_wattameter_11763012-x3101c0s37b0n0.log,NVML,gpu-2[mW],W,715989,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_finite_llama3_70b/nvml_wattameter_11763012-x3101c0s37b0n0.log,NVML,gpu-3[mW],W,715989,0,0,0,0,0,2,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_finite_llama3_70b/rapl_wattameter_11763012-x3101c0s37b0n0.log,RAPL,cpu-0-core[W],W,715989,199,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_finite_llama3_70b/rapl_wattameter_11763012-x3101c0s37b0n0.log,RAPL,cpu-0[W],W,715989,199,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_finite_llama3_70b/rapl_wattameter_11763012-x3101c0s37b0n0.log,RAPL,cpu-1-core[W],W,715989,199,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_finite_llama3_70b/rapl_wattameter_11763012-x3101c0s37b0n0.log,RAPL,cpu-1[W],W,715989,199,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_rate_llama3_70b/nvml_wattameter_12146821-x3104c0s13b0n0.log,NVML,gpu-0[mW],W,644135,0,0,0,0,0,2,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_rate_llama3_70b/nvml_wattameter_12146821-x3104c0s13b0n0.log,NVML,gpu-1[mW],W,644135,0,0,0,0,0,4,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_rate_llama3_70b/nvml_wattameter_12146821-x3104c0s13b0n0.log,NVML,gpu-2[mW],W,644135,0,0,0,0,1,4,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_rate_llama3_70b/nvml_wattameter_12146821-x3104c0s13b0n0.log,NVML,gpu-3[mW],W,644135,0,0,0,0,0,1,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_rate_llama3_70b/rapl_wattameter_12146821-x3104c0s13b0n0.log,RAPL,cpu-0-core[W],W,644135,179,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_rate_llama3_70b/rapl_wattameter_12146821-x3104c0s13b0n0.log,RAPL,cpu-0[W],W,644135,179,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_rate_llama3_70b/rapl_wattameter_12146821-x3104c0s13b0n0.log,RAPL,cpu-1-core[W],W,644135,179,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/inference_online_rate_llama3_70b/rapl_wattameter_12146821-x3104c0s13b0n0.log,RAPL,cpu-1[W],W,644135,179,0,0,0,0,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3105c0s37b0n0.log,NVML,gpu-0[mW],W,10383,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3105c0s37b0n0.log,NVML,gpu-1[mW],W,10383,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3105c0s37b0n0.log,NVML,gpu-2[mW],W,10383,0,0,0,0,1,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3105c0s37b0n0.log,NVML,gpu-3[mW],W,10383,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3105c0s41b0n0.log,NVML,gpu-0[mW],W,10361,0,0,0,0,1,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3105c0s41b0n0.log,NVML,gpu-1[mW],W,10361,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3105c0s41b0n0.log,NVML,gpu-2[mW],W,10361,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3105c0s41b0n0.log,NVML,gpu-3[mW],W,10361,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s13b0n0.log,NVML,gpu-0[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s13b0n0.log,NVML,gpu-1[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s13b0n0.log,NVML,gpu-2[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s13b0n0.log,NVML,gpu-3[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s17b0n0.log,NVML,gpu-0[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s17b0n0.log,NVML,gpu-1[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s17b0n0.log,NVML,gpu-2[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s17b0n0.log,NVML,gpu-3[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s25b0n0.log,NVML,gpu-0[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s25b0n0.log,NVML,gpu-1[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s25b0n0.log,NVML,gpu-2[mW],W,10362,0,0,0,0,1,0,300.0,SENSOR_INVALID_PRESENT,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
00_raw_datasets/training_llama2_70b_lora/16node/nvml_wattameter_emissions_parsed_slurmid_10742842_node_x3106c0s25b0n0.log,NVML,gpu-3[mW],W,10362,0,0,0,0,0,0,300.0,VALID_EXTREME_RETAINED,EXCLUDE_ONLY_NONFINITE_NEGATIVE_OR_ABOVE_800W_SAMPLES
