partition,H100_jobs,positive_energy_jobs,derived_power_rows,classification,reason,source_archive_sha256,source_code_commit
gpu-h100,963052,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
"gpu-h100,gpu-a100",1,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
"gpu-h100,project_3",3177,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
gpu-h100-stdby,225047,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
gpu-h100l,8973,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
"gpu-h100l,project_3",3,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
gpu-h100s,110893,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
"gpu-h100s,project_3",114,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
gpu-h100s-stdby,7553,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
"project_3,gpu-h100",4091,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
"project_3,gpu-h100s",9660,0,0,UNKNOWN,No positive H100 energy; no E/runtime quantity authorized,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
