window,spatial_class,jobs,GPU_hours,node_hours,positive_energy_jobs,usable_label_jobs,total_reported_energy_joules,distinct_label_dates,resource_state_diversity,source_archive_sha256,source_code_commit
GLOBAL,FULL_NODE_EXCLUSIVE,269425,2838661.084444444,709665.271111111,0,0,0.0,665,87,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
GLOBAL,PARTIAL_EXCLUSIVE,36181,192244.78166666668,133216.2163888889,0,0,0.0,606,36,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
GLOBAL,SHARED,558957,2032532.858333333,1904383.203888889,0,0,0.0,624,41,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
GLOBAL,UNKNOWN_SHARING,468001,47392.36555555556,75561.48277777777,0,0,0.0,646,80,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_ALL,FULL_NODE_EXCLUSIVE,190718,416267.2122222222,104066.80305555555,0,0,0.0,373,49,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_ALL,PARTIAL_EXCLUSIVE,19962,47786.413611111115,41470.13694444444,0,0,0.0,328,19,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_ALL,SHARED,154697,717947.0577777778,683218.0222222222,0,0,0.0,332,23,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_ALL,UNKNOWN_SHARING,257344,20335.571111111112,23889.09333333334,0,0,0.0,139,34,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_365D,FULL_NODE_EXCLUSIVE,186193,412779.9688888889,103194.99222222222,0,0,0.0,346,47,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_365D,PARTIAL_EXCLUSIVE,19820,47769.094722222224,41458.545,0,0,0.0,315,19,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_365D,SHARED,154456,717926.3005555556,683197.6233333332,0,0,0.0,321,22,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_365D,UNKNOWN_SHARING,255242,19951.6625,23703.46833333334,0,0,0.0,111,17,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_180D,FULL_NODE_EXCLUSIVE,28731,197032.02666666667,49258.00666666667,0,0,0.0,168,26,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_180D,PARTIAL_EXCLUSIVE,8331,29771.601111111115,27277.041388888887,0,0,0.0,166,14,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_180D,SHARED,127841,644558.8938888889,616575.0563888889,0,0,0.0,166,12,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_180D,UNKNOWN_SHARING,2138,552.4008333333334,558.521111111111,0,0,0.0,44,7,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_120D,FULL_NODE_EXCLUSIVE,19662,131150.62666666665,32787.65666666666,0,0,0.0,114,21,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
