session_id,GPU_type,source_relative_path,raw_samples,missing_power_values,nonfinite_power_values,negative_power_values,zero_power_values,above_100_percent_TDP_values_retained,maximum_TDP_percent,maximum_power_W,minimum_power_W,CPU_power_non_null,CPU_temperature_non_null,duplicate_timestamps,non_monotonic_rows,gap_count,session_truncation,classification,source_archive_sha256,source_code_commit
session_010c9bd9e04d4fca,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Image_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize128_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,75.27890000000001,751.814,192.57,0.0,0.0,0,0,175,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_06df8668debaf677,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Batch_size/Single_machine_InputTypeSequance_Sequancelength250_LayerSize256_batchsize250.CSV,10113,,,,,,,,,,,0,0,0,True,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_07d0a3d5f166bc31,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/optimizer type/Single_machine_OptimizerRMSprop_NumFilter8_ImageSize112_batchsize1500.CSV,10031,,,,,,,,,,,0,0,4,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_0e8538972df1f646,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Batch Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize112_batchsize750.CSV,10137,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_10c6443628a18c2f,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Batch Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize112_batchsize1500.CSV,10158,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_14a74311509f55fa,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Batch_size/Single_machine_NumLayer6_SeqLength96_LayerSize500_batchsize150.CSV,10103,,,,,,,,,,,0,0,10,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_17b2b9259b4bf0ab,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Sequance Length/Single_machine_InputTypeSequance_Sequancelength350_LayerSize256_batchsize150.CSV,10138,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_195718f1495679c2,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Number of Filters/Single_machine_OptimizerAdam_NumFilter16_ImageSize112_batchsize1500.CSV,10122,,,,,,,,,,,0,0,0,True,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_1c9eec5a1101269e,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/Embedding Dimension/Single_machine_SeqLen100_EmbedDim300_batchsize128.CSV,10073,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_1e8609a9d3e61df6,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/BatchSize/Single_machine_SeqLen100_EmbedDim100_batchsize32.CSV,10082,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_1feae563dfb95b62,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Model_size_impact/Image_generation_H100_8GPU_Node_ModelSize256_ImageSize32_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,88.00428571428571,570.049,116.314,0.0,0.0,0,0,315,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_222710da4024f4e8,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Batch_size/Single_machine_InputTypeSequance_Sequancelength250_LayerSize256_batchsize150.CSV,10057,,,,,,,,,,,0,0,8,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_24a3131a0fb3d13a,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/InputLayer Type/Single_machine_InputFeature_Sequancelength1_LayerSize256_batchsize150.CSV,9920,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_255d1c7bc5f97f03,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Image_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize64_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,77.96509999999999,853.755,189.387,0.0,0.0,0,0,319,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_28247ca2008cf332,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Image_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize64_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,84.7387142857143,593.171,117.087,0.0,0.0,0,0,107,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_2c73680ee7392ae0,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/numHiddenUnits Size/Single_machine_EmbedDim256_HiddenUnit1024_batchsize256.CSV,10083,,,,,,,,,,,0,0,1,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_2d354ce38c264786,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Sequance_length_cut/LLM_H100_8GPU_Node_Lamma8B_SeqLength1024_Deepspeedds_z3_BatchSize16.csv,45000,0.0,0.0,0.0,0.0,458.0,120.19314285714286,771.958,119.18,0.0,0.0,0,0,270,False,VALID_WITH_RETAINED_TRANSIENT_EXTREMES,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_2d523b3597541275,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Batch_size/Single_machine_NumLayer6_SeqLength96_LayerSize500_batchsize100.CSV,10189,,,,,,,,,,,0,0,1,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_2da87dca1b1e93bc,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Batch_size/LLM_H100_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,45000,0.0,0.0,0.0,0.0,323.0,114.9042857142857,725.676,120.082,0.0,0.0,0,0,255,False,VALID_WITH_RETAINED_TRANSIENT_EXTREMES,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_3a40a97911997e78,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/DeepSpeed_parallel_sitting/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z2_BatchSize16.csv,45000,0.0,0.0,0.0,0.0,3.0,106.9169,1056.889,189.834,0.0,0.0,0,0,446,False,VALID_WITH_RETAINED_TRANSIENT_EXTREMES,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_3f8b6b898cb6e851,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/Sequance Length/Single_machine_SeqLen250_EmbedDim100_batchsize128.CSV,10065,,,,,,,,,,,0,0,1,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_408eac80b1acf411,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Batch_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,67.5936,599.122,187.584,0.0,0.0,0,0,389,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_4491ce98abd1cf81,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/BatchSize/Single_machine_EmbedDim256_HiddenUnit512_batchsize256.CSV,10116,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_457c28887a89a1c0,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Sequance Length/Single_machine_InputTypeSequance_Sequancelength150_LayerSize256_batchsize150.CSV,10043,,,,,,,,,,,0,0,26,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_504310c3c85cec91,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Batch_size/Single_machine_InputTypeSequance_Sequancelength250_LayerSize256_batchsize350.CSV,10068,,,,,,,,,,,0,0,19,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_55c38c873ff77feb,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Batch_size/Single_machine_NumLayer6_SeqLength96_LayerSize500_batchsize50.CSV,10036,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_57964233f175c0ba,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/BatchSize/Single_machine_SeqLen100_EmbedDim100_batchsize512.CSV,10102,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
