rule_id,operating_day,D_minus_1_issue_time,scheduler_source,source_trace_window,source_snapshot_sha256,total_jobs,running_jobs,pending_jobs,temporal_controllable_jobs,NORMAL_QUEUE_CONTROLLED_jobs,STANDBY_QUEUE_CONTROLLED_jobs,PARTIAL_shared_temporal_jobs,FULL_node_temporal_jobs,unknown_GPU_request_exclusions,fail_closed_exclusions,fail_closed_duration_jobs,temporal_requested_GPU_hours,temporal_RSP_duration_GPU_hours,no_double_counting,rule_validation,CENTER_trajectory_slots,CENTER_pcc_shape
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-01,2025-04-30T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-01,8d74fcf0bc305bff983bff9607fe7d5120c8a61618631cfc6d6fdda81c71423a,1649,254,1395,1395,0,1395,1395,0,0,0,0,31356.0,12501.75,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-02,2025-05-01T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-02,1eee69c3b53c537b060569ea600967dd4d5ecd223c8805bfd05297033baeeb8d,1532,164,1368,1368,34,1334,1364,4,2,0,0,31459.0,12710.25,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-03,2025-05-02T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-03,15209a5482d9807cb329851b78ad966509f0313c7402c668f18f48888d966f9e,1612,297,1315,1314,65,1249,1255,59,0,0,0,31522.0,13569.75,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-04,2025-05-03T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-04,46da5da4faa335020f01081773a5fdd6e377f03f7b350d4b35077c56cf579711,1031,271,760,760,0,760,760,0,0,0,0,9120.0,4750.0,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-05,2025-05-04T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-05,c05e6726dfd018a0e9aaf715fbbb2bfbbb6665f10ddcd87ccf9d98af2ebfd467,779,355,424,424,6,418,418,6,0,0,0,5180.0,2629.0,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-06,2025-05-05T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-06,6e7b5ca1a1e0466ecafe81e8d0800109d75014681ccad919b20d73f8f867adf9,881,360,521,520,506,14,494,26,1330,0,0,26360.0,2428.75,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-07,2025-05-06T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-07,4698decfc8f358c0552e3af2003e2c8fe743481f63bc5b54049354afe8fb81b8,6309,403,5906,5905,5887,18,5597,308,1356,0,0,159777.7,46429.5,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-08,2025-05-07T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-08,0ddab1cab8d43fd4ceaf67ed8bf5ad5f45cd285987c3be575310fb2c7b386d8e,4905,225,4680,4680,4651,29,4422,258,28,0,0,140222.6666666667,38922.0,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-09,2025-05-08T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-09,40219c20596c463a6061615e16378836c71211639b52db1b3cb5e6c19e4a4c7d,3383,341,3042,3041,3011,30,2977,64,13,0,0,34854.0,14334.75,True,PASS,96,"(96, 12)"
V37_R4A_PER_DAY_CAUSAL_AIDC_COHORT_RULE_V1,2025-05-10,2025-05-09T18:00:00+10:00,V37_R4A_PER_DAY_CAUSAL_KESTREL_SNAPSHOT,KESTREL_STATE_AT_D_MINUS_1_18_FIXED_AEST:2025-05-10,acc0b071fa607f222292fa37cd33043ee52c9a85f18491445250661c31a1e264,3494,338,3156,3153,3121,32,3033,120,340,0,0,41022.333333333336,16596.75,True,PASS,96,"(96, 12)"
