D_minus_1_issue_time,FULL_node_temporal_jobs,NORMAL_QUEUE_CONTROLLED_jobs,PARTIAL_shared_temporal_jobs,PARTIAL_shared_temporal_requested_GPU_hours,STANDBY_QUEUE_CONTROLLED_jobs,eligible_jobs,excluded_jobs,fail_closed_duration_jobs,invalid_resource_request_exclusions,operating_day,pending_jobs,running_jobs,snapshot_jobs,temporal_RSP_duration_GPU_hours,temporal_controllable_jobs,temporal_requested_GPU_hours,unknown_GPU_request_exclusions,source_snapshot_sha256,runtime_authority_sha256,RW_active_GPU_trajectory_sha256,RSP_active_GPU_trajectory_sha256,CENTER_IT_power_trajectory_sha256,C1_PCC_P_trajectory_sha256,C1_PCC_Q_trajectory_sha256,status
2025-04-30T18:00:00+10:00,0,0,1395,31356.0,1395,1649,0,0,0,2025-05-01,1395,254,1649,12501.75,1395,31356.0,0,8d74fcf0bc305bff983bff9607fe7d5120c8a61618631cfc6d6fdda81c71423a,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,af13c5b455e4bb686be0150914bb9927a5e458755cf24f8acbc7c90b45de3113,c7dadf85ceff5373a3a0fa1fef67614f778d602f6eb3cb19a18f1e0bad367e80,a28dc57fbacd012a48ef270e699202a24a6de913b40195766ca76b9360d09c69,d919939df612402a95cd9f1eed884f391bc33ee6063b471654a5c8e3e384bb93,READY
2025-05-01T18:00:00+10:00,4,34,1364,30595.0,1334,1532,2,0,0,2025-05-02,1368,164,1534,12710.25,1368,31459.0,2,1eee69c3b53c537b060569ea600967dd4d5ecd223c8805bfd05297033baeeb8d,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,ad3f579e319a7e5b014b6646018fdb17d0f0ef9c245ad5e7db23340b9c2b5b8e,7031c801a81d52d987012e00e2835c0a4c84b46ca79d0b5152d1644b745330b9,7ffafc627681565b38e1afa122f9f6416b5b124d023e079533bfd6abe0db8655,0211f637528a6393e45405470c6a492b441b7fe50daeb0105fdfefc5e92327a2,READY
2025-05-02T18:00:00+10:00,59,65,1255,24454.0,1249,1612,0,0,0,2025-05-03,1315,297,1612,13569.75,1314,31522.0,0,15209a5482d9807cb329851b78ad966509f0313c7402c668f18f48888d966f9e,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,2d1627b64fe25f6321194f6473c8b173941fb9bf1145d7b08a48434513054abc,d48d5654690a49f52a52173af98c86c6bbd8cd41b9a653c4eca893de4c289582,a2aa6ea517c3c33ba5d9eeb7e2944fb73345cdb27e0c4a44d3c556fbfad37357,464544726210488dbdf9120665e247b6a2db33421bb2e6e936ab4d74bcbc9f68,READY
2025-05-03T18:00:00+10:00,0,0,760,9120.0,760,1031,0,0,0,2025-05-04,760,271,1031,4750.0,760,9120.0,0,46da5da4faa335020f01081773a5fdd6e377f03f7b350d4b35077c56cf579711,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,b5e93b534a6fa0fb8f123dc539aac53a412f8568f48e1b9d5150e2efe1fdb614,db935c741ef45e99126eea8e0426de49c976a4e2ba5b633b4988fd3f6b95a477,ce6ef09f6caa8ec9144a86f04cef44c0c21936a7bdb26fe7cd463db7ce3185bd,b077cab57465fffbdc1f379b4c0d812befd433a08b7f43b16466d16faefb93ab,4bca97b552fd0b0fcb2f21b53d58ffe6c5028f28c3f8cbaa5e2f7c38f3171a51,READY
2025-05-04T18:00:00+10:00,6,6,418,5136.0,418,779,0,0,0,2025-05-05,424,355,779,2629.0,424,5180.0,0,c05e6726dfd018a0e9aaf715fbbb2bfbbb6665f10ddcd87ccf9d98af2ebfd467,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,2c82a9fbb1195c6e81544b049f1c0edd740342d105c5d3f4c6574b612411a336,24caff23b04ddcef92b461856caa73072f3a7fa2c71cf907571ebb4adbed71d1,ad7612054c925703d7f2b0e2459ae4712c4fd7eace9a4dcab57dbd67b4d3c061,2b8b85a141b08b0fa53a0ba3b476b03d9e0dde52d44c1fa9d606fa0b4b95690f,f7a5fc2bbf92f48097959b32e4e8e4f6c80f77fd7412316411991ab0f1f219ba,READY
2025-05-05T18:00:00+10:00,26,506,494,23808.0,14,881,1330,0,0,2025-05-06,521,360,2211,2428.75,520,26360.0,1330,6e7b5ca1a1e0466ecafe81e8d0800109d75014681ccad919b20d73f8f867adf9,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,b851ef7f8dee0a59e4978bda1168a4d0087b4ed6d4a4c891bbbe7a6a12518541,70dfe67b425bd3e399fbc0fbfc2b9077c39c021d3872e999b9c691f7fa1ea586,45255056b7e9a7773734eeff268fe62f48bcb417fb04d1be814fc4a34a41f3db,f5ca1c8996e1451e891ffbe3777b69216d1d9a1606124fa4637297a809c41409,eb9efe0e779b202ff24dc316a4ed2b86a9962975663effe0a8fe49afa6e3069e,READY
2025-05-06T18:00:00+10:00,308,5887,5597,53541.5,18,6309,1356,0,0,2025-05-07,5906,403,7665,46429.5,5905,159777.7,1356,4698decfc8f358c0552e3af2003e2c8fe743481f63bc5b54049354afe8fb81b8,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,212abf19c174a4a7c2dddcb5a58dc280b0a2d3e60583a2e6d0fa7e73848629ad,c07f6036eabedfcc015f52d98b4324266c7b3207fe0776713c7e9e1c72f86f73,97f381fa8e08108fd59565f2cd62efee45453c4371e3158ff305f2b0307bc187,READY
2025-05-07T18:00:00+10:00,258,4651,4422,49010.0,29,4905,28,0,0,2025-05-08,4680,225,4933,38922.0,4680,140222.6666666667,28,0ddab1cab8d43fd4ceaf67ed8bf5ad5f45cd285987c3be575310fb2c7b386d8e,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,4477de012b12615417e255933052cd9f433289860565869f5aebc497b370ac9e,91120358eb68ab21567c26134b9831ed0d938ac147617c7d1355e8ea976e9e48,5a8f4cb1d7a3751fb53daf3bf5964f7cfb7fafa0b88e8f0c06f6b3d0f15a6704,81b1b65c7cdcad3175eb5f884a66e5da6b41ab943501ede211c3694d724c106a,READY
2025-05-08T18:00:00+10:00,64,3011,2977,26166.0,30,3383,13,0,0,2025-05-09,3042,341,3396,14334.75,3041,34854.0,13,40219c20596c463a6061615e16378836c71211639b52db1b3cb5e6c19e4a4c7d,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,69184629225e4b68bc8bf5caff907a3e822ea6c862e3d4721c8dd6d977bb43bc,2f097eeaf9cfa3b8716afc45fea9ec8ee6b2cf5fbc9f0ad417336d5fe55770a0,3db4b9cf9dcd050617aef3d29195528309ea0a0fa5a1d215a15d38c1af759c8b,e4274d0825409932d4fc3424365fb310cfeb5cc37c61ab645549492e860ddf94,READY
2025-05-09T18:00:00+10:00,120,3121,3033,23231.666666666668,32,3494,340,0,0,2025-05-10,3156,338,3834,16596.75,3153,41022.333333333336,340,acc0b071fa607f222292fa37cd33043ee52c9a85f18491445250661c31a1e264,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,a8dabc502160aa508d8901c8c89154dee7e1a73a1cef3ce2eec3e8232784165c,afbd37dbe5e768ce5127469f3b03e43a0f51af288a0a7585033e0424b95935d6,bff03e3931c20a4a2d2bc8c277a55c755fc07bddc7a70124e2ae5a1bad13435f,e2d49d4e94f413614e4ff98359c18e0a091a183843804c07816a164faf7a73b4,5cdab36756cdf855788d43a8e29291c34a2f214c6f073e7cf60b89ba1ab61aa8,READY
