job_uid,qos,state_at_issue,V39H_temporal_eligible,requested_GPU,RSP_start,RSP_end,repair_start,repair_end,cross_boundary,baseline_terminal_site,repair_terminal_site,terminal_timing_equal,terminal_site_equal,post_H_occupied_slots
8930114,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930115,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930116,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930117,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930118,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930122,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930123,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930124,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930125,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930126,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930127,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930128,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930129,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930130,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930131,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930132,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930133,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930134,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930135,normal,RUNNING,False,1,0,56,0,56,False,UNASSIGNED,UNASSIGNED,True,True,0
8930136,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930137,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930138,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930139,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930140,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930141,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930142,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930143,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930144,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930145,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930146,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930147,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930148,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930149,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
8930150,normal,RUNNING,False,1,0,57,0,57,False,UNASSIGNED,UNASSIGNED,True,True,0
