job_uid,state_at_issue,start_before,start_after,site_before,site_after,shift_minutes,shifted_GPU_h,symmetric_GPU_h,additional_running_migration,terminal_state_changed
7609109,RUNNING,0,0,AIDC02,AIDC02,0,0.0,0.0,False,False
7609111,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7640373,RUNNING,0,0,AIDC02,AIDC02,0,0.0,0.0,False,False
7640492,RUNNING,0,0,AIDC02,AIDC02,0,0.0,0.0,False,False
7655807,RUNNING,0,0,AIDC01,AIDC01,0,0.0,0.0,False,False
7657766,RUNNING,0,0,AIDC02,AIDC02,0,0.0,0.0,False,False
7658010,RUNNING,0,0,AIDC06,AIDC06,0,0.0,0.0,False,False
7658516,RUNNING,0,0,AIDC02,AIDC02,0,0.0,0.0,False,False
7661011,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7661016,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7674450,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7674472,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7674491,RUNNING,0,0,AIDC01,AIDC01,0,0.0,0.0,False,False
7674561,RUNNING,0,0,AIDC01,AIDC01,0,0.0,0.0,False,False
7674596,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7674628,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7685261,RUNNING,0,0,AIDC02,AIDC02,0,0.0,0.0,False,False
7685398,RUNNING,0,0,AIDC01,AIDC01,0,0.0,0.0,False,False
7689064,RUNNING,0,0,AIDC01,AIDC01,0,0.0,0.0,False,False
7698724,RUNNING,0,0,AIDC06,AIDC06,0,0.0,0.0,False,False
7702923,RUNNING,0,0,AIDC06,AIDC06,0,0.0,0.0,False,False
7702929,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7703133,RUNNING,0,0,AIDC01,AIDC01,0,0.0,0.0,False,False
7703568,RUNNING,0,0,AIDC02,AIDC02,0,0.0,0.0,False,False
7703637,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703638,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703639,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703643,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703644,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703646,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703654,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703655,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703656,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703657,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703658,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703659,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703660,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703662,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703663,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703665,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703667,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703668,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703669,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703670,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703671,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703674,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703675,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703680,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703682,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703683,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703684,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703685,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703688,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703691,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703693,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703694,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703695,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703697,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703699,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703700,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703701,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703703,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703704,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703705,RUNNING,0,0,AIDC05,AIDC05,0,0.0,0.0,False,False
7703706,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703707,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703708,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703709,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703710,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703711,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703712,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703713,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703715,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703716,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703717,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703718,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703719,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703720,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703721,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703722,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703723,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703724,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703725,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703726,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703727,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703728,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703729,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703730,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703732,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703733,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703734,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703735,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703736,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703737,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703738,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703739,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703740,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703741,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703742,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7703743,PENDING,0,0,UNASSIGNED,UNASSIGNED,0,0.0,0.0,False,False
7705437,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
7705444,RUNNING,0,0,AIDC06,AIDC06,0,0.0,0.0,False,False
7705448,RUNNING,0,0,AIDC12,AIDC12,0,0.0,0.0,False,False
