day,case,status,certificate,B3_method
2025-05-01,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-01_B0.json,
2025-05-01,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-01_B1.json,
2025-05-01,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-01_B2.json,
2025-05-01,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-02,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-02_B0.json,
2025-05-02,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-02_B1.json,
2025-05-02,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-02_B2.json,
2025-05-02,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-03,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-03_B0.json,
2025-05-03,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-03_B1.json,
2025-05-03,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-03_B2.json,
2025-05-03,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-04,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-04_B0.json,
2025-05-04,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-04_B1.json,
2025-05-04,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-04_B2.json,
2025-05-04,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-05,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-05_B0.json,
2025-05-05,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-05_B1.json,
2025-05-05,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-05_B2.json,
2025-05-05,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-06,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-06_B0.json,
2025-05-06,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-06_B1.json,
2025-05-06,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-06_B2.json,
