B3_method,case,certificate,day,status,certificate_SHA
,B0,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-01_B0.json,2025-05-01,REUSE_CERTIFIED,a96decd05aad8d04e164abe5d58e881b08cf3804dc79943f27919d6ea4f280a9
,B1,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-01_B1.json,2025-05-01,REUSE_CERTIFIED,5a2251602628560adfbf9342c61ce453b4f0347dea2f06737c2a9a4ccc50918d
,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-01_B2.json,2025-05-01,REUSE_CERTIFIED,eb1d7fb9e568f823b05369a18467270ed64e449f901f799e81e78e5f969711d7
BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\days\2025-05-01\B3\CASE_CERTIFICATE.json,2025-05-01,COMPLETE_NEW_V40A,63ed5f5ae4fa7c0bccd690b9931c0eb7277e93dbdb1546511229b78cb709b2a3
,B0,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-02_B0.json,2025-05-02,REUSE_CERTIFIED,03581556509d2a5e9215f3d7c092c1c2fd7b1c64bcc6eaf2755f948ffef0d942
,B1,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-02_B1.json,2025-05-02,REUSE_CERTIFIED,9f85306108537d101bdb30cf730c1c189a4f528dc48d76fc1bf726ca2eee7a0c
,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-02_B2.json,2025-05-02,REUSE_CERTIFIED,ff6f1c212ef9a72bf40f2b82b74379dd15db911947682f801fa5e3770b4b9331
BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\days\2025-05-02\B3\CASE_CERTIFICATE.json,2025-05-02,COMPLETE_NEW_V40A,9dca69eb57dfc5c000c42836682c1f1ad01bf1687a417f24f800e6789952616d
,B0,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-03_B0.json,2025-05-03,REUSE_CERTIFIED,125dc9865cc52c1ee6cf91314df2ea600215ed769bcd3ddc0d76d8512ce656ae
,B1,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-03_B1.json,2025-05-03,REUSE_CERTIFIED,1feeb9519a37ac3ed3f799949e6aae06245a990111aba9ba44f06155bd033327
