AIDC,rating_A,AIDC_fixed_PF_direction_drho_per_kW,AIDC_fixed_PF_direction_dI_A_per_kW,AIDC_pure_dI_dP_at_fixed_Q,AIDC_pure_dI_dQ_at_fixed_P,AIDC_pure_partial_status,nearby_MESS_extra_load_proxy_drho_dP,nearby_MESS_extra_load_proxy_drho_dQ,nearby_MESS_extra_load_proxy_dI_dP,nearby_MESS_extra_load_proxy_dI_dQ,proxy_1_kvar_extra_load_delta_I_A,proxy_Q_over_P_sensitivity_ratio,proxy_P_plus_tanQ_direction_dI_A_per_kW,proxy_vs_actual_coupled_direction_residual_A_per_kW,AIDC_transformer_buses,MESS_transformer_buses,same_upstream_HV_bus,same_PCC_or_transformer,proxy_scope,Actual_B1_minus_B0_PCC_kW,Actual_B1_minus_B0_derived_Q_kvar,coupled_first_order_delta_I_A,nearby_MESS_proxy_P_redistribution_delta_I_A,nearby_MESS_proxy_PF_linked_Q_delta_I_A
AIDC01,418.0,1.0254343346671746e-07,4.28631551890879e-05,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,1.2421320839672844e-07,-3.9177755589703267e-07,5.192112110983249e-05,-0.00016376301836495966,-0.00016376301836495966,-3.154073233868351,-1.905180042844025e-06,4.4768335231931924e-05,"['149.1.2.3', 'idc_idc01_pcc.1.2.3']","['149.1.2.3', 'mess_idc01_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,1.6431717350956347,0.5400844314051088,7.043152508372702e-05,8.531531866215404e-05,-8.844585665882363e-05
AIDC02,418.0,1.4988122765124956e-06,0.0006265035315822232,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,1.0339673353287893e-06,1.4357326631797561e-06,0.0004321983461674339,0.000600136253209138,0.000600136253209138,1.38856675073126,0.0006294535935388751,-2.9500619566519985e-06,"['300_open.1.2.3', 'idc_idc02_pcc.1.2.3']","['300_open.1.2.3', 'mess_idc02_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,-2.1908956361033134,-0.7201125716928939,-0.001372603853346807,-0.0009469014705493001,-0.0004321656606645701
AIDC03,418.0,1.2286616015155793e-06,0.0005135805494335122,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,8.480781809927507e-07,1.2043012189821845e-06,0.00035449667965496977,0.0005033979095345531,0.0005033979095345531,1.420035612250327,0.0005199555710992447,-6.375021665732551e-06,"['35.1.2.3', 'idc_idc03_pcc.1.2.3']","['35.1.2.3', 'mess_idc03_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,-7.1204108177075405,-2.3403658581241005,-0.003656904499950562,-0.0025241619926566513,-0.0011781352805257125
AIDC04,418.0,1.2199298992099372e-06,0.0005099306978697538,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,8.423896272091724e-07,1.1767621146185902e-06,0.00035211886417343404,0.0004918865639105707,0.0004918865639105707,1.3969332914475576,0.0005137941592818857,-3.8634614121319336e-06,"['50.1.2.3', 'idc_idc04_pcc.1.2.3']","['50.1.2.3', 'mess_idc04_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,0.0,0.0,0.0,0.0,0.0
AIDC05,418.0,0.0003314972608388089,0.13856585503062213,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,0.0003375181936203786,-1.8558630974785385e-05,0.14108260493331826,-0.007757507747460291,-0.007757507747460291,-0.054985572113066844,0.13853283544092618,3.301958969595959e-05,"['61s.1.2.3', 'idc_idc05_pcc.1.2.3']","['61s.1.2.3', 'mess_idc05_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,2.738619547094053,0.9001407152619525,0.3794791591466626,0.38637157962533325,-0.006982848572449044
AIDC06,418.0,9.552042888882895e-07,0.000399275392755305,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,6.743904637618315e-07,9.066952202374523e-07,0.00028189521385244557,0.00037899860205925506,0.00037899860205925506,1.3444662535407113,0.0004064660302343318,-7.190637479026867e-06,"['48.1.2.3', 'idc_idc06_pcc.1.2.3']","['48.1.2.3', 'mess_idc06_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,0.0,0.0,0.0,0.0,0.0
AIDC07,418.0,1.2712440687900894e-06,0.0005313800207542574,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,8.74019193186637e-07,1.2276392717613938e-06,0.00036534002275201427,0.0005131532155962627,0.0005131532155962627,1.404590747355871,0.000534005328239928,-2.6253074856707265e-06,"['250.1.2.3', 'idc_idc07_pcc.1.2.3']","['250.1.2.3', 'mess_idc07_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,-1.6431717271104669,-0.540084428780511,-0.0008731486264547688,-0.0006003163961680046,-0.0002771460613221899
AIDC08,418.0,1.2848419966848823e-06,0.0005370639546142808,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,8.821511181200669e-07,1.2526997065553934e-06,0.000368739167374188,0.0005236284773401544,0.0005236284773401544,1.4200511463670697,0.0005408475248949074,-3.7835702806265056e-06,"['21.1.2.3', 'idc_idc08_pcc.1.2.3']","['21.1.2.3', 'mess_idc08_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,0.0,0.0,0.0,0.0,0.0
AIDC09,418.0,0.00032964193484341653,0.1377903287645481,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,0.00033343441119781936,-1.2262364977788654e-05,0.1393755838806885,-0.005125668560715657,-0.005125668560715657,-0.036775943231946925,0.13769085809636625,9.94706681818748e-05,"['152.1.2.3', 'idc_idc09_pcc.1.2.3']","['152.1.2.3', 'mess_idc09_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,-2.73861954510342,-0.900140714607663,-0.3773552874808174,-0.38169669812585466,0.0046138229610846225
AIDC10,418.0,0.00033094418018658756,0.1383346673179936,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,0.0003380479612863585,-2.1682371059028593e-05,0.14130404781769787,-0.009063231102673952,-0.009063231102673952,-0.06413992551980391,0.13832510781268623,9.559505307365415e-06,"['81.1.2.3', 'idc_idc10_pcc.1.2.3']","['81.1.2.3', 'mess_idc10_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,-2.7386195468594607,-0.9001407151848457,-0.3788460239253579,-0.3869780274039113,0.00815818332664647
AIDC11,418.0,0.0003308668705126472,0.13830235187428652,,,NOT_IDENTIFIABLE_FROM_SINGLE_COUPLED_AIDC_CONTROL,0.0003379216826302933,-2.1533174481191965e-05,0.1412512633394626,-0.009000866933138242,-0.009000866933138242,-0.06372238180629136,0.13829282144571003,9.530428576481086e-06,"['79.1.2.3', 'idc_idc11_pcc.1.2.3']","['79.1.2.3', 'mess_idc11_pcc.1.2.3']",True,False,Frozen MESS perturbation gradient at separate 750-kVA transformer; AIDC has 1500-kVA transformer. Not exact AIDC independent Q sensitivity or AIDC equipment capability.,0.0,0.0,0.0,0.0,-0.0
