job_uid,requested_GPU,D1_state,service_tier,source_runtime_authority,runtime_model_or_rule,predicted_runtime_sec,safety_margin_sec,safety_adjusted_runtime_sec,planning_effective_runtime_sec,actual_runtime_sec,raw_prediction_error_sec,effective_prediction_error_sec,safety_adjusted_prediction_error_sec,rounding_extra_sec,planning_start_slot,planning_finish_slot,actual_start_slot,actual_finish_slot,slot_axis,B0_site,B1_site,actual_site_authority,downstream_of_line_sw2_B0,downstream_of_line_sw2_B1,predicted_active_at_slot73,actual_active_at_slot73,runtime_only_active_at_slot73,slot73_GPU_contribution,contribution,delay_slots,delay_seconds,classification,error_classification,percentile_in_preMay_COMPLETED_runtime,percentile_in_preMay_COMPLETED_point_residual,percentile_in_preMay_COMPLETED_post_q_residual,reference_scope
8665789,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,43202.0,26765.703125,20702.0,21189.25390625,487.25390625,55,80,55.0,103.00222222222224,D_MINUS_1_ISSUE; operating73=issue97,AIDC09,AIDC05,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,True,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.6038251366120219,0.8809523809523809,0.8809523809523809,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665792,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,43215.0,26778.703125,20715.0,21202.25390625,487.25390625,55,80,55.0,103.01666666666668,D_MINUS_1_ISSUE; operating73=issue97,AIDC09,AIDC05,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,True,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.6038251366120219,0.8809523809523809,0.8809523809523809,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665830,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,43201.0,26764.703125,20701.0,21188.25390625,487.25390625,55,80,55.0,103.0011111111111,D_MINUS_1_ISSUE; operating73=issue97,AIDC07,AIDC05,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,False,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.6038251366120219,0.8809523809523809,0.8809523809523809,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665831,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,43201.0,26764.703125,20701.0,21188.25390625,487.25390625,55,80,55.0,103.0011111111111,D_MINUS_1_ISSUE; operating73=issue97,AIDC07,AIDC05,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,False,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.6038251366120219,0.8809523809523809,0.8809523809523809,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665832,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,43201.0,26764.703125,20701.0,21188.25390625,487.25390625,55,80,55.0,103.0011111111111,D_MINUS_1_ISSUE; operating73=issue97,AIDC07,AIDC05,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,False,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.6038251366120219,0.8809523809523809,0.8809523809523809,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665850,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,28577.0,12140.703125,6077.0,6564.25390625,487.25390625,68,93,68.0,99.75222222222224,D_MINUS_1_ISSUE; operating73=issue97,AIDC03,AIDC12,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,False,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.5659640905542545,0.7400468384074942,0.7400468384074942,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665890,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,43206.0,26769.703125,20706.0,21193.25390625,487.25390625,68,93,68.0,116.00666666666666,D_MINUS_1_ISSUE; operating73=issue97,AIDC03,AIDC12,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,False,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.6038251366120219,0.8809523809523809,0.8809523809523809,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665930,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,43201.0,26764.703125,20701.0,21188.25390625,487.25390625,56,81,56.0,104.0011111111111,D_MINUS_1_ISSUE; operating73=issue97,AIDC02,AIDC12,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,False,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.6038251366120219,0.8809523809523809,0.8809523809523809,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665937,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,29034.0,12597.703125,6534.0,7021.25390625,487.25390625,69,94,69.0,101.26,D_MINUS_1_ISSUE; operating73=issue97,AIDC10,AIDC05,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,True,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.5663544106167057,0.7462919594067136,0.7462919594067136,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
8665939,1,PENDING,standby,SAFE_CAUSAL_RUNTIME_PENDING,Frozen April-01 MoE XGBoost point + pooled q90 positive residual,16436.296875,5576.44921875,22012.74609375,22500,32805.0,16368.703125,10305.0,10792.25390625,487.25390625,69,94,69.0,105.45,D_MINUS_1_ISSUE; operating73=issue97,AIDC10,AIDC05,Frozen synthetic policy and derived Actual ledger; NOT an observed physical-node-to-AIDC allocation certificate.,True,True,False,True,True,1,1,0.0,0.0,NORMAL_HISTORICAL_TAIL,RAW_UNDER_SAFE_STILL_UNCOVERED,0.578064012490242,0.7853239656518345,0.7853239656518345,"Broad preMay COMPLETED H100; no 12h request jobs in calibration, so not exact-family conditional coverage"
