site,delta_PCC_kW,dloading_dPCC_per_kW,dI_dPCC_A_per_kW,first_order_delta_I_A,first_order_delta_loading
AIDC01,1.6431717350956347,1.0254343346671746e-07,4.28631551890879e-05,7.043152508372702e-05,1.6849647149216991e-07
AIDC02,-2.1908956361033134,1.4988122765124956e-06,0.0006265035315822232,-0.001372603853346807,-3.2837412759492994e-06
AIDC03,-7.1204108177075405,1.2286616015155793e-06,0.0005135805494335122,-0.003656904499950562,-8.748575358733403e-06
AIDC04,0.0,1.2199298992099372e-06,0.0005099306978697538,0.0,0.0
AIDC05,2.7386195470940535,0.0003314972608388089,0.13856585503062213,0.37947915914666264,0.0009078448783412982
AIDC06,0.0,9.552042888882895e-07,0.000399275392755305,0.0,0.0
AIDC07,-1.6431717271104667,1.2712440687900894e-06,0.0005313800207542574,-0.0008731486264547686,-2.088872312092748e-06
AIDC08,0.0,1.2848419966848823e-06,0.0005370639546142808,0.0,0.0
AIDC09,-2.73861954510342,0.00032964193484341653,0.1377903287645481,-0.3773552874808174,-0.0009027638456478886
AIDC10,-2.7386195468594607,0.00033094418018658756,0.1383346673179936,-0.3788460239253579,-0.0009063302007783681
AIDC11,0.0,0.0003308668705126472,0.13830235187428652,0.0,0.0
AIDC12,3.8340673801715326,0.00033162168448847007,0.1386178641161805,0.5314702311168976,0.001271459883054779
