job_uid,GPU,D1_state,B0_site,B1_site,B0_downstream,B1_downstream,B0_REFERENCE,TEMPORAL_ONLY,SPATIAL_ONLY_PENDING,JOINT_WITHOUT_RUNNING_MIGRATION,JOINT_B1,temporal,spatial,interaction,migration,total,B0_REFERENCE_start,B0_REFERENCE_finish,TEMPORAL_ONLY_start,TEMPORAL_ONLY_finish,SPATIAL_ONLY_PENDING_start,SPATIAL_ONLY_PENDING_finish,JOINT_WITHOUT_RUNNING_MIGRATION_start,JOINT_WITHOUT_RUNNING_MIGRATION_finish,JOINT_B1_start,JOINT_B1_finish,uid,actual_active_slot73,delta_downstream_GPU,note
8665793,1,PENDING,AIDC10,AIDC01,True,False,1,1,0,0,0,0,-1,0,0,-1,52,100.01666666666667,58,106.01666666666667,52,100.01666666666667,58,106.01666666666667,58,106.01666666666667,8665793,True,-1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665794,1,PENDING,AIDC10,AIDC01,True,False,1,1,0,0,0,0,-1,0,0,-1,52,100.01666666666667,58,106.01666666666667,52,100.01666666666667,58,106.01666666666667,58,106.01666666666667,8665794,True,-1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665795,1,PENDING,AIDC10,AIDC01,True,False,1,1,0,0,0,0,-1,0,0,-1,52,100.01666666666667,58,106.01666666666667,52,100.01666666666667,58,106.01666666666667,58,106.01666666666667,8665795,True,-1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665830,1,PENDING,AIDC07,AIDC05,False,True,0,0,1,1,1,0,1,0,0,1,65,113.0011111111111,55,103.0011111111111,65,113.0011111111111,55,103.0011111111111,55,103.0011111111111,8665830,True,1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665831,1,PENDING,AIDC07,AIDC05,False,True,0,0,1,1,1,0,1,0,0,1,65,113.0011111111111,55,103.0011111111111,65,113.0011111111111,55,103.0011111111111,55,103.0011111111111,8665831,True,1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665832,1,PENDING,AIDC07,AIDC05,False,True,0,0,1,1,1,0,1,0,0,1,65,113.0011111111111,55,103.0011111111111,65,113.0011111111111,55,103.0011111111111,55,103.0011111111111,8665832,True,1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665833,1,PENDING,AIDC12,AIDC01,True,False,1,1,0,0,0,0,-1,0,0,-1,65,113.0011111111111,58,106.0011111111111,65,113.0011111111111,58,106.0011111111111,58,106.0011111111111,8665833,True,-1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665850,1,PENDING,AIDC03,AIDC12,False,True,0,0,1,1,1,0,1,0,0,1,67,98.75222222222223,68,99.75222222222223,67,98.75222222222223,68,99.75222222222223,68,99.75222222222223,8665850,True,1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665890,1,PENDING,AIDC03,AIDC12,False,True,0,0,1,1,1,0,1,0,0,1,67,115.00666666666666,68,116.00666666666666,67,115.00666666666666,68,116.00666666666666,68,116.00666666666666,8665890,True,1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
8665917,1,PENDING,AIDC09,AIDC02,True,False,1,1,0,0,0,0,-1,0,0,-1,70,104.31444444444445,68,102.31444444444445,70,104.31444444444445,68,102.31444444444445,68,102.31444444444445,8665917,True,-1,SPATIAL_ONLY actual fixed-dispatch intervention vs B0; frozen B0 start with B1 PENDING site.
