case,job_uid,state,site,downstream,DA_GPU,runtime_only_GPU,Actual_GPU,runtime_effect_GPU,admission_delay_effect_GPU,runtime_effect_IT_kW,admission_delay_effect_IT_kW,migration_selected
B0,8206515,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
B0,8206515,RUNNING,AIDC09,True,0,0,0,0,0,0.0,0.0,False
B0,8206515,RUNNING,AIDC10,True,0,0,0,0,0,0.0,0.0,False
B0,8206515,RUNNING,AIDC11,True,0,0,0,0,0,0.0,0.0,False
B0,8206515,RUNNING,AIDC12,True,0,0,0,0,0,0.0,0.0,False
B0,8568682,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
B0,8568682,RUNNING,AIDC09,True,0,0,0,0,0,0.0,0.0,False
B0,8568682,RUNNING,AIDC10,True,0,0,0,0,0,0.0,0.0,False
B0,8568682,RUNNING,AIDC11,True,0,0,0,0,0,0.0,0.0,False
B0,8568682,RUNNING,AIDC12,True,0,0,0,0,0,0.0,0.0,False
B0,8571138,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
B0,8571138,RUNNING,AIDC09,True,0,0,0,0,0,0.0,0.0,False
B0,8571138,RUNNING,AIDC10,True,0,0,0,0,0,0.0,0.0,False
B0,8571138,RUNNING,AIDC11,True,0,0,0,0,0,0.0,0.0,False
B0,8571138,RUNNING,AIDC12,True,0,0,0,0,0,0.0,0.0,False
B0,8571147,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
B0,8571147,RUNNING,AIDC09,True,0,0,0,0,0,0.0,0.0,False
B0,8571147,RUNNING,AIDC10,True,0,0,0,0,0,0.0,0.0,False
B0,8571147,RUNNING,AIDC11,True,0,0,0,0,0,0.0,0.0,False
B0,8571147,RUNNING,AIDC12,True,0,0,0,0,0,0.0,0.0,False
B0,8571212,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
B0,8571212,RUNNING,AIDC09,True,0,0,0,0,0,0.0,0.0,False
B0,8571212,RUNNING,AIDC10,True,0,0,0,0,0,0.0,0.0,False
B0,8571212,RUNNING,AIDC11,True,0,0,0,0,0,0.0,0.0,False
B0,8571212,RUNNING,AIDC12,True,0,0,0,0,0,0.0,0.0,False
B0,8571220,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
B0,8571220,RUNNING,AIDC09,True,0,0,0,0,0,0.0,0.0,False
B0,8571220,RUNNING,AIDC10,True,0,0,0,0,0,0.0,0.0,False
B0,8571220,RUNNING,AIDC11,True,0,0,0,0,0,0.0,0.0,False
B0,8571220,RUNNING,AIDC12,True,0,0,0,0,0,0.0,0.0,False
B0,8571235,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
B0,8571235,RUNNING,AIDC09,True,0,0,0,0,0,0.0,0.0,False
B0,8571235,RUNNING,AIDC10,True,0,0,0,0,0,0.0,0.0,False
B0,8571235,RUNNING,AIDC11,True,0,0,0,0,0,0.0,0.0,False
B0,8571235,RUNNING,AIDC12,True,0,0,0,0,0,0.0,0.0,False
B0,8571245,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
B0,8571245,RUNNING,AIDC09,True,0,0,0,0,0,0.0,0.0,False
B0,8571245,RUNNING,AIDC10,True,0,0,0,0,0,0.0,0.0,False
B0,8571245,RUNNING,AIDC11,True,0,0,0,0,0,0.0,0.0,False
B0,8571245,RUNNING,AIDC12,True,0,0,0,0,0,0.0,0.0,False
B0,8571256,RUNNING,AIDC05,True,0,0,0,0,0,0.0,0.0,False
